ref,line_index
"Steinsaltz on Mishneh Torah, Reading the Shema 1:1:1",4
"Steinsaltz on Mishneh Torah, Reading the Shema 1:1:2",5
"Steinsaltz on Mishneh Torah, Reading the Shema 1:1:3",6
"Steinsaltz on Mishneh Torah, Reading the Shema 1:1:4",7
"Steinsaltz on Mishneh Torah, Reading the Shema 1:2:1",9
"Steinsaltz on Mishneh Torah, Reading the Shema 1:2:2",10
"Steinsaltz on Mishneh Torah, Reading the Shema 1:2:3",11
"Steinsaltz on Mishneh Torah, Reading the Shema 1:2:4",12
"Steinsaltz on Mishneh Torah, Reading the Shema 1:2:5",13
"Steinsaltz on Mishneh Torah, Reading the Shema 1:2:6",14
"Steinsaltz on Mishneh Torah, Reading the Shema 1:2:7",15
"Steinsaltz on Mishneh Torah, Reading the Shema 1:3:1",17
"Steinsaltz on Mishneh Torah, Reading the Shema 1:3:2",18
"Steinsaltz on Mishneh Torah, Reading the Shema 1:4:1",20
"Steinsaltz on Mishneh Torah, Reading the Shema 1:4:2",21
"Steinsaltz on Mishneh Torah, Reading the Shema 1:4:3",22
"Steinsaltz on Mishneh Torah, Reading the Shema 1:4:4",23
"Steinsaltz on Mishneh Torah, Reading the Shema 1:4:5",24
"Steinsaltz on Mishneh Torah, Reading the Shema 1:4:6",25
"Steinsaltz on Mishneh Torah, Reading the Shema 1:4:7",26
"Steinsaltz on Mishneh Torah, Reading the Shema 1:4:8",27
"Steinsaltz on Mishneh Torah, Reading the Shema 1:4:9",28
"Steinsaltz on Mishneh Torah, Reading the Shema 1:4:10",29
"Steinsaltz on Mishneh Torah, Reading the Shema 1:4:11",30
"Steinsaltz on Mishneh Torah, Reading the Shema 1:5:1",32
"Steinsaltz on Mishneh Torah, Reading the Shema 1:6:1",34
"Steinsaltz on Mishneh Torah, Reading the Shema 1:6:2",35
"Steinsaltz on Mishneh Torah, Reading the Shema 1:6:3",36
"Steinsaltz on Mishneh Torah, Reading the Shema 1:6:4",37
"Steinsaltz on Mishneh Torah, Reading the Shema 1:6:5",38
"Steinsaltz on Mishneh Torah, Reading the Shema 1:7:1",40
