ref,line_index
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 1:1:1",4
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 1:1:2",5
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 1:1:3",6
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 1:1:4",7
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 1:1:5",8
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 1:1:6",9
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 1:2:1",11
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 1:3:1",13
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 1:3:2",14
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 1:3:3",15
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 1:4:1",17
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 1:5:1",19
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 1:6:1",21
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 1:6:2",22
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 1:7:1",24
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 1:8:1",26
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 1:8:2",27
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 1:8:3",28
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 1:9:1",30
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 1:10:1",32
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 1:10:2",33
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 1:10:3",34
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 1:10:4",35
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 1:10:5",36
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 1:10:6",37
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 1:12:1",39
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 1:13:1",41
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 1:13:2",42
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 1:13:3",43
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 2:1:1",46
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 2:1:2",47
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 2:3:1",49
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 2:3:2",50
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 2:3:3",51
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 2:3:4",52
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 2:4:1",54
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 2:4:2",55
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 2:5:1",57
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 2:5:2",58
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 2:6:1",60
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 2:7:1",62
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 2:7:2",63
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 2:7:3",64
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 2:7:4",65
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 2:8:1",67
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 2:8:2",68
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 2:8:3",69
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 2:8:4",70
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 2:9:1",72
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 2:9:2",73
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 2:9:3",74
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 2:9:4",75
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 2:9:5",76
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 2:9:6",77
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 2:9:7",78
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 2:10:1",80
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 2:10:2",81
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 2:11:1",83
"Steinsaltz on Mishneh Torah, Scroll of Esther and Hanukkah 2:11:2",84
