ref,line_index
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:1:1",4
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:1:2",5
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:1:3",6
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:2:1",8
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:2:2",9
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:2:3",10
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:2:4",11
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:2:5",12
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:2:6",13
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:3:1",15
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:3:2",16
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:3:3",17
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:4:1",19
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:4:2",20
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:4:3",21
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:4:4",22
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:4:5",23
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:5:1",25
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:5:2",26
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:5:3",27
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:5:4",28
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:5:5",29
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:5:6",30
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:5:7",31
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:5:8",32
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:5:9",33
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:6:1",35
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:6:2",36
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:6:3",37
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:6:4",38
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:6:5",39
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:6:6",40
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:6:7",41
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:6:8",42
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:7:1",44
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:7:2",45
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:7:3",46
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:7:4",47
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:7:5",48
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:7:6",49
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:8:1",51
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:8:2",52
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:8:3",53
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:8:4",54
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:9:1",56
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:9:2",57
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:9:3",58
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:10:1",60
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:13:1",62
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:13:2",63
"Steinsaltz on Mishneh Torah, Sabbatical Year and the Jubilee 1:13:3",64
