ref,line_index
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 1:1:1",4
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 1:1:2",5
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 1:1:3",6
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 1:1:4",7
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 1:2:1",9
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 1:2:2",10
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 1:2:3",11
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 1:2:4",12
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 1:2:5",13
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 1:2:6",14
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 1:3:1",16
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 1:3:2",17
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 1:3:3",18
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 1:3:4",19
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 1:3:5",20
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 1:4:1",22
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 1:4:2",23
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 1:6:1",25
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 1:6:2",26
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 1:6:3",27
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 1:6:4",28
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 1:7:1",30
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 1:7:2",31
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 1:7:3",32
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 1:9:1",34
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 1:10:1",36
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 1:10:2",37
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 1:10:3",38
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 1:10:4",39
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 1:10:5",40
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 1:11:1",42
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 1:11:2",43
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 2:1:1",46
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 2:1:2",47
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 2:2:1",49
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 2:2:2",50
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 2:2:3",51
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 2:3:1",53
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 2:4:1",55
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 2:4:2",56
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 2:4:3",57
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 2:4:4",58
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 2:4:5",59
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 2:4:6",60
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 2:4:7",61
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 2:4:8",62
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 2:5:1",64
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 2:6:1",66
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 2:7:1",68
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 2:7:2",69
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 2:8:1",71
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 2:9:1",73
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 3:1:1",76
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 3:1:2",77
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 3:1:3",78
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 3:1:4",79
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 3:2:1",81
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 3:3:1",83
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 3:3:2",84
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 3:4:1",86
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 3:4:2",87
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 3:4:3",88
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 3:4:4",89
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 3:4:5",90
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 3:5:1",92
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 3:5:2",93
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 3:5:3",94
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 3:5:4",95
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 3:5:5",96
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 3:5:6",97
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 3:6:1",99
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 3:7:1",101
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 3:7:2",102
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 3:8:1",104
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 3:8:2",105
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 3:8:3",106
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 3:8:4",107
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 3:8:5",108
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 3:8:6",109
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 3:9:1",111
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 4:1:1",114
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 4:1:2",115
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 4:1:3",116
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 4:2:1",118
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 4:3:1",120
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 4:3:2",121
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 4:3:3",122
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 4:3:4",123
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 4:4:1",125
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 4:4:2",126
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 4:5:1",128
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 4:5:2",129
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 4:5:3",130
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 4:5:4",131
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 4:5:5",132
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 4:6:1",134
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 4:6:2",135
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 4:6:3",136
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 4:6:4",137
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 4:7:1",139
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 4:7:2",140
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 4:7:3",141
"Steinsaltz on Mishneh Torah, Defilement by Leprosy 4:7:4",142
