ref,line_index
"Steinsaltz on Mishneh Torah, Those Who Defile Bed or Seat 1:1:1",4
"Steinsaltz on Mishneh Torah, Those Who Defile Bed or Seat 1:1:2",5
"Steinsaltz on Mishneh Torah, Those Who Defile Bed or Seat 1:1:3",6
"Steinsaltz on Mishneh Torah, Those Who Defile Bed or Seat 1:1:4",7
"Steinsaltz on Mishneh Torah, Those Who Defile Bed or Seat 1:1:5",8
"Steinsaltz on Mishneh Torah, Those Who Defile Bed or Seat 1:1:6",9
"Steinsaltz on Mishneh Torah, Those Who Defile Bed or Seat 1:2:1",11
"Steinsaltz on Mishneh Torah, Those Who Defile Bed or Seat 1:2:2",12
"Steinsaltz on Mishneh Torah, Those Who Defile Bed or Seat 1:2:3",13
"Steinsaltz on Mishneh Torah, Those Who Defile Bed or Seat 1:2:4",14
"Steinsaltz on Mishneh Torah, Those Who Defile Bed or Seat 1:3:1",16
"Steinsaltz on Mishneh Torah, Those Who Defile Bed or Seat 1:3:2",17
"Steinsaltz on Mishneh Torah, Those Who Defile Bed or Seat 1:3:3",18
"Steinsaltz on Mishneh Torah, Those Who Defile Bed or Seat 1:3:4",19
"Steinsaltz on Mishneh Torah, Those Who Defile Bed or Seat 1:4:1",21
"Steinsaltz on Mishneh Torah, Those Who Defile Bed or Seat 1:5:1",23
"Steinsaltz on Mishneh Torah, Those Who Defile Bed or Seat 1:5:2",24
"Steinsaltz on Mishneh Torah, Those Who Defile Bed or Seat 1:6:1",26
"Steinsaltz on Mishneh Torah, Those Who Defile Bed or Seat 1:6:2",27
"Steinsaltz on Mishneh Torah, Those Who Defile Bed or Seat 1:7:1",29
"Steinsaltz on Mishneh Torah, Those Who Defile Bed or Seat 1:7:2",30
"Steinsaltz on Mishneh Torah, Those Who Defile Bed or Seat 1:7:3",31
"Steinsaltz on Mishneh Torah, Those Who Defile Bed or Seat 1:7:4",32
"Steinsaltz on Mishneh Torah, Those Who Defile Bed or Seat 1:7:5",33
"Steinsaltz on Mishneh Torah, Those Who Defile Bed or Seat 1:7:6",34
"Steinsaltz on Mishneh Torah, Those Who Defile Bed or Seat 1:7:7",35
"Steinsaltz on Mishneh Torah, Those Who Defile Bed or Seat 1:7:8",36
