ref,line_index
"Steinsaltz on Mishneh Torah, Immersion Pools 1:1:1",4
"Steinsaltz on Mishneh Torah, Immersion Pools 1:2:1",6
"Steinsaltz on Mishneh Torah, Immersion Pools 1:3:1",8
"Steinsaltz on Mishneh Torah, Immersion Pools 1:3:2",9
"Steinsaltz on Mishneh Torah, Immersion Pools 1:3:3",10
"Steinsaltz on Mishneh Torah, Immersion Pools 1:3:4",11
"Steinsaltz on Mishneh Torah, Immersion Pools 1:3:5",12
"Steinsaltz on Mishneh Torah, Immersion Pools 1:3:6",13
"Steinsaltz on Mishneh Torah, Immersion Pools 1:4:1",15
"Steinsaltz on Mishneh Torah, Immersion Pools 1:4:2",16
"Steinsaltz on Mishneh Torah, Immersion Pools 1:4:3",17
"Steinsaltz on Mishneh Torah, Immersion Pools 1:4:4",18
"Steinsaltz on Mishneh Torah, Immersion Pools 1:5:1",20
"Steinsaltz on Mishneh Torah, Immersion Pools 1:6:1",22
"Steinsaltz on Mishneh Torah, Immersion Pools 1:6:2",23
"Steinsaltz on Mishneh Torah, Immersion Pools 1:6:3",24
"Steinsaltz on Mishneh Torah, Immersion Pools 1:6:4",25
"Steinsaltz on Mishneh Torah, Immersion Pools 1:6:5",26
"Steinsaltz on Mishneh Torah, Immersion Pools 1:6:6",27
"Steinsaltz on Mishneh Torah, Immersion Pools 1:7:1",29
"Steinsaltz on Mishneh Torah, Immersion Pools 1:7:2",30
"Steinsaltz on Mishneh Torah, Immersion Pools 1:8:1",32
"Steinsaltz on Mishneh Torah, Immersion Pools 1:8:2",33
"Steinsaltz on Mishneh Torah, Immersion Pools 1:9:1",35
"Steinsaltz on Mishneh Torah, Immersion Pools 1:9:2",36
"Steinsaltz on Mishneh Torah, Immersion Pools 1:9:3",37
"Steinsaltz on Mishneh Torah, Immersion Pools 1:10:1",39
"Steinsaltz on Mishneh Torah, Immersion Pools 1:10:2",40
"Steinsaltz on Mishneh Torah, Immersion Pools 1:10:3",41
"Steinsaltz on Mishneh Torah, Immersion Pools 1:10:4",42
"Steinsaltz on Mishneh Torah, Immersion Pools 1:10:5",43
"Steinsaltz on Mishneh Torah, Immersion Pools 1:11:1",45
"Steinsaltz on Mishneh Torah, Immersion Pools 1:11:2",46
"Steinsaltz on Mishneh Torah, Immersion Pools 1:11:3",47
"Steinsaltz on Mishneh Torah, Immersion Pools 1:12:1",49
"Steinsaltz on Mishneh Torah, Immersion Pools 1:12:2",50
"Steinsaltz on Mishneh Torah, Immersion Pools 1:12:3",51
"Steinsaltz on Mishneh Torah, Immersion Pools 1:12:4",52
"Steinsaltz on Mishneh Torah, Immersion Pools 2:1:1",55
"Steinsaltz on Mishneh Torah, Immersion Pools 2:1:2",56
"Steinsaltz on Mishneh Torah, Immersion Pools 2:1:3",57
"Steinsaltz on Mishneh Torah, Immersion Pools 2:1:4",58
"Steinsaltz on Mishneh Torah, Immersion Pools 2:1:5",59
"Steinsaltz on Mishneh Torah, Immersion Pools 2:1:6",60
"Steinsaltz on Mishneh Torah, Immersion Pools 2:1:7",61
"Steinsaltz on Mishneh Torah, Immersion Pools 2:1:8",62
"Steinsaltz on Mishneh Torah, Immersion Pools 2:1:9",63
"Steinsaltz on Mishneh Torah, Immersion Pools 2:2:1",65
"Steinsaltz on Mishneh Torah, Immersion Pools 2:2:2",66
"Steinsaltz on Mishneh Torah, Immersion Pools 2:2:3",67
"Steinsaltz on Mishneh Torah, Immersion Pools 2:2:4",68
"Steinsaltz on Mishneh Torah, Immersion Pools 2:2:5",69
"Steinsaltz on Mishneh Torah, Immersion Pools 2:3:1",71
"Steinsaltz on Mishneh Torah, Immersion Pools 2:3:2",72
"Steinsaltz on Mishneh Torah, Immersion Pools 2:3:3",73
"Steinsaltz on Mishneh Torah, Immersion Pools 2:4:1",75
"Steinsaltz on Mishneh Torah, Immersion Pools 2:4:2",76
"Steinsaltz on Mishneh Torah, Immersion Pools 2:4:3",77
"Steinsaltz on Mishneh Torah, Immersion Pools 2:4:4",78
"Steinsaltz on Mishneh Torah, Immersion Pools 2:4:5",79
"Steinsaltz on Mishneh Torah, Immersion Pools 2:4:6",80
"Steinsaltz on Mishneh Torah, Immersion Pools 2:5:1",82
"Steinsaltz on Mishneh Torah, Immersion Pools 2:5:2",83
"Steinsaltz on Mishneh Torah, Immersion Pools 2:5:3",84
"Steinsaltz on Mishneh Torah, Immersion Pools 2:6:1",86
"Steinsaltz on Mishneh Torah, Immersion Pools 2:6:2",87
"Steinsaltz on Mishneh Torah, Immersion Pools 2:6:3",88
"Steinsaltz on Mishneh Torah, Immersion Pools 2:6:4",89
"Steinsaltz on Mishneh Torah, Immersion Pools 2:6:5",90
"Steinsaltz on Mishneh Torah, Immersion Pools 2:7:1",92
"Steinsaltz on Mishneh Torah, Immersion Pools 2:7:2",93
"Steinsaltz on Mishneh Torah, Immersion Pools 2:8:1",95
"Steinsaltz on Mishneh Torah, Immersion Pools 2:8:2",96
"Steinsaltz on Mishneh Torah, Immersion Pools 2:8:3",97
"Steinsaltz on Mishneh Torah, Immersion Pools 2:8:4",98
"Steinsaltz on Mishneh Torah, Immersion Pools 2:8:5",99
"Steinsaltz on Mishneh Torah, Immersion Pools 2:8:6",100
"Steinsaltz on Mishneh Torah, Immersion Pools 2:8:7",101
"Steinsaltz on Mishneh Torah, Immersion Pools 2:8:8",102
"Steinsaltz on Mishneh Torah, Immersion Pools 2:9:1",104
"Steinsaltz on Mishneh Torah, Immersion Pools 2:9:2",105
"Steinsaltz on Mishneh Torah, Immersion Pools 2:9:3",106
"Steinsaltz on Mishneh Torah, Immersion Pools 2:9:4",107
"Steinsaltz on Mishneh Torah, Immersion Pools 2:10:1",109
"Steinsaltz on Mishneh Torah, Immersion Pools 2:10:2",110
"Steinsaltz on Mishneh Torah, Immersion Pools 2:11:1",112
"Steinsaltz on Mishneh Torah, Immersion Pools 2:11:2",113
"Steinsaltz on Mishneh Torah, Immersion Pools 2:11:3",114
"Steinsaltz on Mishneh Torah, Immersion Pools 2:12:1",116
"Steinsaltz on Mishneh Torah, Immersion Pools 2:12:2",117
"Steinsaltz on Mishneh Torah, Immersion Pools 2:13:1",119
"Steinsaltz on Mishneh Torah, Immersion Pools 2:13:2",120
"Steinsaltz on Mishneh Torah, Immersion Pools 2:13:3",121
"Steinsaltz on Mishneh Torah, Immersion Pools 2:13:4",122
"Steinsaltz on Mishneh Torah, Immersion Pools 2:13:5",123
"Steinsaltz on Mishneh Torah, Immersion Pools 2:14:1",125
"Steinsaltz on Mishneh Torah, Immersion Pools 2:14:2",126
"Steinsaltz on Mishneh Torah, Immersion Pools 2:14:3",127
"Steinsaltz on Mishneh Torah, Immersion Pools 2:14:4",128
"Steinsaltz on Mishneh Torah, Immersion Pools 2:14:5",129
"Steinsaltz on Mishneh Torah, Immersion Pools 2:14:6",130
"Steinsaltz on Mishneh Torah, Immersion Pools 2:14:7",131
"Steinsaltz on Mishneh Torah, Immersion Pools 2:14:8",132
"Steinsaltz on Mishneh Torah, Immersion Pools 2:15:1",134
"Steinsaltz on Mishneh Torah, Immersion Pools 2:15:2",135
"Steinsaltz on Mishneh Torah, Immersion Pools 2:15:3",136
"Steinsaltz on Mishneh Torah, Immersion Pools 2:15:4",137
"Steinsaltz on Mishneh Torah, Immersion Pools 2:15:5",138
"Steinsaltz on Mishneh Torah, Immersion Pools 2:15:6",139
"Steinsaltz on Mishneh Torah, Immersion Pools 2:15:7",140
"Steinsaltz on Mishneh Torah, Immersion Pools 2:16:1",142
"Steinsaltz on Mishneh Torah, Immersion Pools 2:16:2",143
"Steinsaltz on Mishneh Torah, Immersion Pools 2:18:1",145
"Steinsaltz on Mishneh Torah, Immersion Pools 2:18:2",146
"Steinsaltz on Mishneh Torah, Immersion Pools 2:18:3",147
"Steinsaltz on Mishneh Torah, Immersion Pools 2:18:4",148
"Steinsaltz on Mishneh Torah, Immersion Pools 2:18:5",149
"Steinsaltz on Mishneh Torah, Immersion Pools 2:18:6",150
"Steinsaltz on Mishneh Torah, Immersion Pools 2:18:7",151
"Steinsaltz on Mishneh Torah, Immersion Pools 2:20:1",153
"Steinsaltz on Mishneh Torah, Immersion Pools 2:20:2",154
"Steinsaltz on Mishneh Torah, Immersion Pools 2:20:3",155
"Steinsaltz on Mishneh Torah, Immersion Pools 2:21:1",157
"Steinsaltz on Mishneh Torah, Immersion Pools 2:21:2",158
"Steinsaltz on Mishneh Torah, Immersion Pools 2:21:3",159
"Steinsaltz on Mishneh Torah, Immersion Pools 2:21:4",160
"Steinsaltz on Mishneh Torah, Immersion Pools 2:22:1",162
"Steinsaltz on Mishneh Torah, Immersion Pools 2:22:2",163
"Steinsaltz on Mishneh Torah, Immersion Pools 2:22:3",164
"Steinsaltz on Mishneh Torah, Immersion Pools 2:23:1",166
"Steinsaltz on Mishneh Torah, Immersion Pools 2:23:2",167
"Steinsaltz on Mishneh Torah, Immersion Pools 2:23:3",168
"Steinsaltz on Mishneh Torah, Immersion Pools 3:1:1",171
"Steinsaltz on Mishneh Torah, Immersion Pools 3:1:2",172
"Steinsaltz on Mishneh Torah, Immersion Pools 3:1:3",173
"Steinsaltz on Mishneh Torah, Immersion Pools 3:1:4",174
"Steinsaltz on Mishneh Torah, Immersion Pools 3:1:5",175
"Steinsaltz on Mishneh Torah, Immersion Pools 3:1:6",176
"Steinsaltz on Mishneh Torah, Immersion Pools 3:1:7",177
"Steinsaltz on Mishneh Torah, Immersion Pools 3:2:1",179
"Steinsaltz on Mishneh Torah, Immersion Pools 3:2:2",180
"Steinsaltz on Mishneh Torah, Immersion Pools 3:2:3",181
"Steinsaltz on Mishneh Torah, Immersion Pools 3:2:4",182
"Steinsaltz on Mishneh Torah, Immersion Pools 3:2:5",183
"Steinsaltz on Mishneh Torah, Immersion Pools 3:2:6",184
"Steinsaltz on Mishneh Torah, Immersion Pools 3:3:1",186
"Steinsaltz on Mishneh Torah, Immersion Pools 3:3:2",187
"Steinsaltz on Mishneh Torah, Immersion Pools 3:3:3",188
"Steinsaltz on Mishneh Torah, Immersion Pools 3:3:4",189
"Steinsaltz on Mishneh Torah, Immersion Pools 3:3:5",190
"Steinsaltz on Mishneh Torah, Immersion Pools 3:4:1",192
"Steinsaltz on Mishneh Torah, Immersion Pools 3:4:2",193
"Steinsaltz on Mishneh Torah, Immersion Pools 3:5:1",195
"Steinsaltz on Mishneh Torah, Immersion Pools 3:5:2",196
"Steinsaltz on Mishneh Torah, Immersion Pools 3:5:3",197
"Steinsaltz on Mishneh Torah, Immersion Pools 3:5:4",198
"Steinsaltz on Mishneh Torah, Immersion Pools 3:6:1",200
"Steinsaltz on Mishneh Torah, Immersion Pools 3:7:1",202
"Steinsaltz on Mishneh Torah, Immersion Pools 3:8:1",204
"Steinsaltz on Mishneh Torah, Immersion Pools 3:8:2",205
"Steinsaltz on Mishneh Torah, Immersion Pools 3:8:3",206
"Steinsaltz on Mishneh Torah, Immersion Pools 3:8:4",207
"Steinsaltz on Mishneh Torah, Immersion Pools 3:9:1",209
"Steinsaltz on Mishneh Torah, Immersion Pools 3:9:2",210
"Steinsaltz on Mishneh Torah, Immersion Pools 3:9:3",211
"Steinsaltz on Mishneh Torah, Immersion Pools 3:9:4",212
"Steinsaltz on Mishneh Torah, Immersion Pools 3:9:5",213
"Steinsaltz on Mishneh Torah, Immersion Pools 3:10:1",215
"Steinsaltz on Mishneh Torah, Immersion Pools 3:10:2",216
"Steinsaltz on Mishneh Torah, Immersion Pools 3:11:1",218
"Steinsaltz on Mishneh Torah, Immersion Pools 3:11:2",219
"Steinsaltz on Mishneh Torah, Immersion Pools 3:11:3",220
"Steinsaltz on Mishneh Torah, Immersion Pools 3:11:4",221
"Steinsaltz on Mishneh Torah, Immersion Pools 3:12:1",223
"Steinsaltz on Mishneh Torah, Immersion Pools 3:12:2",224
"Steinsaltz on Mishneh Torah, Immersion Pools 3:13:1",226
