ref,line_index
"Steinsaltz on Mishneh Torah, Human Dispositions 1:1:1",4
"Steinsaltz on Mishneh Torah, Human Dispositions 1:1:2",5
"Steinsaltz on Mishneh Torah, Human Dispositions 1:1:3",6
"Steinsaltz on Mishneh Torah, Human Dispositions 1:1:4",7
"Steinsaltz on Mishneh Torah, Human Dispositions 1:1:5",8
"Steinsaltz on Mishneh Torah, Human Dispositions 1:1:6",9
"Steinsaltz on Mishneh Torah, Human Dispositions 1:1:7",10
"Steinsaltz on Mishneh Torah, Human Dispositions 1:1:8",11
"Steinsaltz on Mishneh Torah, Human Dispositions 1:1:9",12
"Steinsaltz on Mishneh Torah, Human Dispositions 1:1:10",13
"Steinsaltz on Mishneh Torah, Human Dispositions 1:1:11",14
"Steinsaltz on Mishneh Torah, Human Dispositions 1:1:12",15
"Steinsaltz on Mishneh Torah, Human Dispositions 1:2:1",17
"Steinsaltz on Mishneh Torah, Human Dispositions 1:2:2",18
"Steinsaltz on Mishneh Torah, Human Dispositions 1:2:3",19
"Steinsaltz on Mishneh Torah, Human Dispositions 1:3:1",21
"Steinsaltz on Mishneh Torah, Human Dispositions 1:4:1",23
"Steinsaltz on Mishneh Torah, Human Dispositions 1:4:2",24
"Steinsaltz on Mishneh Torah, Human Dispositions 1:4:3",25
"Steinsaltz on Mishneh Torah, Human Dispositions 1:4:4",26
"Steinsaltz on Mishneh Torah, Human Dispositions 1:4:5",27
"Steinsaltz on Mishneh Torah, Human Dispositions 1:4:6",28
"Steinsaltz on Mishneh Torah, Human Dispositions 1:4:7",29
"Steinsaltz on Mishneh Torah, Human Dispositions 1:4:8",30
"Steinsaltz on Mishneh Torah, Human Dispositions 1:4:9",31
"Steinsaltz on Mishneh Torah, Human Dispositions 1:4:10",32
"Steinsaltz on Mishneh Torah, Human Dispositions 1:4:11",33
"Steinsaltz on Mishneh Torah, Human Dispositions 1:4:12",34
"Steinsaltz on Mishneh Torah, Human Dispositions 1:5:1",36
"Steinsaltz on Mishneh Torah, Human Dispositions 1:5:2",37
"Steinsaltz on Mishneh Torah, Human Dispositions 1:5:3",38
"Steinsaltz on Mishneh Torah, Human Dispositions 1:5:4",39
"Steinsaltz on Mishneh Torah, Human Dispositions 1:6:1",41
"Steinsaltz on Mishneh Torah, Human Dispositions 1:7:1",43
"Steinsaltz on Mishneh Torah, Human Dispositions 1:7:2",44
"Steinsaltz on Mishneh Torah, Human Dispositions 1:7:3",45
"Steinsaltz on Mishneh Torah, Human Dispositions 2:1:1",48
"Steinsaltz on Mishneh Torah, Human Dispositions 2:1:2",49
"Steinsaltz on Mishneh Torah, Human Dispositions 2:1:3",50
"Steinsaltz on Mishneh Torah, Human Dispositions 2:1:4",51
"Steinsaltz on Mishneh Torah, Human Dispositions 2:1:5",52
"Steinsaltz on Mishneh Torah, Human Dispositions 2:1:6",53
"Steinsaltz on Mishneh Torah, Human Dispositions 2:1:7",54
"Steinsaltz on Mishneh Torah, Human Dispositions 2:2:1",56
"Steinsaltz on Mishneh Torah, Human Dispositions 2:2:2",57
"Steinsaltz on Mishneh Torah, Human Dispositions 2:2:3",58
"Steinsaltz on Mishneh Torah, Human Dispositions 2:2:4",59
"Steinsaltz on Mishneh Torah, Human Dispositions 2:2:5",60
"Steinsaltz on Mishneh Torah, Human Dispositions 2:2:6",61
"Steinsaltz on Mishneh Torah, Human Dispositions 2:3:1",63
"Steinsaltz on Mishneh Torah, Human Dispositions 2:3:2",64
"Steinsaltz on Mishneh Torah, Human Dispositions 2:3:3",65
"Steinsaltz on Mishneh Torah, Human Dispositions 2:3:4",66
"Steinsaltz on Mishneh Torah, Human Dispositions 2:3:5",67
"Steinsaltz on Mishneh Torah, Human Dispositions 2:3:6",68
"Steinsaltz on Mishneh Torah, Human Dispositions 2:3:7",69
"Steinsaltz on Mishneh Torah, Human Dispositions 2:3:8",70
"Steinsaltz on Mishneh Torah, Human Dispositions 2:3:9",71
"Steinsaltz on Mishneh Torah, Human Dispositions 2:3:10",72
"Steinsaltz on Mishneh Torah, Human Dispositions 2:3:11",73
"Steinsaltz on Mishneh Torah, Human Dispositions 2:3:12",74
"Steinsaltz on Mishneh Torah, Human Dispositions 2:3:13",75
"Steinsaltz on Mishneh Torah, Human Dispositions 2:3:14",76
"Steinsaltz on Mishneh Torah, Human Dispositions 2:4:1",78
"Steinsaltz on Mishneh Torah, Human Dispositions 2:4:2",79
"Steinsaltz on Mishneh Torah, Human Dispositions 2:4:3",80
"Steinsaltz on Mishneh Torah, Human Dispositions 2:4:4",81
"Steinsaltz on Mishneh Torah, Human Dispositions 2:4:5",82
"Steinsaltz on Mishneh Torah, Human Dispositions 2:4:6",83
"Steinsaltz on Mishneh Torah, Human Dispositions 2:4:7",84
"Steinsaltz on Mishneh Torah, Human Dispositions 2:4:8",85
"Steinsaltz on Mishneh Torah, Human Dispositions 2:4:9",86
"Steinsaltz on Mishneh Torah, Human Dispositions 2:4:10",87
"Steinsaltz on Mishneh Torah, Human Dispositions 2:5:1",89
"Steinsaltz on Mishneh Torah, Human Dispositions 2:5:2",90
"Steinsaltz on Mishneh Torah, Human Dispositions 2:5:3",91
"Steinsaltz on Mishneh Torah, Human Dispositions 2:5:4",92
"Steinsaltz on Mishneh Torah, Human Dispositions 2:6:1",94
"Steinsaltz on Mishneh Torah, Human Dispositions 2:6:2",95
"Steinsaltz on Mishneh Torah, Human Dispositions 2:6:3",96
"Steinsaltz on Mishneh Torah, Human Dispositions 2:6:4",97
"Steinsaltz on Mishneh Torah, Human Dispositions 2:6:5",98
"Steinsaltz on Mishneh Torah, Human Dispositions 2:6:6",99
"Steinsaltz on Mishneh Torah, Human Dispositions 2:6:7",100
"Steinsaltz on Mishneh Torah, Human Dispositions 2:6:8",101
"Steinsaltz on Mishneh Torah, Human Dispositions 2:6:9",102
"Steinsaltz on Mishneh Torah, Human Dispositions 2:6:10",103
"Steinsaltz on Mishneh Torah, Human Dispositions 2:6:11",104
"Steinsaltz on Mishneh Torah, Human Dispositions 2:7:1",106
"Steinsaltz on Mishneh Torah, Human Dispositions 2:7:2",107
"Steinsaltz on Mishneh Torah, Human Dispositions 2:7:3",108
"Steinsaltz on Mishneh Torah, Human Dispositions 2:7:4",109
"Steinsaltz on Mishneh Torah, Human Dispositions 2:7:5",110
"Steinsaltz on Mishneh Torah, Human Dispositions 2:7:6",111
"Steinsaltz on Mishneh Torah, Human Dispositions 2:7:7",112
"Steinsaltz on Mishneh Torah, Human Dispositions 3:1:1",115
"Steinsaltz on Mishneh Torah, Human Dispositions 3:1:2",116
"Steinsaltz on Mishneh Torah, Human Dispositions 3:1:3",117
"Steinsaltz on Mishneh Torah, Human Dispositions 3:1:4",118
"Steinsaltz on Mishneh Torah, Human Dispositions 3:1:5",119
"Steinsaltz on Mishneh Torah, Human Dispositions 3:1:6",120
"Steinsaltz on Mishneh Torah, Human Dispositions 3:1:7",121
"Steinsaltz on Mishneh Torah, Human Dispositions 3:1:8",122
