ref,line_index
"Steinsaltz on Mishneh Torah, Foreign Worship and Customs of the Nations 1:1:1",4
"Steinsaltz on Mishneh Torah, Foreign Worship and Customs of the Nations 1:1:2",5
"Steinsaltz on Mishneh Torah, Foreign Worship and Customs of the Nations 1:1:3",6
"Steinsaltz on Mishneh Torah, Foreign Worship and Customs of the Nations 1:1:4",7
"Steinsaltz on Mishneh Torah, Foreign Worship and Customs of the Nations 1:1:5",8
"Steinsaltz on Mishneh Torah, Foreign Worship and Customs of the Nations 1:1:6",9
"Steinsaltz on Mishneh Torah, Foreign Worship and Customs of the Nations 1:2:1",11
"Steinsaltz on Mishneh Torah, Foreign Worship and Customs of the Nations 1:2:2",12
"Steinsaltz on Mishneh Torah, Foreign Worship and Customs of the Nations 1:2:3",13
"Steinsaltz on Mishneh Torah, Foreign Worship and Customs of the Nations 1:2:4",14
"Steinsaltz on Mishneh Torah, Foreign Worship and Customs of the Nations 1:2:5",15
"Steinsaltz on Mishneh Torah, Foreign Worship and Customs of the Nations 1:2:6",16
"Steinsaltz on Mishneh Torah, Foreign Worship and Customs of the Nations 1:2:7",17
"Steinsaltz on Mishneh Torah, Foreign Worship and Customs of the Nations 1:2:8",18
"Steinsaltz on Mishneh Torah, Foreign Worship and Customs of the Nations 1:2:9",19
"Steinsaltz on Mishneh Torah, Foreign Worship and Customs of the Nations 1:2:10",20
"Steinsaltz on Mishneh Torah, Foreign Worship and Customs of the Nations 1:3:1",22
"Steinsaltz on Mishneh Torah, Foreign Worship and Customs of the Nations 1:3:2",23
"Steinsaltz on Mishneh Torah, Foreign Worship and Customs of the Nations 1:3:3",24
"Steinsaltz on Mishneh Torah, Foreign Worship and Customs of the Nations 1:3:4",25
"Steinsaltz on Mishneh Torah, Foreign Worship and Customs of the Nations 1:3:5",26
"Steinsaltz on Mishneh Torah, Foreign Worship and Customs of the Nations 1:3:6",27
"Steinsaltz on Mishneh Torah, Foreign Worship and Customs of the Nations 1:3:7",28
"Steinsaltz on Mishneh Torah, Foreign Worship and Customs of the Nations 1:3:8",29
"Steinsaltz on Mishneh Torah, Foreign Worship and Customs of the Nations 1:3:9",30
"Steinsaltz on Mishneh Torah, Foreign Worship and Customs of the Nations 1:3:10",31
"Steinsaltz on Mishneh Torah, Foreign Worship and Customs of the Nations 1:3:11",32
"Steinsaltz on Mishneh Torah, Foreign Worship and Customs of the Nations 1:3:12",33
"Steinsaltz on Mishneh Torah, Foreign Worship and Customs of the Nations 1:3:13",34
"Steinsaltz on Mishneh Torah, Foreign Worship and Customs of the Nations 1:3:14",35
"Steinsaltz on Mishneh Torah, Foreign Worship and Customs of the Nations 1:3:15",36
"Steinsaltz on Mishneh Torah, Foreign Worship and Customs of the Nations 1:3:16",37
"Steinsaltz on Mishneh Torah, Foreign Worship and Customs of the Nations 1:3:17",38
"Steinsaltz on Mishneh Torah, Foreign Worship and Customs of the Nations 1:3:18",39
"Steinsaltz on Mishneh Torah, Foreign Worship and Customs of the Nations 1:3:19",40
"Steinsaltz on Mishneh Torah, Foreign Worship and Customs of the Nations 1:3:20",41
