ref,line_index
"Steinsaltz on Mishneh Torah, Repentance 1:1:1",4
"Steinsaltz on Mishneh Torah, Repentance 1:1:2",5
"Steinsaltz on Mishneh Torah, Repentance 1:1:3",6
"Steinsaltz on Mishneh Torah, Repentance 1:1:4",7
"Steinsaltz on Mishneh Torah, Repentance 1:1:5",8
"Steinsaltz on Mishneh Torah, Repentance 1:1:6",9
"Steinsaltz on Mishneh Torah, Repentance 1:1:7",10
"Steinsaltz on Mishneh Torah, Repentance 1:1:8",11
"Steinsaltz on Mishneh Torah, Repentance 1:1:9",12
"Steinsaltz on Mishneh Torah, Repentance 1:1:10",13
"Steinsaltz on Mishneh Torah, Repentance 1:1:11",14
"Steinsaltz on Mishneh Torah, Repentance 1:1:12",15
"Steinsaltz on Mishneh Torah, Repentance 1:1:13",16
"Steinsaltz on Mishneh Torah, Repentance 1:1:14",17
"Steinsaltz on Mishneh Torah, Repentance 1:2:1",19
"Steinsaltz on Mishneh Torah, Repentance 1:2:2",20
"Steinsaltz on Mishneh Torah, Repentance 1:2:3",21
"Steinsaltz on Mishneh Torah, Repentance 1:2:4",22
"Steinsaltz on Mishneh Torah, Repentance 1:2:5",23
"Steinsaltz on Mishneh Torah, Repentance 1:3:1",25
"Steinsaltz on Mishneh Torah, Repentance 1:3:2",26
"Steinsaltz on Mishneh Torah, Repentance 1:3:3",27
"Steinsaltz on Mishneh Torah, Repentance 1:3:4",28
"Steinsaltz on Mishneh Torah, Repentance 1:4:1",30
"Steinsaltz on Mishneh Torah, Repentance 1:4:2",31
"Steinsaltz on Mishneh Torah, Repentance 1:4:3",32
"Steinsaltz on Mishneh Torah, Repentance 1:4:4",33
"Steinsaltz on Mishneh Torah, Repentance 1:4:5",34
"Steinsaltz on Mishneh Torah, Repentance 1:4:6",35
"Steinsaltz on Mishneh Torah, Repentance 1:4:7",36
"Steinsaltz on Mishneh Torah, Repentance 2:1:1",39
"Steinsaltz on Mishneh Torah, Repentance 2:1:2",40
"Steinsaltz on Mishneh Torah, Repentance 2:1:3",41
"Steinsaltz on Mishneh Torah, Repentance 2:1:4",42
"Steinsaltz on Mishneh Torah, Repentance 2:1:5",43
"Steinsaltz on Mishneh Torah, Repentance 2:1:6",44
"Steinsaltz on Mishneh Torah, Repentance 2:1:7",45
"Steinsaltz on Mishneh Torah, Repentance 2:2:1",47
"Steinsaltz on Mishneh Torah, Repentance 2:2:2",48
"Steinsaltz on Mishneh Torah, Repentance 2:2:3",49
"Steinsaltz on Mishneh Torah, Repentance 2:2:4",50
"Steinsaltz on Mishneh Torah, Repentance 2:2:5",51
"Steinsaltz on Mishneh Torah, Repentance 2:2:6",52
"Steinsaltz on Mishneh Torah, Repentance 2:3:1",54
"Steinsaltz on Mishneh Torah, Repentance 2:3:2",55
"Steinsaltz on Mishneh Torah, Repentance 2:3:3",56
"Steinsaltz on Mishneh Torah, Repentance 2:3:4",57
"Steinsaltz on Mishneh Torah, Repentance 2:4:1",59
"Steinsaltz on Mishneh Torah, Repentance 2:4:2",60
"Steinsaltz on Mishneh Torah, Repentance 2:4:3",61
"Steinsaltz on Mishneh Torah, Repentance 2:4:4",62
