ref,line_index
"Steinsaltz on Mishneh Torah, Inheritances 1:1:1",4
"Steinsaltz on Mishneh Torah, Inheritances 1:1:2",5
"Steinsaltz on Mishneh Torah, Inheritances 1:2:1",7
"Steinsaltz on Mishneh Torah, Inheritances 1:2:2",8
"Steinsaltz on Mishneh Torah, Inheritances 1:3:1",10
"Steinsaltz on Mishneh Torah, Inheritances 1:3:2",11
"Steinsaltz on Mishneh Torah, Inheritances 1:3:3",12
"Steinsaltz on Mishneh Torah, Inheritances 1:3:4",13
"Steinsaltz on Mishneh Torah, Inheritances 1:3:5",14
"Steinsaltz on Mishneh Torah, Inheritances 1:3:6",15
"Steinsaltz on Mishneh Torah, Inheritances 1:3:7",16
"Steinsaltz on Mishneh Torah, Inheritances 1:3:8",17
"Steinsaltz on Mishneh Torah, Inheritances 1:4:1",19
"Steinsaltz on Mishneh Torah, Inheritances 1:5:1",21
"Steinsaltz on Mishneh Torah, Inheritances 1:5:2",22
"Steinsaltz on Mishneh Torah, Inheritances 1:6:1",24
"Steinsaltz on Mishneh Torah, Inheritances 1:6:2",25
"Steinsaltz on Mishneh Torah, Inheritances 1:7:1",27
"Steinsaltz on Mishneh Torah, Inheritances 1:7:2",28
"Steinsaltz on Mishneh Torah, Inheritances 1:7:3",29
"Steinsaltz on Mishneh Torah, Inheritances 1:7:4",30
"Steinsaltz on Mishneh Torah, Inheritances 1:8:1",32
"Steinsaltz on Mishneh Torah, Inheritances 1:8:2",33
"Steinsaltz on Mishneh Torah, Inheritances 1:8:3",34
"Steinsaltz on Mishneh Torah, Inheritances 1:8:4",35
"Steinsaltz on Mishneh Torah, Inheritances 1:8:5",36
"Steinsaltz on Mishneh Torah, Inheritances 1:8:6",37
"Steinsaltz on Mishneh Torah, Inheritances 1:8:7",38
"Steinsaltz on Mishneh Torah, Inheritances 1:9:1",40
"Steinsaltz on Mishneh Torah, Inheritances 1:9:2",41
"Steinsaltz on Mishneh Torah, Inheritances 1:9:3",42
"Steinsaltz on Mishneh Torah, Inheritances 1:9:4",43
"Steinsaltz on Mishneh Torah, Inheritances 1:9:5",44
"Steinsaltz on Mishneh Torah, Inheritances 1:9:6",45
"Steinsaltz on Mishneh Torah, Inheritances 1:9:7",46
"Steinsaltz on Mishneh Torah, Inheritances 1:10:1",48
"Steinsaltz on Mishneh Torah, Inheritances 1:10:2",49
"Steinsaltz on Mishneh Torah, Inheritances 1:11:1",51
"Steinsaltz on Mishneh Torah, Inheritances 1:11:2",52
"Steinsaltz on Mishneh Torah, Inheritances 1:12:1",54
"Steinsaltz on Mishneh Torah, Inheritances 1:13:1",56
"Steinsaltz on Mishneh Torah, Inheritances 1:13:2",57
"Steinsaltz on Mishneh Torah, Inheritances 1:13:3",58
"Steinsaltz on Mishneh Torah, Inheritances 2:1:1",61
"Steinsaltz on Mishneh Torah, Inheritances 2:1:2",62
"Steinsaltz on Mishneh Torah, Inheritances 2:1:3",63
"Steinsaltz on Mishneh Torah, Inheritances 2:1:4",64
"Steinsaltz on Mishneh Torah, Inheritances 2:1:5",65
"Steinsaltz on Mishneh Torah, Inheritances 2:2:1",67
"Steinsaltz on Mishneh Torah, Inheritances 2:2:2",68
"Steinsaltz on Mishneh Torah, Inheritances 2:2:3",69
"Steinsaltz on Mishneh Torah, Inheritances 2:3:1",71
"Steinsaltz on Mishneh Torah, Inheritances 2:3:2",72
"Steinsaltz on Mishneh Torah, Inheritances 2:4:1",74
"Steinsaltz on Mishneh Torah, Inheritances 2:5:1",76
"Steinsaltz on Mishneh Torah, Inheritances 2:6:1",78
"Steinsaltz on Mishneh Torah, Inheritances 2:6:2",79
"Steinsaltz on Mishneh Torah, Inheritances 2:6:3",80
"Steinsaltz on Mishneh Torah, Inheritances 2:6:4",81
"Steinsaltz on Mishneh Torah, Inheritances 2:6:5",82
"Steinsaltz on Mishneh Torah, Inheritances 2:6:6",83
"Steinsaltz on Mishneh Torah, Inheritances 2:7:1",85
"Steinsaltz on Mishneh Torah, Inheritances 2:7:2",86
"Steinsaltz on Mishneh Torah, Inheritances 2:7:3",87
"Steinsaltz on Mishneh Torah, Inheritances 2:8:1",89
"Steinsaltz on Mishneh Torah, Inheritances 2:8:2",90
"Steinsaltz on Mishneh Torah, Inheritances 2:9:1",92
"Steinsaltz on Mishneh Torah, Inheritances 2:10:1",94
"Steinsaltz on Mishneh Torah, Inheritances 2:10:2",95
"Steinsaltz on Mishneh Torah, Inheritances 2:10:3",96
"Steinsaltz on Mishneh Torah, Inheritances 2:10:4",97
"Steinsaltz on Mishneh Torah, Inheritances 2:10:5",98
"Steinsaltz on Mishneh Torah, Inheritances 2:11:1",100
"Steinsaltz on Mishneh Torah, Inheritances 2:11:2",101
"Steinsaltz on Mishneh Torah, Inheritances 2:11:3",102
"Steinsaltz on Mishneh Torah, Inheritances 2:12:1",104
"Steinsaltz on Mishneh Torah, Inheritances 2:12:2",105
"Steinsaltz on Mishneh Torah, Inheritances 2:12:3",106
"Steinsaltz on Mishneh Torah, Inheritances 2:12:4",107
"Steinsaltz on Mishneh Torah, Inheritances 2:13:1",109
"Steinsaltz on Mishneh Torah, Inheritances 2:13:2",110
"Steinsaltz on Mishneh Torah, Inheritances 2:13:3",111
"Steinsaltz on Mishneh Torah, Inheritances 2:14:1",113
"Steinsaltz on Mishneh Torah, Inheritances 2:14:2",114
"Steinsaltz on Mishneh Torah, Inheritances 2:14:3",115
"Steinsaltz on Mishneh Torah, Inheritances 2:14:4",116
"Steinsaltz on Mishneh Torah, Inheritances 2:14:5",117
"Steinsaltz on Mishneh Torah, Inheritances 2:15:1",119
"Steinsaltz on Mishneh Torah, Inheritances 2:15:2",120
"Steinsaltz on Mishneh Torah, Inheritances 2:15:3",121
"Steinsaltz on Mishneh Torah, Inheritances 2:16:1",123
"Steinsaltz on Mishneh Torah, Inheritances 2:17:1",125
"Steinsaltz on Mishneh Torah, Inheritances 3:1:1",128
"Steinsaltz on Mishneh Torah, Inheritances 3:1:2",129
"Steinsaltz on Mishneh Torah, Inheritances 3:1:3",130
"Steinsaltz on Mishneh Torah, Inheritances 3:1:4",131
"Steinsaltz on Mishneh Torah, Inheritances 3:1:5",132
"Steinsaltz on Mishneh Torah, Inheritances 3:1:6",133
"Steinsaltz on Mishneh Torah, Inheritances 3:2:1",135
"Steinsaltz on Mishneh Torah, Inheritances 3:2:2",136
"Steinsaltz on Mishneh Torah, Inheritances 3:2:3",137
"Steinsaltz on Mishneh Torah, Inheritances 3:2:4",138
"Steinsaltz on Mishneh Torah, Inheritances 3:3:1",140
"Steinsaltz on Mishneh Torah, Inheritances 3:3:2",141
"Steinsaltz on Mishneh Torah, Inheritances 3:4:1",143
"Steinsaltz on Mishneh Torah, Inheritances 3:4:2",144
"Steinsaltz on Mishneh Torah, Inheritances 3:4:3",145
