ref,line_index
"Steinsaltz on Mishneh Torah, Hiring 1:1:1",4
"Steinsaltz on Mishneh Torah, Hiring 1:1:2",5
"Steinsaltz on Mishneh Torah, Hiring 1:1:3",6
"Steinsaltz on Mishneh Torah, Hiring 1:1:4",7
"Steinsaltz on Mishneh Torah, Hiring 1:1:5",8
"Steinsaltz on Mishneh Torah, Hiring 1:2:1",10
"Steinsaltz on Mishneh Torah, Hiring 1:2:2",11
"Steinsaltz on Mishneh Torah, Hiring 1:2:3",12
"Steinsaltz on Mishneh Torah, Hiring 1:2:4",13
"Steinsaltz on Mishneh Torah, Hiring 1:2:5",14
"Steinsaltz on Mishneh Torah, Hiring 1:2:6",15
"Steinsaltz on Mishneh Torah, Hiring 1:2:7",16
"Steinsaltz on Mishneh Torah, Hiring 1:2:8",17
"Steinsaltz on Mishneh Torah, Hiring 1:2:9",18
"Steinsaltz on Mishneh Torah, Hiring 1:2:10",19
"Steinsaltz on Mishneh Torah, Hiring 1:2:11",20
"Steinsaltz on Mishneh Torah, Hiring 1:2:12",21
"Steinsaltz on Mishneh Torah, Hiring 1:2:13",22
"Steinsaltz on Mishneh Torah, Hiring 1:2:14",23
"Steinsaltz on Mishneh Torah, Hiring 1:3:1",25
"Steinsaltz on Mishneh Torah, Hiring 1:3:2",26
"Steinsaltz on Mishneh Torah, Hiring 1:3:3",27
"Steinsaltz on Mishneh Torah, Hiring 1:3:4",28
"Steinsaltz on Mishneh Torah, Hiring 1:3:5",29
"Steinsaltz on Mishneh Torah, Hiring 1:4:1",31
"Steinsaltz on Mishneh Torah, Hiring 1:4:2",32
"Steinsaltz on Mishneh Torah, Hiring 1:4:3",33
"Steinsaltz on Mishneh Torah, Hiring 1:4:4",34
"Steinsaltz on Mishneh Torah, Hiring 1:4:5",35
"Steinsaltz on Mishneh Torah, Hiring 1:4:6",36
"Steinsaltz on Mishneh Torah, Hiring 1:4:7",37
"Steinsaltz on Mishneh Torah, Hiring 1:4:8",38
"Steinsaltz on Mishneh Torah, Hiring 1:4:9",39
"Steinsaltz on Mishneh Torah, Hiring 1:4:10",40
"Steinsaltz on Mishneh Torah, Hiring 1:4:11",41
"Steinsaltz on Mishneh Torah, Hiring 1:5:1",43
"Steinsaltz on Mishneh Torah, Hiring 1:5:2",44
"Steinsaltz on Mishneh Torah, Hiring 1:5:3",45
"Steinsaltz on Mishneh Torah, Hiring 1:6:1",47
"Steinsaltz on Mishneh Torah, Hiring 1:6:2",48
"Steinsaltz on Mishneh Torah, Hiring 1:6:3",49
"Steinsaltz on Mishneh Torah, Hiring 1:6:4",50
"Steinsaltz on Mishneh Torah, Hiring 1:6:5",51
"Steinsaltz on Mishneh Torah, Hiring 1:6:6",52
"Steinsaltz on Mishneh Torah, Hiring 1:6:7",53
"Steinsaltz on Mishneh Torah, Hiring 1:6:8",54
"Steinsaltz on Mishneh Torah, Hiring 2:1:1",57
"Steinsaltz on Mishneh Torah, Hiring 2:1:2",58
"Steinsaltz on Mishneh Torah, Hiring 2:1:3",59
"Steinsaltz on Mishneh Torah, Hiring 2:1:4",60
"Steinsaltz on Mishneh Torah, Hiring 2:1:5",61
"Steinsaltz on Mishneh Torah, Hiring 2:1:6",62
"Steinsaltz on Mishneh Torah, Hiring 2:1:7",63
"Steinsaltz on Mishneh Torah, Hiring 2:1:8",64
"Steinsaltz on Mishneh Torah, Hiring 2:2:1",66
"Steinsaltz on Mishneh Torah, Hiring 2:2:2",67
"Steinsaltz on Mishneh Torah, Hiring 2:3:1",69
"Steinsaltz on Mishneh Torah, Hiring 2:3:2",70
"Steinsaltz on Mishneh Torah, Hiring 2:3:3",71
"Steinsaltz on Mishneh Torah, Hiring 2:3:4",72
"Steinsaltz on Mishneh Torah, Hiring 2:4:1",74
"Steinsaltz on Mishneh Torah, Hiring 2:5:1",76
"Steinsaltz on Mishneh Torah, Hiring 2:5:2",77
"Steinsaltz on Mishneh Torah, Hiring 2:5:3",78
"Steinsaltz on Mishneh Torah, Hiring 2:6:1",80
"Steinsaltz on Mishneh Torah, Hiring 2:7:1",82
"Steinsaltz on Mishneh Torah, Hiring 2:8:1",84
"Steinsaltz on Mishneh Torah, Hiring 2:8:2",85
"Steinsaltz on Mishneh Torah, Hiring 2:8:3",86
"Steinsaltz on Mishneh Torah, Hiring 2:8:4",87
"Steinsaltz on Mishneh Torah, Hiring 2:8:5",88
"Steinsaltz on Mishneh Torah, Hiring 2:8:6",89
"Steinsaltz on Mishneh Torah, Hiring 2:8:7",90
"Steinsaltz on Mishneh Torah, Hiring 2:8:8",91
"Steinsaltz on Mishneh Torah, Hiring 2:9:1",93
"Steinsaltz on Mishneh Torah, Hiring 2:9:2",94
"Steinsaltz on Mishneh Torah, Hiring 2:10:1",96
"Steinsaltz on Mishneh Torah, Hiring 2:10:2",97
"Steinsaltz on Mishneh Torah, Hiring 2:11:1",99
"Steinsaltz on Mishneh Torah, Hiring 2:11:2",100
"Steinsaltz on Mishneh Torah, Hiring 2:11:3",101
