ref,line_index
"Steinsaltz on Mishneh Torah, Damages to Property 1:1:1",4
"Steinsaltz on Mishneh Torah, Damages to Property 1:1:2",5
"Steinsaltz on Mishneh Torah, Damages to Property 1:1:3",6
"Steinsaltz on Mishneh Torah, Damages to Property 1:1:4",7
"Steinsaltz on Mishneh Torah, Damages to Property 1:2:1",9
"Steinsaltz on Mishneh Torah, Damages to Property 1:2:2",10
"Steinsaltz on Mishneh Torah, Damages to Property 1:2:3",11
"Steinsaltz on Mishneh Torah, Damages to Property 1:2:4",12
"Steinsaltz on Mishneh Torah, Damages to Property 1:2:5",13
"Steinsaltz on Mishneh Torah, Damages to Property 1:2:6",14
"Steinsaltz on Mishneh Torah, Damages to Property 1:3:1",16
"Steinsaltz on Mishneh Torah, Damages to Property 1:3:2",17
"Steinsaltz on Mishneh Torah, Damages to Property 1:3:3",18
"Steinsaltz on Mishneh Torah, Damages to Property 1:3:4",19
"Steinsaltz on Mishneh Torah, Damages to Property 1:3:5",20
"Steinsaltz on Mishneh Torah, Damages to Property 1:3:6",21
"Steinsaltz on Mishneh Torah, Damages to Property 1:4:1",23
"Steinsaltz on Mishneh Torah, Damages to Property 1:4:2",24
"Steinsaltz on Mishneh Torah, Damages to Property 1:4:3",25
"Steinsaltz on Mishneh Torah, Damages to Property 1:4:4",26
"Steinsaltz on Mishneh Torah, Damages to Property 1:4:5",27
"Steinsaltz on Mishneh Torah, Damages to Property 1:5:1",29
"Steinsaltz on Mishneh Torah, Damages to Property 1:5:2",30
"Steinsaltz on Mishneh Torah, Damages to Property 1:5:3",31
"Steinsaltz on Mishneh Torah, Damages to Property 1:5:4",32
"Steinsaltz on Mishneh Torah, Damages to Property 1:5:5",33
"Steinsaltz on Mishneh Torah, Damages to Property 1:6:1",35
"Steinsaltz on Mishneh Torah, Damages to Property 1:6:2",36
"Steinsaltz on Mishneh Torah, Damages to Property 1:6:3",37
"Steinsaltz on Mishneh Torah, Damages to Property 1:7:1",39
"Steinsaltz on Mishneh Torah, Damages to Property 1:7:2",40
"Steinsaltz on Mishneh Torah, Damages to Property 1:7:3",41
"Steinsaltz on Mishneh Torah, Damages to Property 1:8:1",43
"Steinsaltz on Mishneh Torah, Damages to Property 1:8:2",44
"Steinsaltz on Mishneh Torah, Damages to Property 1:8:3",45
"Steinsaltz on Mishneh Torah, Damages to Property 1:8:4",46
"Steinsaltz on Mishneh Torah, Damages to Property 1:9:1",48
"Steinsaltz on Mishneh Torah, Damages to Property 1:9:2",49
"Steinsaltz on Mishneh Torah, Damages to Property 1:9:3",50
"Steinsaltz on Mishneh Torah, Damages to Property 1:9:4",51
"Steinsaltz on Mishneh Torah, Damages to Property 1:10:1",53
"Steinsaltz on Mishneh Torah, Damages to Property 1:10:2",54
"Steinsaltz on Mishneh Torah, Damages to Property 1:10:3",55
"Steinsaltz on Mishneh Torah, Damages to Property 1:10:4",56
"Steinsaltz on Mishneh Torah, Damages to Property 1:10:5",57
"Steinsaltz on Mishneh Torah, Damages to Property 1:10:6",58
"Steinsaltz on Mishneh Torah, Damages to Property 1:10:7",59
"Steinsaltz on Mishneh Torah, Damages to Property 1:10:8",60
"Steinsaltz on Mishneh Torah, Damages to Property 1:10:9",61
"Steinsaltz on Mishneh Torah, Damages to Property 1:10:10",62
"Steinsaltz on Mishneh Torah, Damages to Property 1:10:11",63
"Steinsaltz on Mishneh Torah, Damages to Property 1:10:12",64
"Steinsaltz on Mishneh Torah, Damages to Property 1:11:1",66
"Steinsaltz on Mishneh Torah, Damages to Property 1:11:2",67
"Steinsaltz on Mishneh Torah, Damages to Property 1:11:3",68
"Steinsaltz on Mishneh Torah, Damages to Property 1:11:4",69
"Steinsaltz on Mishneh Torah, Damages to Property 1:11:5",70
"Steinsaltz on Mishneh Torah, Damages to Property 1:11:6",71
"Steinsaltz on Mishneh Torah, Damages to Property 2:1:1",74
"Steinsaltz on Mishneh Torah, Damages to Property 2:1:2",75
"Steinsaltz on Mishneh Torah, Damages to Property 2:1:3",76
"Steinsaltz on Mishneh Torah, Damages to Property 2:1:4",77
"Steinsaltz on Mishneh Torah, Damages to Property 2:1:5",78
"Steinsaltz on Mishneh Torah, Damages to Property 2:2:1",80
"Steinsaltz on Mishneh Torah, Damages to Property 2:2:2",81
"Steinsaltz on Mishneh Torah, Damages to Property 2:2:3",82
"Steinsaltz on Mishneh Torah, Damages to Property 2:2:4",83
"Steinsaltz on Mishneh Torah, Damages to Property 2:2:5",84
"Steinsaltz on Mishneh Torah, Damages to Property 2:3:1",86
"Steinsaltz on Mishneh Torah, Damages to Property 2:3:2",87
"Steinsaltz on Mishneh Torah, Damages to Property 2:4:1",89
"Steinsaltz on Mishneh Torah, Damages to Property 2:4:2",90
"Steinsaltz on Mishneh Torah, Damages to Property 2:4:3",91
"Steinsaltz on Mishneh Torah, Damages to Property 2:4:4",92
"Steinsaltz on Mishneh Torah, Damages to Property 2:4:5",93
"Steinsaltz on Mishneh Torah, Damages to Property 2:5:1",95
"Steinsaltz on Mishneh Torah, Damages to Property 2:5:2",96
"Steinsaltz on Mishneh Torah, Damages to Property 2:5:3",97
"Steinsaltz on Mishneh Torah, Damages to Property 2:5:4",98
"Steinsaltz on Mishneh Torah, Damages to Property 2:5:5",99
"Steinsaltz on Mishneh Torah, Damages to Property 2:5:6",100
"Steinsaltz on Mishneh Torah, Damages to Property 2:6:1",102
"Steinsaltz on Mishneh Torah, Damages to Property 2:6:2",103
"Steinsaltz on Mishneh Torah, Damages to Property 2:6:3",104
"Steinsaltz on Mishneh Torah, Damages to Property 2:7:1",106
"Steinsaltz on Mishneh Torah, Damages to Property 2:7:2",107
"Steinsaltz on Mishneh Torah, Damages to Property 2:7:3",108
"Steinsaltz on Mishneh Torah, Damages to Property 2:7:4",109
"Steinsaltz on Mishneh Torah, Damages to Property 2:7:5",110
"Steinsaltz on Mishneh Torah, Damages to Property 2:7:6",111
"Steinsaltz on Mishneh Torah, Damages to Property 2:8:1",113
"Steinsaltz on Mishneh Torah, Damages to Property 2:8:2",114
"Steinsaltz on Mishneh Torah, Damages to Property 2:8:3",115
"Steinsaltz on Mishneh Torah, Damages to Property 2:8:4",116
"Steinsaltz on Mishneh Torah, Damages to Property 2:8:5",117
"Steinsaltz on Mishneh Torah, Damages to Property 2:8:6",118
"Steinsaltz on Mishneh Torah, Damages to Property 2:8:7",119
"Steinsaltz on Mishneh Torah, Damages to Property 2:9:1",121
"Steinsaltz on Mishneh Torah, Damages to Property 2:9:2",122
"Steinsaltz on Mishneh Torah, Damages to Property 2:9:3",123
"Steinsaltz on Mishneh Torah, Damages to Property 2:9:4",124
"Steinsaltz on Mishneh Torah, Damages to Property 2:9:5",125
"Steinsaltz on Mishneh Torah, Damages to Property 2:9:6",126
"Steinsaltz on Mishneh Torah, Damages to Property 2:9:7",127
"Steinsaltz on Mishneh Torah, Damages to Property 2:10:1",129
"Steinsaltz on Mishneh Torah, Damages to Property 2:10:2",130
"Steinsaltz on Mishneh Torah, Damages to Property 2:10:3",131
"Steinsaltz on Mishneh Torah, Damages to Property 2:10:4",132
"Steinsaltz on Mishneh Torah, Damages to Property 2:10:5",133
"Steinsaltz on Mishneh Torah, Damages to Property 2:10:6",134
"Steinsaltz on Mishneh Torah, Damages to Property 2:10:7",135
"Steinsaltz on Mishneh Torah, Damages to Property 2:10:8",136
"Steinsaltz on Mishneh Torah, Damages to Property 2:10:9",137
"Steinsaltz on Mishneh Torah, Damages to Property 2:10:10",138
"Steinsaltz on Mishneh Torah, Damages to Property 2:11:1",140
"Steinsaltz on Mishneh Torah, Damages to Property 2:12:1",142
"Steinsaltz on Mishneh Torah, Damages to Property 2:12:2",143
"Steinsaltz on Mishneh Torah, Damages to Property 2:12:3",144
"Steinsaltz on Mishneh Torah, Damages to Property 2:12:4",145
"Steinsaltz on Mishneh Torah, Damages to Property 2:12:5",146
"Steinsaltz on Mishneh Torah, Damages to Property 2:13:1",148
"Steinsaltz on Mishneh Torah, Damages to Property 2:13:2",149
"Steinsaltz on Mishneh Torah, Damages to Property 2:13:3",150
"Steinsaltz on Mishneh Torah, Damages to Property 2:13:4",151
"Steinsaltz on Mishneh Torah, Damages to Property 2:13:5",152
"Steinsaltz on Mishneh Torah, Damages to Property 2:14:1",154
"Steinsaltz on Mishneh Torah, Damages to Property 2:14:2",155
"Steinsaltz on Mishneh Torah, Damages to Property 2:14:3",156
"Steinsaltz on Mishneh Torah, Damages to Property 2:14:4",157
"Steinsaltz on Mishneh Torah, Damages to Property 2:14:5",158
"Steinsaltz on Mishneh Torah, Damages to Property 2:14:6",159
"Steinsaltz on Mishneh Torah, Damages to Property 2:15:1",161
"Steinsaltz on Mishneh Torah, Damages to Property 2:15:2",162
"Steinsaltz on Mishneh Torah, Damages to Property 2:15:3",163
"Steinsaltz on Mishneh Torah, Damages to Property 2:15:4",164
"Steinsaltz on Mishneh Torah, Damages to Property 2:16:1",166
"Steinsaltz on Mishneh Torah, Damages to Property 2:16:2",167
"Steinsaltz on Mishneh Torah, Damages to Property 2:16:3",168
"Steinsaltz on Mishneh Torah, Damages to Property 2:16:4",169
"Steinsaltz on Mishneh Torah, Damages to Property 2:16:5",170
"Steinsaltz on Mishneh Torah, Damages to Property 2:16:6",171
"Steinsaltz on Mishneh Torah, Damages to Property 2:17:1",173
"Steinsaltz on Mishneh Torah, Damages to Property 2:17:2",174
"Steinsaltz on Mishneh Torah, Damages to Property 2:17:3",175
"Steinsaltz on Mishneh Torah, Damages to Property 2:17:4",176
"Steinsaltz on Mishneh Torah, Damages to Property 2:17:5",177
"Steinsaltz on Mishneh Torah, Damages to Property 2:17:6",178
"Steinsaltz on Mishneh Torah, Damages to Property 2:17:7",179
"Steinsaltz on Mishneh Torah, Damages to Property 2:17:8",180
"Steinsaltz on Mishneh Torah, Damages to Property 2:17:9",181
"Steinsaltz on Mishneh Torah, Damages to Property 2:17:10",182
"Steinsaltz on Mishneh Torah, Damages to Property 2:17:11",183
"Steinsaltz on Mishneh Torah, Damages to Property 2:17:12",184
"Steinsaltz on Mishneh Torah, Damages to Property 2:18:1",186
"Steinsaltz on Mishneh Torah, Damages to Property 2:18:2",187
"Steinsaltz on Mishneh Torah, Damages to Property 2:18:3",188
"Steinsaltz on Mishneh Torah, Damages to Property 2:18:4",189
"Steinsaltz on Mishneh Torah, Damages to Property 2:18:5",190
"Steinsaltz on Mishneh Torah, Damages to Property 2:19:1",192
"Steinsaltz on Mishneh Torah, Damages to Property 2:19:2",193
"Steinsaltz on Mishneh Torah, Damages to Property 2:19:3",194
"Steinsaltz on Mishneh Torah, Damages to Property 2:19:4",195
"Steinsaltz on Mishneh Torah, Damages to Property 2:19:5",196
"Steinsaltz on Mishneh Torah, Damages to Property 2:19:6",197
"Steinsaltz on Mishneh Torah, Damages to Property 2:19:7",198
"Steinsaltz on Mishneh Torah, Damages to Property 2:19:8",199
"Steinsaltz on Mishneh Torah, Damages to Property 2:20:1",201
"Steinsaltz on Mishneh Torah, Damages to Property 2:20:2",202
"Steinsaltz on Mishneh Torah, Damages to Property 2:20:3",203
"Steinsaltz on Mishneh Torah, Damages to Property 2:20:4",204
"Steinsaltz on Mishneh Torah, Damages to Property 2:20:5",205
"Steinsaltz on Mishneh Torah, Damages to Property 3:1:1",208
"Steinsaltz on Mishneh Torah, Damages to Property 3:1:2",209
"Steinsaltz on Mishneh Torah, Damages to Property 3:2:1",211
"Steinsaltz on Mishneh Torah, Damages to Property 3:2:2",212
"Steinsaltz on Mishneh Torah, Damages to Property 3:2:3",213
"Steinsaltz on Mishneh Torah, Damages to Property 3:2:4",214
"Steinsaltz on Mishneh Torah, Damages to Property 3:2:5",215
"Steinsaltz on Mishneh Torah, Damages to Property 3:2:6",216
"Steinsaltz on Mishneh Torah, Damages to Property 3:2:7",217
"Steinsaltz on Mishneh Torah, Damages to Property 3:3:1",219
