ref,line_index
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:1:1",4
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:1:2",5
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:1:3",6
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:1:4",7
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:1:5",8
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:2:1",10
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:2:2",11
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:2:3",12
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:2:4",13
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:2:5",14
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:2:6",15
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:3:1",17
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:5:1",19
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:6:1",21
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:7:1",23
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:7:2",24
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:7:3",25
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:7:4",26
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:8:1",28
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:8:2",29
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:8:3",30
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:8:4",31
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:8:5",32
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:9:1",34
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:9:2",35
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:10:1",37
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:10:2",38
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:10:3",39
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:11:1",41
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:12:1",43
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:12:2",44
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:12:3",45
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:13:1",47
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:13:2",48
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:13:3",49
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:14:1",51
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:14:2",52
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:15:1",54
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:15:2",55
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:15:3",56
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:15:4",57
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:15:5",58
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:16:1",60
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:16:2",61
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:17:1",63
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:17:2",64
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:17:3",65
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:18:1",67
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:19:1",69
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 1:20:1",71
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:1:1",74
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:1:2",75
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:1:3",76
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:1:4",77
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:1:5",78
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:2:1",80
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:2:2",81
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:2:3",82
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:2:4",83
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:2:5",84
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:2:6",85
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:2:7",86
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:2:8",87
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:3:1",89
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:3:2",90
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:3:3",91
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:3:4",92
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:3:5",93
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:4:1",95
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:4:2",96
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:4:3",97
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:4:4",98
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:4:5",99
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:4:6",100
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:5:1",102
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:5:2",103
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:6:1",105
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:6:2",106
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:6:3",107
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:6:4",108
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:6:5",109
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:7:1",111
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:7:2",112
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:8:1",114
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:8:2",115
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:9:1",117
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:9:2",118
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:9:3",119
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:9:4",120
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:9:5",121
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:10:1",123
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:10:2",124
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:10:3",125
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:10:4",126
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:10:5",127
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:11:1",129
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:11:2",130
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:12:1",132
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:12:2",133
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:12:3",134
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:12:4",135
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:12:5",136
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:12:6",137
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:13:1",139
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:13:2",140
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:13:3",141
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:14:1",143
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:14:2",144
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:14:3",145
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:14:4",146
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:14:5",147
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:15:1",149
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:16:1",151
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 2:16:2",152
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:1:1",155
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:1:2",156
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:1:3",157
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:1:4",158
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:2:1",160
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:2:2",161
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:2:3",162
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:2:4",163
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:2:5",164
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:2:6",165
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:2:7",166
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:2:8",167
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:2:9",168
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:3:1",170
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:3:2",171
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:3:3",172
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:4:1",174
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:4:2",175
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:4:3",176
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:5:1",178
"Steinsaltz on Mishneh Torah, Woman Suspected of Infidelity 3:5:2",179
