ref,line_index
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:1:1",4
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:1:2",5
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:1:3",6
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:2:1",8
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:2:2",9
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:3:1",11
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:3:2",12
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:4:1",14
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:4:2",15
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:4:3",16
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:4:4",17
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:4:5",18
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:4:6",19
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:4:7",20
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:5:1",22
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:5:2",23
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:5:3",24
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:6:1",26
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:6:2",27
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:6:3",28
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:6:4",29
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:6:5",30
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:7:1",32
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:7:2",33
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:7:3",34
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:8:1",36
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:9:1",38
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:9:2",39
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:10:1",41
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:10:2",42
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:11:1",44
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:11:2",45
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:12:1",47
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:12:2",48
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:12:3",49
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:12:4",50
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:12:5",51
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:13:1",53
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:13:2",54
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:13:3",55
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:14:1",57
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:15:1",59
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:16:1",61
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:16:2",62
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:16:3",63
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:16:4",64
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:16:5",65
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:16:6",66
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:16:7",67
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:17:1",69
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:17:2",70
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:18:1",72
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:19:1",74
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:19:2",75
"Steinsaltz on Mishneh Torah, Levirate Marriage and Release 1:19:3",76
