ref,line_index
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:1:1",4
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:1:2",5
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:1:3",6
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:1:4",7
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:2:1",9
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:2:2",10
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:3:1",12
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:3:2",13
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:3:3",14
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:3:4",15
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:4:1",17
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:4:2",18
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:4:3",19
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:5:1",21
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:5:2",22
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:5:3",23
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:6:1",25
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:6:2",26
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:6:3",27
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:6:4",28
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:6:5",29
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:6:6",30
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:6:7",31
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:7:1",33
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:7:2",34
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:7:3",35
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:8:1",37
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:8:2",38
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:8:3",39
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:9:1",41
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:9:2",42
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:10:1",44
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:12:1",46
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:12:2",47
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:12:3",48
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:13:1",50
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:13:2",51
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:13:3",52
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:14:1",54
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:14:2",55
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:14:3",56
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:14:4",57
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:14:5",58
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:15:1",60
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:15:2",61
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:15:3",62
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:15:4",63
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:16:1",65
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:16:2",66
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:17:1",68
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:17:2",69
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:17:3",70
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:18:1",72
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:19:1",74
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:19:2",75
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:19:3",76
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:20:1",78
"Steinsaltz on Mishneh Torah, The Chosen Temple 1:20:2",79
"Steinsaltz on Mishneh Torah, The Chosen Temple 2:1:1",82
"Steinsaltz on Mishneh Torah, The Chosen Temple 2:1:2",83
"Steinsaltz on Mishneh Torah, The Chosen Temple 2:2:1",85
"Steinsaltz on Mishneh Torah, The Chosen Temple 2:2:2",86
"Steinsaltz on Mishneh Torah, The Chosen Temple 2:2:3",87
"Steinsaltz on Mishneh Torah, The Chosen Temple 2:2:4",88
"Steinsaltz on Mishneh Torah, The Chosen Temple 2:3:1",90
"Steinsaltz on Mishneh Torah, The Chosen Temple 2:3:2",91
"Steinsaltz on Mishneh Torah, The Chosen Temple 2:3:3",92
"Steinsaltz on Mishneh Torah, The Chosen Temple 2:4:1",94
"Steinsaltz on Mishneh Torah, The Chosen Temple 2:4:2",95
