ref,line_index
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:2:1",4
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:2:2",5
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:2:3",6
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:2:4",7
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:3:1",9
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:3:2",10
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:3:3",11
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:4:1",13
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:5:1",15
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:5:2",16
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:5:3",17
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:5:4",18
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:5:5",19
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:5:6",20
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:6:1",22
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:6:2",23
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:6:3",24
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:6:4",25
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:6:5",26
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:6:6",27
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:6:7",28
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:6:8",29
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:6:9",30
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:6:10",31
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:6:11",32
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:7:1",34
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:7:2",35
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:7:3",36
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:7:4",37
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:7:5",38
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:7:6",39
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:8:1",41
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:10:1",43
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:11:1",45
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:11:2",46
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:11:3",47
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:12:1",49
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:12:2",50
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:14:1",52
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:14:2",53
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:14:3",54
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:14:4",55
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:14:5",56
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:14:6",57
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:15:1",59
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:15:2",60
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:15:3",61
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:15:4",62
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:15:5",63
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:15:6",64
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:15:7",65
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:16:1",67
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:17:1",69
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:17:2",70
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:18:1",72
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:18:2",73
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:18:3",74
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:18:4",75
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:18:5",76
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:18:6",77
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:18:7",78
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:19:1",80
"Steinsaltz on Mishneh Torah, Sacrificial Procedure 1:19:2",81
