ref,line_index
"Steinsaltz on Mishneh Torah, Service on the Day of Atonement 1:1:1",4
"Steinsaltz on Mishneh Torah, Service on the Day of Atonement 1:1:2",5
"Steinsaltz on Mishneh Torah, Service on the Day of Atonement 1:1:3",6
"Steinsaltz on Mishneh Torah, Service on the Day of Atonement 1:1:4",7
"Steinsaltz on Mishneh Torah, Service on the Day of Atonement 1:1:5",8
"Steinsaltz on Mishneh Torah, Service on the Day of Atonement 1:1:6",9
"Steinsaltz on Mishneh Torah, Service on the Day of Atonement 1:1:7",10
"Steinsaltz on Mishneh Torah, Service on the Day of Atonement 1:1:8",11
"Steinsaltz on Mishneh Torah, Service on the Day of Atonement 1:1:9",12
"Steinsaltz on Mishneh Torah, Service on the Day of Atonement 1:2:1",14
"Steinsaltz on Mishneh Torah, Service on the Day of Atonement 1:2:2",15
"Steinsaltz on Mishneh Torah, Service on the Day of Atonement 1:3:1",17
"Steinsaltz on Mishneh Torah, Service on the Day of Atonement 1:3:2",18
"Steinsaltz on Mishneh Torah, Service on the Day of Atonement 1:3:3",19
"Steinsaltz on Mishneh Torah, Service on the Day of Atonement 1:3:4",20
"Steinsaltz on Mishneh Torah, Service on the Day of Atonement 1:3:5",21
"Steinsaltz on Mishneh Torah, Service on the Day of Atonement 1:3:6",22
"Steinsaltz on Mishneh Torah, Service on the Day of Atonement 1:3:7",23
"Steinsaltz on Mishneh Torah, Service on the Day of Atonement 1:3:8",24
"Steinsaltz on Mishneh Torah, Service on the Day of Atonement 1:3:9",25
"Steinsaltz on Mishneh Torah, Service on the Day of Atonement 1:3:10",26
"Steinsaltz on Mishneh Torah, Service on the Day of Atonement 1:4:1",28
"Steinsaltz on Mishneh Torah, Service on the Day of Atonement 1:4:2",29
"Steinsaltz on Mishneh Torah, Service on the Day of Atonement 1:4:3",30
"Steinsaltz on Mishneh Torah, Service on the Day of Atonement 1:5:1",32
"Steinsaltz on Mishneh Torah, Service on the Day of Atonement 1:5:2",33
"Steinsaltz on Mishneh Torah, Service on the Day of Atonement 1:5:3",34
"Steinsaltz on Mishneh Torah, Service on the Day of Atonement 1:5:4",35
"Steinsaltz on Mishneh Torah, Service on the Day of Atonement 1:5:5",36
"Steinsaltz on Mishneh Torah, Service on the Day of Atonement 1:5:6",37
"Steinsaltz on Mishneh Torah, Service on the Day of Atonement 1:5:7",38
"Steinsaltz on Mishneh Torah, Service on the Day of Atonement 1:5:8",39
"Steinsaltz on Mishneh Torah, Service on the Day of Atonement 1:5:9",40
"Steinsaltz on Mishneh Torah, Service on the Day of Atonement 1:6:1",42
"Steinsaltz on Mishneh Torah, Service on the Day of Atonement 1:6:2",43
"Steinsaltz on Mishneh Torah, Service on the Day of Atonement 1:6:3",44
"Steinsaltz on Mishneh Torah, Service on the Day of Atonement 1:6:4",45
"Steinsaltz on Mishneh Torah, Service on the Day of Atonement 1:6:5",46
"Steinsaltz on Mishneh Torah, Service on the Day of Atonement 1:6:6",47
"Steinsaltz on Mishneh Torah, Service on the Day of Atonement 1:7:1",49
"Steinsaltz on Mishneh Torah, Service on the Day of Atonement 1:7:2",50
