ref,line_index
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:1:1",4
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:1:2",5
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:2:1",7
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:2:2",8
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:3:1",10
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:3:2",11
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:4:1",13
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:5:1",15
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:5:2",16
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:6:1",18
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:6:2",19
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:6:3",20
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:6:4",21
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:7:1",23
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:8:1",25
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:11:1",27
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:11:2",28
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:11:3",29
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:12:1",31
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:13:1",33
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:13:2",34
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:15:1",36
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:15:2",37
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:15:3",38
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:15:4",39
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:16:1",41
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:18:1",43
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:18:2",44
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:19:1",46
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:20:1",48
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:20:2",49
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:20:3",50
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:21:1",52
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:21:2",53
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:21:3",54
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:21:4",55
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:22:1",57
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:22:2",58
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:22:3",59
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:23:1",61
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:23:2",62
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:24:1",64
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:25:1",66
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:26:1",68
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:26:2",69
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:26:3",70
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:26:4",71
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:27:1",73
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:27:2",74
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:27:3",75
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:28:1",77
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:28:2",78
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:28:3",79
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:29:1",81
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:29:2",82
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:30:1",84
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:31:1",86
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:31:2",87
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:32:1",89
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:32:2",90
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:32:3",91
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:33:1",93
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:34:1",95
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:34:2",96
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:34:3",97
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:34:4",98
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:34:5",99
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:34:6",100
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:36:1",102
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 1:37:1",104
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:1:1",107
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:1:2",108
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:1:3",109
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:2:1",111
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:2:2",112
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:3:1",114
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:3:2",115
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:4:1",117
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:5:1",119
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:6:1",121
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:7:1",123
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:8:1",125
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:9:1",127
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:9:2",128
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:10:1",130
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:10:2",131
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:10:3",132
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:10:4",133
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:10:5",134
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:10:6",135
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:10:7",136
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:10:8",137
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:11:1",139
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:11:2",140
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:11:3",141
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:11:4",142
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:11:5",143
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:11:6",144
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:11:7",145
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:11:8",146
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:12:1",148
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:12:2",149
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:13:1",151
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:13:2",152
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:13:3",153
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:14:1",155
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:14:2",156
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:14:3",157
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:14:4",158
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:14:5",159
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:14:6",160
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:15:1",162
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:15:2",163
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:16:1",165
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:16:2",166
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:17:1",168
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:19:1",170
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:20:1",172
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:21:1",174
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:21:2",175
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:22:1",177
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:22:2",178
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:22:3",179
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:22:4",180
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:23:1",182
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:23:2",183
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:23:3",184
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:23:4",185
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:23:5",186
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:23:6",187
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:24:1",189
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:24:2",190
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:24:3",191
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:24:4",192
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:24:5",193
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:25:1",195
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:26:1",197
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 2:26:2",198
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 3:1:1",201
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 3:2:1",203
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 3:2:2",204
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 3:3:1",206
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 3:3:2",207
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 3:3:3",208
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 3:4:1",210
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 3:5:1",212
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 3:5:2",213
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 3:5:3",214
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 3:7:1",216
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 3:7:2",217
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 3:7:3",218
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 3:7:4",219
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 3:7:5",220
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 3:7:6",221
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 3:7:7",222
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 3:7:8",223
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 3:8:1",225
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 3:8:2",226
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 3:9:1",228
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 3:9:2",229
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 3:10:1",231
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 3:10:2",232
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 3:11:1",234
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 3:11:2",235
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 3:11:3",236
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 3:11:4",237
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 3:12:1",239
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 3:12:2",240
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 3:12:3",241
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 3:13:1",243
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 3:13:2",244
"Steinsaltz on Mishneh Torah, Sacrifices Rendered Unfit 3:14:1",246
