ref,line_index
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:1:1",4
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:1:2",5
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:1:3",6
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:2:1",8
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:2:2",9
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:2:3",10
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:2:4",11
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:2:5",12
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:4:1",14
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:4:2",15
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:5:1",17
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:5:2",18
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:5:3",19
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:5:4",20
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:7:1",22
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:7:2",23
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:7:3",24
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:7:4",25
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:8:1",27
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:8:2",28
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:8:3",29
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:8:4",30
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:10:1",32
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:11:1",34
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:11:2",35
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:12:1",37
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:13:1",39
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:14:1",41
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:14:2",42
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:14:3",43
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:15:1",45
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:16:1",47
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:16:2",48
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:17:1",50
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:18:1",52
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:20:1",54
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:20:2",55
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:20:3",56
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:21:1",58
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:21:2",59
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:21:3",60
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:21:4",61
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:21:5",62
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:21:6",63
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:23:1",65
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:23:2",66
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:24:1",68
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:24:2",69
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:25:1",71
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:26:1",73
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:26:2",74
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:26:3",75
"Steinsaltz on Mishneh Torah, Ritual Slaughter 1:26:4",76
