ref,line_index
"Steinsaltz on Mishneh Torah, Festival Offering 1:1:1",4
"Steinsaltz on Mishneh Torah, Festival Offering 1:1:2",5
"Steinsaltz on Mishneh Torah, Festival Offering 1:1:3",6
"Steinsaltz on Mishneh Torah, Festival Offering 1:1:4",7
"Steinsaltz on Mishneh Torah, Festival Offering 1:2:1",9
"Steinsaltz on Mishneh Torah, Festival Offering 1:2:2",10
"Steinsaltz on Mishneh Torah, Festival Offering 1:2:3",11
"Steinsaltz on Mishneh Torah, Festival Offering 1:3:1",13
"Steinsaltz on Mishneh Torah, Festival Offering 1:3:2",14
"Steinsaltz on Mishneh Torah, Festival Offering 1:3:3",15
"Steinsaltz on Mishneh Torah, Festival Offering 1:3:4",16
"Steinsaltz on Mishneh Torah, Festival Offering 1:4:1",18
"Steinsaltz on Mishneh Torah, Festival Offering 1:5:1",20
"Steinsaltz on Mishneh Torah, Festival Offering 1:6:1",22
"Steinsaltz on Mishneh Torah, Festival Offering 1:6:2",23
"Steinsaltz on Mishneh Torah, Festival Offering 1:6:3",24
"Steinsaltz on Mishneh Torah, Festival Offering 1:7:1",26
"Steinsaltz on Mishneh Torah, Festival Offering 1:7:2",27
"Steinsaltz on Mishneh Torah, Festival Offering 1:7:3",28
"Steinsaltz on Mishneh Torah, Festival Offering 1:8:1",30
"Steinsaltz on Mishneh Torah, Festival Offering 1:8:2",31
"Steinsaltz on Mishneh Torah, Festival Offering 1:8:3",32
"Steinsaltz on Mishneh Torah, Festival Offering 1:8:4",33
"Steinsaltz on Mishneh Torah, Festival Offering 1:8:5",34
"Steinsaltz on Mishneh Torah, Festival Offering 1:9:1",36
"Steinsaltz on Mishneh Torah, Festival Offering 1:9:2",37
"Steinsaltz on Mishneh Torah, Festival Offering 1:9:3",38
"Steinsaltz on Mishneh Torah, Festival Offering 1:9:4",39
"Steinsaltz on Mishneh Torah, Festival Offering 1:10:1",41
"Steinsaltz on Mishneh Torah, Festival Offering 1:11:1",43
"Steinsaltz on Mishneh Torah, Festival Offering 1:11:2",44
"Steinsaltz on Mishneh Torah, Festival Offering 2:1:1",47
"Steinsaltz on Mishneh Torah, Festival Offering 2:1:2",48
"Steinsaltz on Mishneh Torah, Festival Offering 2:1:3",49
"Steinsaltz on Mishneh Torah, Festival Offering 2:1:4",50
"Steinsaltz on Mishneh Torah, Festival Offering 2:1:5",51
"Steinsaltz on Mishneh Torah, Festival Offering 2:1:6",52
"Steinsaltz on Mishneh Torah, Festival Offering 2:1:7",53
"Steinsaltz on Mishneh Torah, Festival Offering 2:1:8",54
"Steinsaltz on Mishneh Torah, Festival Offering 2:1:9",55
"Steinsaltz on Mishneh Torah, Festival Offering 2:1:10",56
"Steinsaltz on Mishneh Torah, Festival Offering 2:1:11",57
"Steinsaltz on Mishneh Torah, Festival Offering 2:1:12",58
"Steinsaltz on Mishneh Torah, Festival Offering 2:1:13",59
"Steinsaltz on Mishneh Torah, Festival Offering 2:2:1",61
"Steinsaltz on Mishneh Torah, Festival Offering 2:2:2",62
"Steinsaltz on Mishneh Torah, Festival Offering 2:2:3",63
"Steinsaltz on Mishneh Torah, Festival Offering 2:2:4",64
"Steinsaltz on Mishneh Torah, Festival Offering 2:3:1",66
"Steinsaltz on Mishneh Torah, Festival Offering 2:3:2",67
"Steinsaltz on Mishneh Torah, Festival Offering 2:3:3",68
"Steinsaltz on Mishneh Torah, Festival Offering 2:4:1",70
"Steinsaltz on Mishneh Torah, Festival Offering 2:4:2",71
"Steinsaltz on Mishneh Torah, Festival Offering 2:4:3",72
"Steinsaltz on Mishneh Torah, Festival Offering 2:4:4",73
"Steinsaltz on Mishneh Torah, Festival Offering 2:4:5",74
"Steinsaltz on Mishneh Torah, Festival Offering 2:5:1",76
"Steinsaltz on Mishneh Torah, Festival Offering 2:5:2",77
"Steinsaltz on Mishneh Torah, Festival Offering 2:5:3",78
"Steinsaltz on Mishneh Torah, Festival Offering 2:5:4",79
"Steinsaltz on Mishneh Torah, Festival Offering 2:5:5",80
"Steinsaltz on Mishneh Torah, Festival Offering 2:6:1",82
"Steinsaltz on Mishneh Torah, Festival Offering 2:6:2",83
"Steinsaltz on Mishneh Torah, Festival Offering 2:7:1",85
"Steinsaltz on Mishneh Torah, Festival Offering 2:7:2",86
"Steinsaltz on Mishneh Torah, Festival Offering 2:7:3",87
"Steinsaltz on Mishneh Torah, Festival Offering 2:7:4",88
"Steinsaltz on Mishneh Torah, Festival Offering 2:8:1",90
"Steinsaltz on Mishneh Torah, Festival Offering 2:8:2",91
"Steinsaltz on Mishneh Torah, Festival Offering 2:9:1",93
"Steinsaltz on Mishneh Torah, Festival Offering 2:9:2",94
"Steinsaltz on Mishneh Torah, Festival Offering 2:9:3",95
"Steinsaltz on Mishneh Torah, Festival Offering 2:10:1",97
"Steinsaltz on Mishneh Torah, Festival Offering 2:10:2",98
"Steinsaltz on Mishneh Torah, Festival Offering 2:10:3",99
"Steinsaltz on Mishneh Torah, Festival Offering 2:10:4",100
"Steinsaltz on Mishneh Torah, Festival Offering 2:10:5",101
"Steinsaltz on Mishneh Torah, Festival Offering 2:10:6",102
"Steinsaltz on Mishneh Torah, Festival Offering 2:10:7",103
