ref,line_index
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:1:1",4
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:1:2",5
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:2:1",7
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:2:2",8
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:2:3",9
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:2:4",10
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:2:5",11
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:3:1",13
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:3:2",14
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:3:3",15
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:4:1",17
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:4:2",18
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:4:3",19
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:5:1",21
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:5:2",22
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:6:1",24
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:6:2",25
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:6:3",26
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:7:1",28
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:7:2",29
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:8:1",31
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:9:1",33
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:9:2",34
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:10:1",36
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:10:2",37
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:10:3",38
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:10:4",39
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:11:1",41
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:11:2",42
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:11:3",43
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:12:1",45
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:12:2",46
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:13:1",48
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:13:2",49
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:14:1",51
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:14:2",52
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:14:3",53
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:14:4",54
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:14:5",55
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:14:6",56
"Steinsaltz on Mishneh Torah, Ownerless Property and Gifts 1:14:7",57
