ref,line_index
"Steinsaltz on Mishneh Torah, Mourning 1:1:1",4
"Steinsaltz on Mishneh Torah, Mourning 1:1:2",5
"Steinsaltz on Mishneh Torah, Mourning 1:1:3",6
"Steinsaltz on Mishneh Torah, Mourning 1:1:4",7
"Steinsaltz on Mishneh Torah, Mourning 1:1:5",8
"Steinsaltz on Mishneh Torah, Mourning 1:2:1",10
"Steinsaltz on Mishneh Torah, Mourning 1:2:2",11
"Steinsaltz on Mishneh Torah, Mourning 1:2:3",12
"Steinsaltz on Mishneh Torah, Mourning 1:3:1",14
"Steinsaltz on Mishneh Torah, Mourning 1:3:2",15
"Steinsaltz on Mishneh Torah, Mourning 1:4:1",17
"Steinsaltz on Mishneh Torah, Mourning 1:4:2",18
"Steinsaltz on Mishneh Torah, Mourning 1:5:1",20
"Steinsaltz on Mishneh Torah, Mourning 1:6:1",22
"Steinsaltz on Mishneh Torah, Mourning 1:7:1",24
"Steinsaltz on Mishneh Torah, Mourning 1:8:1",26
"Steinsaltz on Mishneh Torah, Mourning 1:8:2",27
"Steinsaltz on Mishneh Torah, Mourning 1:8:3",28
"Steinsaltz on Mishneh Torah, Mourning 1:8:4",29
"Steinsaltz on Mishneh Torah, Mourning 1:8:5",30
"Steinsaltz on Mishneh Torah, Mourning 1:9:1",32
"Steinsaltz on Mishneh Torah, Mourning 1:9:2",33
"Steinsaltz on Mishneh Torah, Mourning 1:9:3",34
"Steinsaltz on Mishneh Torah, Mourning 1:9:4",35
"Steinsaltz on Mishneh Torah, Mourning 1:9:5",36
"Steinsaltz on Mishneh Torah, Mourning 1:10:1",38
"Steinsaltz on Mishneh Torah, Mourning 1:10:2",39
"Steinsaltz on Mishneh Torah, Mourning 1:10:3",40
"Steinsaltz on Mishneh Torah, Mourning 1:11:1",42
"Steinsaltz on Mishneh Torah, Mourning 1:11:2",43
"Steinsaltz on Mishneh Torah, Mourning 1:11:3",44
"Steinsaltz on Mishneh Torah, Mourning 1:11:4",45
"Steinsaltz on Mishneh Torah, Mourning 1:11:5",46
"Steinsaltz on Mishneh Torah, Mourning 1:11:6",47
"Steinsaltz on Mishneh Torah, Mourning 1:11:7",48
"Steinsaltz on Mishneh Torah, Mourning 1:11:8",49
"Steinsaltz on Mishneh Torah, Mourning 2:1:1",52
"Steinsaltz on Mishneh Torah, Mourning 2:1:2",53
"Steinsaltz on Mishneh Torah, Mourning 2:2:1",55
"Steinsaltz on Mishneh Torah, Mourning 2:2:2",56
"Steinsaltz on Mishneh Torah, Mourning 2:3:1",58
"Steinsaltz on Mishneh Torah, Mourning 2:3:2",59
"Steinsaltz on Mishneh Torah, Mourning 2:3:3",60
"Steinsaltz on Mishneh Torah, Mourning 2:4:1",62
"Steinsaltz on Mishneh Torah, Mourning 2:4:2",63
"Steinsaltz on Mishneh Torah, Mourning 2:4:3",64
"Steinsaltz on Mishneh Torah, Mourning 2:4:4",65
"Steinsaltz on Mishneh Torah, Mourning 2:5:1",67
"Steinsaltz on Mishneh Torah, Mourning 2:5:2",68
"Steinsaltz on Mishneh Torah, Mourning 2:5:3",69
"Steinsaltz on Mishneh Torah, Mourning 2:6:1",71
"Steinsaltz on Mishneh Torah, Mourning 2:6:2",72
"Steinsaltz on Mishneh Torah, Mourning 2:7:1",74
"Steinsaltz on Mishneh Torah, Mourning 2:7:2",75
"Steinsaltz on Mishneh Torah, Mourning 2:8:1",77
"Steinsaltz on Mishneh Torah, Mourning 2:8:2",78
"Steinsaltz on Mishneh Torah, Mourning 2:9:1",80
"Steinsaltz on Mishneh Torah, Mourning 2:9:2",81
"Steinsaltz on Mishneh Torah, Mourning 2:9:3",82
"Steinsaltz on Mishneh Torah, Mourning 2:9:4",83
"Steinsaltz on Mishneh Torah, Mourning 2:9:5",84
"Steinsaltz on Mishneh Torah, Mourning 2:10:1",86
"Steinsaltz on Mishneh Torah, Mourning 2:10:2",87
"Steinsaltz on Mishneh Torah, Mourning 2:10:3",88
"Steinsaltz on Mishneh Torah, Mourning 2:10:4",89
"Steinsaltz on Mishneh Torah, Mourning 2:10:5",90
"Steinsaltz on Mishneh Torah, Mourning 2:12:1",92
