ref,line_index
"Steinsaltz on Mishneh Torah, Kings and Wars 1:1:1",4
"Steinsaltz on Mishneh Torah, Kings and Wars 1:1:2",5
"Steinsaltz on Mishneh Torah, Kings and Wars 1:2:1",7
"Steinsaltz on Mishneh Torah, Kings and Wars 1:2:2",8
"Steinsaltz on Mishneh Torah, Kings and Wars 1:3:1",10
"Steinsaltz on Mishneh Torah, Kings and Wars 1:3:2",11
"Steinsaltz on Mishneh Torah, Kings and Wars 1:4:1",13
"Steinsaltz on Mishneh Torah, Kings and Wars 1:4:2",14
"Steinsaltz on Mishneh Torah, Kings and Wars 1:4:3",15
"Steinsaltz on Mishneh Torah, Kings and Wars 1:4:4",16
"Steinsaltz on Mishneh Torah, Kings and Wars 1:4:5",17
"Steinsaltz on Mishneh Torah, Kings and Wars 1:4:6",18
"Steinsaltz on Mishneh Torah, Kings and Wars 1:6:1",20
"Steinsaltz on Mishneh Torah, Kings and Wars 1:6:2",21
"Steinsaltz on Mishneh Torah, Kings and Wars 1:6:3",22
"Steinsaltz on Mishneh Torah, Kings and Wars 1:6:4",23
"Steinsaltz on Mishneh Torah, Kings and Wars 1:6:5",24
"Steinsaltz on Mishneh Torah, Kings and Wars 1:7:1",26
"Steinsaltz on Mishneh Torah, Kings and Wars 1:7:2",27
"Steinsaltz on Mishneh Torah, Kings and Wars 1:7:3",28
"Steinsaltz on Mishneh Torah, Kings and Wars 1:7:4",29
"Steinsaltz on Mishneh Torah, Kings and Wars 1:7:5",30
"Steinsaltz on Mishneh Torah, Kings and Wars 1:7:6",31
"Steinsaltz on Mishneh Torah, Kings and Wars 1:7:7",32
"Steinsaltz on Mishneh Torah, Kings and Wars 1:7:8",33
"Steinsaltz on Mishneh Torah, Kings and Wars 1:8:1",35
"Steinsaltz on Mishneh Torah, Kings and Wars 1:8:2",36
"Steinsaltz on Mishneh Torah, Kings and Wars 1:8:3",37
"Steinsaltz on Mishneh Torah, Kings and Wars 1:9:1",39
"Steinsaltz on Mishneh Torah, Kings and Wars 1:10:1",41
"Steinsaltz on Mishneh Torah, Kings and Wars 1:10:2",42
