ref,line_index
"Torat HaHiggayon BaHalakhah, I; The Causes; Material, Formative and Creative, and Formal 1:1",5
"Torat HaHiggayon BaHalakhah, I; The Causes; Material, Formative and Creative, and Formal 1:2",6
"Torat HaHiggayon BaHalakhah, I; The Causes; Material, Formative and Creative, and Formal 1:3",7
"Torat HaHiggayon BaHalakhah, I; The Causes; Material, Formative and Creative, and Formal 1:4",8
"Torat HaHiggayon BaHalakhah, I; The Causes; Material, Formative and Creative, and Formal 1:5",9
"Torat HaHiggayon BaHalakhah, I; The Causes; Material, Formative and Creative, and Formal 2:1",11
"Torat HaHiggayon BaHalakhah, I; The Causes; Material, Formative and Creative, and Formal 2:2",12
"Torat HaHiggayon BaHalakhah, I; The Causes; Material, Formative and Creative, and Formal 2:3",13
"Torat HaHiggayon BaHalakhah, I; The Causes; Material, Formative and Creative, and Formal 2:4",14
"Torat HaHiggayon BaHalakhah, I; The Causes; Material, Formative and Creative, and Formal 2:5",15
"Torat HaHiggayon BaHalakhah, I; The Causes; Material, Formative and Creative, and Formal 2:6",16
"Torat HaHiggayon BaHalakhah, I; The Causes; Material, Formative and Creative, and Formal 2:7",17
"Torat HaHiggayon BaHalakhah, I; The Causes; Material, Formative and Creative, and Formal 2:8",18
"Torat HaHiggayon BaHalakhah, I; The Causes; Material, Formative and Creative, and Formal 2:9",19
"Torat HaHiggayon BaHalakhah, I; The Causes; Material, Formative and Creative, and Formal 2:10",20
"Torat HaHiggayon BaHalakhah, I; The Causes; Material, Formative and Creative, and Formal 2:11",21
"Torat HaHiggayon BaHalakhah, II; Complex Creative Causes 1:1",24
"Torat HaHiggayon BaHalakhah, II; Complex Creative Causes 1:2",25
"Torat HaHiggayon BaHalakhah, II; Complex Creative Causes 1:3",26
"Torat HaHiggayon BaHalakhah, II; Complex Creative Causes 2:1",28
"Torat HaHiggayon BaHalakhah, II; Complex Creative Causes 2:2",29
"Torat HaHiggayon BaHalakhah, II; Complex Creative Causes 2:3",30
"Torat HaHiggayon BaHalakhah, II; Complex Creative Causes 2:4",31
"Torat HaHiggayon BaHalakhah, II; Complex Creative Causes 3:1",33
"Torat HaHiggayon BaHalakhah, II; Complex Creative Causes 3:2",34
"Torat HaHiggayon BaHalakhah, II; Complex Creative Causes 3:3",35
"Torat HaHiggayon BaHalakhah, II; Complex Creative Causes 3:4",36
"Torat HaHiggayon BaHalakhah, II; Complex Creative Causes 3:5",37
"Torat HaHiggayon BaHalakhah, II; Complex Creative Causes 3:6",38
"Torat HaHiggayon BaHalakhah, II; Complex Creative Causes 3:7",39
"Torat HaHiggayon BaHalakhah, II; Complex Creative Causes 3:8",40
"Torat HaHiggayon BaHalakhah, III; This and That are Causes (zeh v'zeh gorem) 1:1",43
"Torat HaHiggayon BaHalakhah, III; This and That are Causes (zeh v'zeh gorem) 2:1",45
"Torat HaHiggayon BaHalakhah, III; This and That are Causes (zeh v'zeh gorem) 2:2",46
"Torat HaHiggayon BaHalakhah, III; This and That are Causes (zeh v'zeh gorem) 2:3",47
"Torat HaHiggayon BaHalakhah, III; This and That are Causes (zeh v'zeh gorem) 2:4",48
"Torat HaHiggayon BaHalakhah, III; This and That are Causes (zeh v'zeh gorem) 2:5",49
"Torat HaHiggayon BaHalakhah, III; This and That are Causes (zeh v'zeh gorem) 2:6",50
"Torat HaHiggayon BaHalakhah, III; This and That are Causes (zeh v'zeh gorem) 3:1",52
"Torat HaHiggayon BaHalakhah, III; This and That are Causes (zeh v'zeh gorem) 3:2",53
"Torat HaHiggayon BaHalakhah, III; This and That are Causes (zeh v'zeh gorem) 3:3",54
"Torat HaHiggayon BaHalakhah, III; This and That are Causes (zeh v'zeh gorem) 4:1",56
"Torat HaHiggayon BaHalakhah, III; This and That are Causes (zeh v'zeh gorem) 4:2",57
"Torat HaHiggayon BaHalakhah, III; This and That are Causes (zeh v'zeh gorem) 4:3",58
"Torat HaHiggayon BaHalakhah, IV; The Approach of the Rishonim and Poskim Regarding Indirect Causation, Dina DeGarmei, and Harm that is Not Apparent 1:1",61
"Torat HaHiggayon BaHalakhah, IV; The Approach of the Rishonim and Poskim Regarding Indirect Causation, Dina DeGarmei, and Harm that is Not Apparent 1:2",62
"Torat HaHiggayon BaHalakhah, IV; The Approach of the Rishonim and Poskim Regarding Indirect Causation, Dina DeGarmei, and Harm that is Not Apparent 1:3",63
"Torat HaHiggayon BaHalakhah, IV; The Approach of the Rishonim and Poskim Regarding Indirect Causation, Dina DeGarmei, and Harm that is Not Apparent 1:4",64
"Torat HaHiggayon BaHalakhah, IV; The Approach of the Rishonim and Poskim Regarding Indirect Causation, Dina DeGarmei, and Harm that is Not Apparent 1:5",65
"Torat HaHiggayon BaHalakhah, IV; The Approach of the Rishonim and Poskim Regarding Indirect Causation, Dina DeGarmei, and Harm that is Not Apparent 1:6",66
"Torat HaHiggayon BaHalakhah, IV; The Approach of the Rishonim and Poskim Regarding Indirect Causation, Dina DeGarmei, and Harm that is Not Apparent 2:1",68
"Torat HaHiggayon BaHalakhah, IV; The Approach of the Rishonim and Poskim Regarding Indirect Causation, Dina DeGarmei, and Harm that is Not Apparent 2:2",69
"Torat HaHiggayon BaHalakhah, IV; The Approach of the Rishonim and Poskim Regarding Indirect Causation, Dina DeGarmei, and Harm that is Not Apparent 2:3",70
"Torat HaHiggayon BaHalakhah, IV; The Approach of the Rishonim and Poskim Regarding Indirect Causation, Dina DeGarmei, and Harm that is Not Apparent 2:4",71
"Torat HaHiggayon BaHalakhah, IV; The Approach of the Rishonim and Poskim Regarding Indirect Causation, Dina DeGarmei, and Harm that is Not Apparent 2:5",72
"Torat HaHiggayon BaHalakhah, IV; The Approach of the Rishonim and Poskim Regarding Indirect Causation, Dina DeGarmei, and Harm that is Not Apparent 2:6",73
"Torat HaHiggayon BaHalakhah, IV; The Approach of the Rishonim and Poskim Regarding Indirect Causation, Dina DeGarmei, and Harm that is Not Apparent 3:1",75
"Torat HaHiggayon BaHalakhah, IV; The Approach of the Rishonim and Poskim Regarding Indirect Causation, Dina DeGarmei, and Harm that is Not Apparent 3:2",76
"Torat HaHiggayon BaHalakhah, V; Efficient Cause, ""Normative"" or Legal Cause, and Preparatory Cause 1:1",79
"Torat HaHiggayon BaHalakhah, V; Efficient Cause, ""Normative"" or Legal Cause, and Preparatory Cause 1:2",80
"Torat HaHiggayon BaHalakhah, V; Efficient Cause, ""Normative"" or Legal Cause, and Preparatory Cause 1:3",81
"Torat HaHiggayon BaHalakhah, V; Efficient Cause, ""Normative"" or Legal Cause, and Preparatory Cause 1:4",82
"Torat HaHiggayon BaHalakhah, V; Efficient Cause, ""Normative"" or Legal Cause, and Preparatory Cause 2:1",84
"Torat HaHiggayon BaHalakhah, V; Efficient Cause, ""Normative"" or Legal Cause, and Preparatory Cause 2:2",85
"Torat HaHiggayon BaHalakhah, V; Efficient Cause, ""Normative"" or Legal Cause, and Preparatory Cause 2:3",86
"Torat HaHiggayon BaHalakhah, V; Efficient Cause, ""Normative"" or Legal Cause, and Preparatory Cause 2:4",87
"Torat HaHiggayon BaHalakhah, V; Efficient Cause, ""Normative"" or Legal Cause, and Preparatory Cause 3:1",89
"Torat HaHiggayon BaHalakhah, V; Efficient Cause, ""Normative"" or Legal Cause, and Preparatory Cause 3:2",90
"Torat HaHiggayon BaHalakhah, V; Efficient Cause, ""Normative"" or Legal Cause, and Preparatory Cause 3:3",91
"Torat HaHiggayon BaHalakhah, V; Efficient Cause, ""Normative"" or Legal Cause, and Preparatory Cause 3:4",92
"Torat HaHiggayon BaHalakhah, V; Efficient Cause, ""Normative"" or Legal Cause, and Preparatory Cause 3:5",93
"Torat HaHiggayon BaHalakhah, V; Efficient Cause, ""Normative"" or Legal Cause, and Preparatory Cause 4:1",95
"Torat HaHiggayon BaHalakhah, V; Efficient Cause, ""Normative"" or Legal Cause, and Preparatory Cause 4:2",96
"Torat HaHiggayon BaHalakhah, V; Efficient Cause, ""Normative"" or Legal Cause, and Preparatory Cause 4:3",97
"Torat HaHiggayon BaHalakhah, V; Efficient Cause, ""Normative"" or Legal Cause, and Preparatory Cause 5:1",99
"Torat HaHiggayon BaHalakhah, V; Efficient Cause, ""Normative"" or Legal Cause, and Preparatory Cause 5:2",100
"Torat HaHiggayon BaHalakhah, VI; Efficient Cause Without Effect; Cause But Not Circumstance 1:1",103
"Torat HaHiggayon BaHalakhah, VI; Efficient Cause Without Effect; Cause But Not Circumstance 1:2",104
"Torat HaHiggayon BaHalakhah, VI; Efficient Cause Without Effect; Cause But Not Circumstance 1:3",105
"Torat HaHiggayon BaHalakhah, VI; Efficient Cause Without Effect; Cause But Not Circumstance 1:4",106
"Torat HaHiggayon BaHalakhah, VI; Efficient Cause Without Effect; Cause But Not Circumstance 1:5",107
"Torat HaHiggayon BaHalakhah, VI; Efficient Cause Without Effect; Cause But Not Circumstance 1:6",108
"Torat HaHiggayon BaHalakhah, VI; Efficient Cause Without Effect; Cause But Not Circumstance 2:1",110
"Torat HaHiggayon BaHalakhah, VI; Efficient Cause Without Effect; Cause But Not Circumstance 2:2",111
"Torat HaHiggayon BaHalakhah, VI; Efficient Cause Without Effect; Cause But Not Circumstance 2:3",112
"Torat HaHiggayon BaHalakhah, VI; Efficient Cause Without Effect; Cause But Not Circumstance 2:4",113
"Torat HaHiggayon BaHalakhah, VI; Efficient Cause Without Effect; Cause But Not Circumstance 2:5",114
