ref,line_index
"Ohr HaMeir, Bereshit 1",4
"Ohr HaMeir, Bereshit 2",5
"Ohr HaMeir, Bereshit 3",6
"Ohr HaMeir, Bereshit 4",7
"Ohr HaMeir, Bereshit 5",8
"Ohr HaMeir, Bereshit 6",9
"Ohr HaMeir, Bereshit 7",10
"Ohr HaMeir, Bereshit 8",11
"Ohr HaMeir, Noach 1",13
"Ohr HaMeir, Noach 2",14
"Ohr HaMeir, Noach 3",15
"Ohr HaMeir, Noach 4",16
"Ohr HaMeir, Noach 5",17
"Ohr HaMeir, Noach 6",18
"Ohr HaMeir, Lech Lecha 1",20
"Ohr HaMeir, Lech Lecha 2",21
"Ohr HaMeir, Lech Lecha 3",22
"Ohr HaMeir, Lech Lecha 4",23
"Ohr HaMeir, Lech Lecha 5",24
"Ohr HaMeir, Vayera 1",26
"Ohr HaMeir, Vayera 2",27
"Ohr HaMeir, Vayera 3",28
"Ohr HaMeir, Vayera 4",29
"Ohr HaMeir, Vayera 5",30
"Ohr HaMeir, Vayera 6",31
"Ohr HaMeir, Vayera 7",32
"Ohr HaMeir, Vayera 8",33
"Ohr HaMeir, Vayera 9",34
"Ohr HaMeir, Vayera 10",35
"Ohr HaMeir, Chayei Sarah 1",37
"Ohr HaMeir, Chayei Sarah 2",38
"Ohr HaMeir, Chayei Sarah 3",39
"Ohr HaMeir, Chayei Sarah 4",40
"Ohr HaMeir, Chayei Sarah 5",41
"Ohr HaMeir, Chayei Sarah 6",42
"Ohr HaMeir, Chayei Sarah 7",43
"Ohr HaMeir, Chayei Sarah 8",44
"Ohr HaMeir, Chayei Sarah 9",45
"Ohr HaMeir, Chayei Sarah 10",46
"Ohr HaMeir, Chayei Sarah 11",47
"Ohr HaMeir, Chayei Sarah 12",48
"Ohr HaMeir, Chayei Sarah 13",49
"Ohr HaMeir, Chayei Sarah 14",50
"Ohr HaMeir, Chayei Sarah 15",51
"Ohr HaMeir, Toldot 1",53
"Ohr HaMeir, Toldot 2",54
"Ohr HaMeir, Toldot 3",55
"Ohr HaMeir, Toldot 4",56
"Ohr HaMeir, Toldot 5",57
"Ohr HaMeir, Toldot 6",58
"Ohr HaMeir, Toldot 7",59
"Ohr HaMeir, Toldot 8",60
"Ohr HaMeir, Vayeitze 1",62
"Ohr HaMeir, Vayeitze 2",63
"Ohr HaMeir, Vayeitze 3",64
"Ohr HaMeir, Vayeitze 4",65
"Ohr HaMeir, Vayeitze 5",66
"Ohr HaMeir, Vayeitze 6",67
"Ohr HaMeir, Vayeitze 7",68
"Ohr HaMeir, Vayeitze 8",69
"Ohr HaMeir, Vayeitze 9",70
"Ohr HaMeir, Vayeitze 10",71
"Ohr HaMeir, Vayeitze 11",72
"Ohr HaMeir, Vayeitze 12",73
"Ohr HaMeir, Vayeitze 13",74
"Ohr HaMeir, Vayeitze 14",75
"Ohr HaMeir, Vayeitze 15",76
"Ohr HaMeir, Vayeitze 16",77
"Ohr HaMeir, Vayeitze 17",78
"Ohr HaMeir, Vayeitze 18",79
"Ohr HaMeir, Vayishlach 1",81
"Ohr HaMeir, Vayishlach 2",82
"Ohr HaMeir, Vayishlach 3",83
"Ohr HaMeir, Vayishlach 4",84
"Ohr HaMeir, Vayishlach 5",85
"Ohr HaMeir, Vayishlach 6",86
"Ohr HaMeir, Vayishlach 7",87
"Ohr HaMeir, Vayishlach 8",88
"Ohr HaMeir, Vayishlach 9",89
"Ohr HaMeir, Vayishlach 10",90
"Ohr HaMeir, Vayeshev 1",92
"Ohr HaMeir, Vayeshev 2",93
"Ohr HaMeir, Vayeshev 3",94
"Ohr HaMeir, Vayeshev 4",95
"Ohr HaMeir, Vayeshev 5",96
"Ohr HaMeir, Vayeshev 6",97
"Ohr HaMeir, Vayeshev 7",98
"Ohr HaMeir, Vayeshev 8",99
"Ohr HaMeir, Miketz 1",101
"Ohr HaMeir, Miketz 2",102
"Ohr HaMeir, Miketz 3",103
"Ohr HaMeir, Miketz 4",104
"Ohr HaMeir, Miketz 5",105
"Ohr HaMeir, Miketz 6",106
"Ohr HaMeir, Miketz 7",107
"Ohr HaMeir, Miketz 8",108
"Ohr HaMeir, Miketz 9",109
"Ohr HaMeir, Miketz 10",110
"Ohr HaMeir, Miketz 11",111
"Ohr HaMeir, Miketz 12",112
"Ohr HaMeir, Miketz 13",113
"Ohr HaMeir, Miketz 14",114
"Ohr HaMeir, Vayigash 1",116
"Ohr HaMeir, Vayigash 2",117
"Ohr HaMeir, Vayigash 3",118
"Ohr HaMeir, Vayigash 4",119
"Ohr HaMeir, Vayigash 5",120
"Ohr HaMeir, Vayigash 6",121
"Ohr HaMeir, Vayigash 7",122
"Ohr HaMeir, Vayigash 8",123
"Ohr HaMeir, Vayechi 1",125
"Ohr HaMeir, Vayechi 2",126
"Ohr HaMeir, Vayechi 3",127
"Ohr HaMeir, Vayechi 4",128
"Ohr HaMeir, Vayechi 5",129
"Ohr HaMeir, Vayechi 6",130
"Ohr HaMeir, Vayechi 7",131
"Ohr HaMeir, Vayechi 8",132
"Ohr HaMeir, Vayechi 9",133
"Ohr HaMeir, Shemot 1",135
"Ohr HaMeir, Shemot 2",136
"Ohr HaMeir, Shemot 3",137
"Ohr HaMeir, Shemot 4",138
"Ohr HaMeir, Shemot 5",139
"Ohr HaMeir, Shemot 6",140
"Ohr HaMeir, Shemot 7",141
"Ohr HaMeir, Shemot 8",142
"Ohr HaMeir, Shemot 9",143
"Ohr HaMeir, Shemot 10",144
"Ohr HaMeir, Shemot 11",145
"Ohr HaMeir, Shemot 12",146
"Ohr HaMeir, Shemot 13",147
"Ohr HaMeir, Shemot 14",148
"Ohr HaMeir, Vaera 1",150
"Ohr HaMeir, Vaera 2",151
"Ohr HaMeir, Vaera 3",152
"Ohr HaMeir, Vaera 4",153
"Ohr HaMeir, Bo 1",155
"Ohr HaMeir, Bo 2",156
"Ohr HaMeir, Bo 3",157
"Ohr HaMeir, Bo 4",158
"Ohr HaMeir, Bo 5",159
"Ohr HaMeir, Bo 6",160
