ref,line_index
"Ra'avad on Sifra, Tzav, Chapter 1 1:1",75
"Ra'avad on Sifra, Tzav, Chapter 1 2:1",77
"Ra'avad on Sifra, Tzav, Chapter 1 3:1",79
"Ra'avad on Sifra, Tzav, Chapter 1 4:1",81
"Ra'avad on Sifra, Tzav, Chapter 1 7:1",83
"Ra'avad on Sifra, Tzav, Chapter 1 9:1",85
"Ra'avad on Sifra, Tzav, Chapter 1 11:1",87
"Ra'avad on Sifra, Tzav, Chapter 1 12:1",89
"Ra'avad on Sifra, Tzav, Chapter 1 13:1",91
"Ra'avad on Sifra, Tzav, Chapter 1 14:1",93
"Ra'avad on Sifra, Tzav, Chapter 1 15:1",95
"Ra'avad on Sifra, Tzav, Chapter 1 16:1",97
"Ra'avad on Sifra, Tzav, Chapter 2 1:1",100
"Ra'avad on Sifra, Tzav, Chapter 2 2:1",102
"Ra'avad on Sifra, Tzav, Chapter 2 3:1",104
"Ra'avad on Sifra, Tzav, Chapter 2 4:1",106
"Ra'avad on Sifra, Tzav, Chapter 2 4:2",108
"Ra'avad on Sifra, Tzav, Chapter 2 6:1",110
"Ra'avad on Sifra, Tzav, Chapter 2 7:1",112
"Ra'avad on Sifra, Tzav, Chapter 2 9:1",114
"Ra'avad on Sifra, Tzav, Chapter 2 10:1",116
"Ra'avad on Sifra, Tzav, Chapter 2 11:1",118
"Ra'avad on Sifra, Tzav, Section 2 1:1",121
"Ra'avad on Sifra, Tzav, Section 2 3:1",123
"Ra'avad on Sifra, Tzav, Section 2 4:1",125
"Ra'avad on Sifra, Tzav, Section 2 5:1",127
"Ra'avad on Sifra, Tzav, Section 2 7:1",129
"Ra'avad on Sifra, Tzav, Section 2 8:1",131
"Ra'avad on Sifra, Tzav, Section 2 9:1",133
"Ra'avad on Sifra, Tzav, Section 2 10:1",135
"Ra'avad on Sifra, Tzav, Section 2 11:1",137
"Ra'avad on Sifra, Tzav, Section 2 12:1",139
"Ra'avad on Sifra, Tzav, Chapter 3 1:1",142
"Ra'avad on Sifra, Tzav, Chapter 3 2:1",144
"Ra'avad on Sifra, Tzav, Chapter 3 3:1",146
"Ra'avad on Sifra, Tzav, Chapter 3 5:1",148
"Ra'avad on Sifra, Tzav, Chapter 3 6:1",150
"Ra'avad on Sifra, Tzav, Section 3 1:1",153
"Ra'avad on Sifra, Tzav, Section 3 5:1",155
"Ra'avad on Sifra, Tzav, Section 3 6:1",157
"Ra'avad on Sifra, Tzav, Chapter 4 1:1",160
"Ra'avad on Sifra, Tzav, Chapter 4 2:1",162
"Ra'avad on Sifra, Tzav, Chapter 4 4:1",164
"Ra'avad on Sifra, Tzav, Chapter 4 6:1",166
"Ra'avad on Sifra, Tzav, Chapter 5 2:1",169
"Ra'avad on Sifra, Tzav, Chapter 5 3:1",171
"Ra'avad on Sifra, Tzav, Chapter 5 4:1",173
"Ra'avad on Sifra, Tzav, Section 4 1:1",176
"Ra'avad on Sifra, Tzav, Section 4 2:1",178
"Ra'avad on Sifra, Tzav, Section 4 3:1",180
"Ra'avad on Sifra, Tzav, Section 4 4:1",182
"Ra'avad on Sifra, Tzav, Section 4 6:1",184
