ref,line_index
"Learning to Read Midrash, Appendix; Hebrew Sources 2:1",22
"Learning to Read Midrash, Appendix; Hebrew Sources 2:2",23
"Learning to Read Midrash, Appendix; Hebrew Sources 2:3",24
"Learning to Read Midrash, Appendix; Hebrew Sources 3:1",26
"Learning to Read Midrash, Appendix; Hebrew Sources 3:2",27
"Learning to Read Midrash, Appendix; Hebrew Sources 3:3",28
"Learning to Read Midrash, Appendix; Hebrew Sources 4:1",30
"Learning to Read Midrash, Appendix; Hebrew Sources 4:2",31
"Learning to Read Midrash, Appendix; Hebrew Sources 4:3",32
"Learning to Read Midrash, Appendix; Hebrew Sources 5:1",34
"Learning to Read Midrash, Appendix; Hebrew Sources 5:2",35
"Learning to Read Midrash, Appendix; Hebrew Sources 5:3",36
"Learning to Read Midrash, Appendix; Hebrew Sources 6:1",38
"Learning to Read Midrash, Appendix; Hebrew Sources 6:2",39
"Learning to Read Midrash, Appendix; Hebrew Sources 6:3",40
"Learning to Read Midrash, Appendix; Hebrew Sources 6:4",41
"Learning to Read Midrash, Appendix; Hebrew Sources 7:1",43
"Learning to Read Midrash, Appendix; Hebrew Sources 7:2",44
"Learning to Read Midrash, Appendix; Hebrew Sources 7:3",45
"Learning to Read Midrash, Appendix; Hebrew Sources 9:1",47
"Learning to Read Midrash, Appendix; Hebrew Sources 9:2",48
"Learning to Read Midrash, Appendix; Hebrew Sources 9:3",49
"Learning to Read Midrash, Appendix; Hebrew Sources 10:1",51
"Learning to Read Midrash, Appendix; Hebrew Sources 10:2",52
"Learning to Read Midrash, Appendix; Hebrew Sources 10:3",53
"Learning to Read Midrash, Appendix; Hebrew Sources 10:4",54
"Learning to Read Midrash, Appendix; Hebrew Sources 10:5",55
"Learning to Read Midrash, Appendix; Hebrew Sources 10:6",56
"Learning to Read Midrash, Appendix; Hebrew Sources 11:1",58
"Learning to Read Midrash, Appendix; Hebrew Sources 11:2",59
"Learning to Read Midrash, Appendix; Hebrew Sources 11:3",60
"Learning to Read Midrash, Appendix; Hebrew Sources 12:1",62
"Learning to Read Midrash, Appendix; Hebrew Sources 12:2",63
"Learning to Read Midrash, Appendix; Hebrew Sources 12:3",64
"Learning to Read Midrash, Appendix; Hebrew Sources 13:1",66
"Learning to Read Midrash, Appendix; Hebrew Sources 13:2",67
"Learning to Read Midrash, Appendix; Hebrew Sources 13:3",68
"Learning to Read Midrash, Appendix; Hebrew Sources 14:1",70
"Learning to Read Midrash, Appendix; Hebrew Sources 14:2",71
"Learning to Read Midrash, Appendix; Hebrew Sources 14:3",72
"Learning to Read Midrash, Appendix; Hebrew Sources 15:1",74
"Learning to Read Midrash, Appendix; Hebrew Sources 15:2",75
"Learning to Read Midrash, Appendix; Hebrew Sources 16:1",77
"Learning to Read Midrash, Appendix; Hebrew Sources 16:2",78
"Learning to Read Midrash, Appendix; Hebrew Sources 16:3",79
"Learning to Read Midrash, Appendix; Hebrew Sources 16:4",80
"Learning to Read Midrash, Appendix; Hebrew Sources 16:5",81
"Learning to Read Midrash, Appendix; Hebrew Sources 16:6",82
