ref,line_index
Midrash HaIttamari 1:1,4
Midrash HaIttamari 1:2,6
Midrash HaIttamari 1:3,8
Midrash HaIttamari 1:4,10
Midrash HaIttamari 1:5,12
Midrash HaIttamari 1:6,14
Midrash HaIttamari 1:7,16
Midrash HaIttamari 1:8,18
Midrash HaIttamari 1:9,20
Midrash HaIttamari 1:10,22
Midrash HaIttamari 1:11,24
Midrash HaIttamari 1:12,26
Midrash HaIttamari 1:13,28
Midrash HaIttamari 1:14,30
Midrash HaIttamari 1:15,32
Midrash HaIttamari 1:16,34
Midrash HaIttamari 1:17,36
Midrash HaIttamari 1:18,38
Midrash HaIttamari 1:19,40
Midrash HaIttamari 1:20,42
Midrash HaIttamari 1:21,44
Midrash HaIttamari 1:22,46
Midrash HaIttamari 1:23,48
Midrash HaIttamari 1:24,50
Midrash HaIttamari 1:25,52
Midrash HaIttamari 1:26,54
Midrash HaIttamari 1:27,56
Midrash HaIttamari 1:28,58
Midrash HaIttamari 1:29,60
Midrash HaIttamari 1:30,62
Midrash HaIttamari 1:31,64
Midrash HaIttamari 1:32,66
Midrash HaIttamari 2:1,69
Midrash HaIttamari 2:2,71
Midrash HaIttamari 2:3,73
Midrash HaIttamari 2:4,75
Midrash HaIttamari 2:5,77
Midrash HaIttamari 2:6,79
Midrash HaIttamari 2:7,81
Midrash HaIttamari 2:8,83
Midrash HaIttamari 2:9,85
Midrash HaIttamari 2:10,87
Midrash HaIttamari 2:11,89
Midrash HaIttamari 2:12,91
Midrash HaIttamari 2:13,93
Midrash HaIttamari 2:14,95
Midrash HaIttamari 2:15,97
Midrash HaIttamari 2:16,99
Midrash HaIttamari 2:17,101
Midrash HaIttamari 2:18,103
Midrash HaIttamari 2:19,105
Midrash HaIttamari 2:20,107
Midrash HaIttamari 2:21,109
Midrash HaIttamari 2:22,111
Midrash HaIttamari 2:23,113
Midrash HaIttamari 2:24,115
Midrash HaIttamari 2:25,117
Midrash HaIttamari 2:26,119
Midrash HaIttamari 2:27,121
Midrash HaIttamari 3:1,124
Midrash HaIttamari 3:2,126
Midrash HaIttamari 3:3,128
Midrash HaIttamari 3:4,130
Midrash HaIttamari 3:5,132
Midrash HaIttamari 3:6,134
Midrash HaIttamari 3:7,136
Midrash HaIttamari 3:8,138
Midrash HaIttamari 3:9,140
Midrash HaIttamari 3:10,142
Midrash HaIttamari 3:11,144
Midrash HaIttamari 3:12,146
Midrash HaIttamari 3:13,148
Midrash HaIttamari 3:14,150
Midrash HaIttamari 3:15,152
Midrash HaIttamari 3:16,154
Midrash HaIttamari 3:17,156
Midrash HaIttamari 3:18,158
Midrash HaIttamari 3:19,160
Midrash HaIttamari 3:20,162
Midrash HaIttamari 3:21,164
Midrash HaIttamari 3:22,166
Midrash HaIttamari 3:23,168
Midrash HaIttamari 3:24,170
Midrash HaIttamari 3:25,172
Midrash HaIttamari 4:1,175
Midrash HaIttamari 4:2,177
Midrash HaIttamari 4:3,179
Midrash HaIttamari 4:4,181
Midrash HaIttamari 4:5,183
Midrash HaIttamari 4:6,185
Midrash HaIttamari 4:7,187
Midrash HaIttamari 4:8,189
Midrash HaIttamari 4:9,191
Midrash HaIttamari 4:10,193
Midrash HaIttamari 4:11,195
Midrash HaIttamari 4:12,197
Midrash HaIttamari 4:13,199
Midrash HaIttamari 4:14,201
Midrash HaIttamari 4:15,203
Midrash HaIttamari 4:16,205
Midrash HaIttamari 4:17,207
Midrash HaIttamari 4:18,209
Midrash HaIttamari 4:19,211
Midrash HaIttamari 4:20,213
Midrash HaIttamari 4:21,215
Midrash HaIttamari 4:22,217
Midrash HaIttamari 4:23,219
Midrash HaIttamari 4:24,221
Midrash HaIttamari 5:1,224
Midrash HaIttamari 5:2,226
Midrash HaIttamari 5:3,228
Midrash HaIttamari 5:4,230
Midrash HaIttamari 5:5,232
Midrash HaIttamari 5:6,234
Midrash HaIttamari 5:7,236
Midrash HaIttamari 5:8,238
Midrash HaIttamari 5:9,240
Midrash HaIttamari 5:10,242
Midrash HaIttamari 5:11,244
Midrash HaIttamari 5:12,246
Midrash HaIttamari 5:13,248
Midrash HaIttamari 5:14,250
Midrash HaIttamari 5:15,252
Midrash HaIttamari 5:16,254
Midrash HaIttamari 5:17,256
Midrash HaIttamari 5:18,258
Midrash HaIttamari 5:19,260
Midrash HaIttamari 5:20,262
Midrash HaIttamari 5:21,264
Midrash HaIttamari 5:22,266
Midrash HaIttamari 5:23,268
Midrash HaIttamari 5:24,270
Midrash HaIttamari 5:25,272
Midrash HaIttamari 5:26,274
Midrash HaIttamari 5:27,276
Midrash HaIttamari 5:28,278
Midrash HaIttamari 5:29,280
Midrash HaIttamari 5:30,282
Midrash HaIttamari 5:31,284
Midrash HaIttamari 5:32,286
Midrash HaIttamari 5:33,288
Midrash HaIttamari 5:34,290
Midrash HaIttamari 5:35,292
Midrash HaIttamari 5:36,294
Midrash HaIttamari 6:1,297
Midrash HaIttamari 6:2,299
Midrash HaIttamari 6:3,301
Midrash HaIttamari 6:4,303
Midrash HaIttamari 6:5,305
Midrash HaIttamari 6:6,307
Midrash HaIttamari 6:7,309
Midrash HaIttamari 6:8,311
Midrash HaIttamari 6:9,313
Midrash HaIttamari 6:10,315
Midrash HaIttamari 6:11,317
Midrash HaIttamari 6:12,319
Midrash HaIttamari 6:13,321
Midrash HaIttamari 6:14,323
Midrash HaIttamari 6:15,325
Midrash HaIttamari 6:16,327
Midrash HaIttamari 6:17,329
Midrash HaIttamari 6:18,331
Midrash HaIttamari 6:19,333
Midrash HaIttamari 6:20,335
