ref,line_index
"Sefer HaHiggayon, Introduction 1",3
Sefer HaHiggayon 1:1,5
Sefer HaHiggayon 1:2,6
Sefer HaHiggayon 1:3,7
Sefer HaHiggayon 1:4,8
Sefer HaHiggayon 1:5,9
Sefer HaHiggayon 1:6,10
Sefer HaHiggayon 2:1,12
Sefer HaHiggayon 2:2,13
Sefer HaHiggayon 2:3,14
Sefer HaHiggayon 2:4,15
Sefer HaHiggayon 3:1,17
Sefer HaHiggayon 3:2,18
Sefer HaHiggayon 3:3,19
Sefer HaHiggayon 3:4,20
Sefer HaHiggayon 3:5,21
Sefer HaHiggayon 3:6,22
Sefer HaHiggayon 3:7,23
Sefer HaHiggayon 3:8,24
Sefer HaHiggayon 3:9,25
Sefer HaHiggayon 3:10,26
Sefer HaHiggayon 3:11,27
Sefer HaHiggayon 3:12,28
Sefer HaHiggayon 3:13,29
Sefer HaHiggayon 3:14,30
Sefer HaHiggayon 3:15,31
Sefer HaHiggayon 3:16,32
Sefer HaHiggayon 3:17,33
Sefer HaHiggayon 3:18,34
Sefer HaHiggayon 3:19,35
Sefer HaHiggayon 3:20,36
Sefer HaHiggayon 3:21,37
Sefer HaHiggayon 3:22,38
Sefer HaHiggayon 3:23,39
Sefer HaHiggayon 3:24,40
Sefer HaHiggayon 3:25,41
Sefer HaHiggayon 3:26,42
Sefer HaHiggayon 3:27,43
Sefer HaHiggayon 3:28,44
Sefer HaHiggayon 3:29,45
Sefer HaHiggayon 3:30,46
Sefer HaHiggayon 3:31,47
Sefer HaHiggayon 3:32,48
Sefer HaHiggayon 3:33,49
Sefer HaHiggayon 3:34,50
Sefer HaHiggayon 3:35,51
Sefer HaHiggayon 4:1,53
Sefer HaHiggayon 4:2,54
Sefer HaHiggayon 4:3,55
Sefer HaHiggayon 4:4,56
Sefer HaHiggayon 4:5,57
Sefer HaHiggayon 4:6,58
Sefer HaHiggayon 4:7,59
Sefer HaHiggayon 4:8,60
Sefer HaHiggayon 4:9,61
Sefer HaHiggayon 4:10,62
Sefer HaHiggayon 4:11,63
Sefer HaHiggayon 4:12,64
Sefer HaHiggayon 4:13,65
Sefer HaHiggayon 4:14,66
Sefer HaHiggayon 4:15,67
Sefer HaHiggayon 4:16,68
Sefer HaHiggayon 4:17,69
Sefer HaHiggayon 4:18,70
Sefer HaHiggayon 4:19,71
Sefer HaHiggayon 4:20,72
Sefer HaHiggayon 4:21,73
Sefer HaHiggayon 4:22,74
Sefer HaHiggayon 4:23,75
Sefer HaHiggayon 4:24,76
Sefer HaHiggayon 4:25,77
Sefer HaHiggayon 4:26,78
Sefer HaHiggayon 4:27,79
Sefer HaHiggayon 4:28,80
Sefer HaHiggayon 4:29,81
Sefer HaHiggayon 5:1,83
Sefer HaHiggayon 5:2,84
Sefer HaHiggayon 6:1,86
Sefer HaHiggayon 6:2,87
Sefer HaHiggayon 6:3,88
Sefer HaHiggayon 6:4,89
Sefer HaHiggayon 7:1,91
Sefer HaHiggayon 7:2,92
Sefer HaHiggayon 8:1,94
Sefer HaHiggayon 8:2,95
Sefer HaHiggayon 8:3,96
Sefer HaHiggayon 9:1,98
Sefer HaHiggayon 9:2,99
Sefer HaHiggayon 9:3,100
Sefer HaHiggayon 9:4,101
Sefer HaHiggayon 9:5,102
Sefer HaHiggayon 9:6,103
Sefer HaHiggayon 9:7,104
Sefer HaHiggayon 9:8,105
Sefer HaHiggayon 9:9,106
Sefer HaHiggayon 9:10,107
Sefer HaHiggayon 9:11,108
Sefer HaHiggayon 10:1,110
Sefer HaHiggayon 10:2,111
Sefer HaHiggayon 10:3,112
Sefer HaHiggayon 10:4,113
Sefer HaHiggayon 10:5,114
Sefer HaHiggayon 10:6,115
Sefer HaHiggayon 10:7,116
Sefer HaHiggayon 11:1,118
Sefer HaHiggayon 11:2,119
Sefer HaHiggayon 11:3,120
Sefer HaHiggayon 11:4,121
Sefer HaHiggayon 11:5,122
Sefer HaHiggayon 11:6,123
Sefer HaHiggayon 12:1,125
Sefer HaHiggayon 12:2,126
Sefer HaHiggayon 12:3,127
Sefer HaHiggayon 12:4,128
Sefer HaHiggayon 12:5,129
Sefer HaHiggayon 12:6,130
Sefer HaHiggayon 12:7,131
Sefer HaHiggayon 12:8,132
Sefer HaHiggayon 12:9,133
Sefer HaHiggayon 13:1,135
Sefer HaHiggayon 13:2,136
Sefer HaHiggayon 13:3,137
Sefer HaHiggayon 13:4,138
Sefer HaHiggayon 14:1,140
Sefer HaHiggayon 14:2,141
Sefer HaHiggayon 14:3,142
Sefer HaHiggayon 14:4,143
Sefer HaHiggayon 14:5,144
Sefer HaHiggayon 14:6,145
Sefer HaHiggayon 14:7,146
Sefer HaHiggayon 15:1,148
Sefer HaHiggayon 15:2,149
Sefer HaHiggayon 15:3,150
Sefer HaHiggayon 15:4,151
Sefer HaHiggayon 15:5,152
Sefer HaHiggayon 15:6,153
Sefer HaHiggayon 15:7,154
Sefer HaHiggayon 15:8,155
Sefer HaHiggayon 15:9,156
Sefer HaHiggayon 15:10,157
Sefer HaHiggayon 15:11,158
Sefer HaHiggayon 15:12,159
Sefer HaHiggayon 16:1,161
Sefer HaHiggayon 16:2,162
Sefer HaHiggayon 16:3,163
Sefer HaHiggayon 17:1,165
Sefer HaHiggayon 17:2,166
Sefer HaHiggayon 17:3,167
Sefer HaHiggayon 17:4,168
