ref,line_index
Yahel Ohr on Zohar 1:1a:1,4
Yahel Ohr on Zohar 1:1a:2,5
Yahel Ohr on Zohar 1:1a:3,6
Yahel Ohr on Zohar 1:1a:4,7
Yahel Ohr on Zohar 1:1a:5,8
Yahel Ohr on Zohar 1:1a:6,9
Yahel Ohr on Zohar 1:1a:7,10
Yahel Ohr on Zohar 1:1a:8,11
Yahel Ohr on Zohar 1:1a:9,12
Yahel Ohr on Zohar 1:1a:10,13
Yahel Ohr on Zohar 1:1a:11,14
Yahel Ohr on Zohar 1:1a:12,15
Yahel Ohr on Zohar 1:1a:13,16
Yahel Ohr on Zohar 1:1a:14,17
Yahel Ohr on Zohar 1:1a:15,18
Yahel Ohr on Zohar 1:1a:16,19
Yahel Ohr on Zohar 1:1a:17,20
Yahel Ohr on Zohar 1:1a:18,21
Yahel Ohr on Zohar 1:1a:19,22
Yahel Ohr on Zohar 1:1a:20,23
Yahel Ohr on Zohar 1:1a:21,24
Yahel Ohr on Zohar 1:1a:22,25
Yahel Ohr on Zohar 1:1a:23,26
Yahel Ohr on Zohar 1:1a:24,27
Yahel Ohr on Zohar 1:1a:25,28
Yahel Ohr on Zohar 1:1a:26,29
Yahel Ohr on Zohar 1:1a:27,30
Yahel Ohr on Zohar 1:1a:28,31
Yahel Ohr on Zohar 1:1a:29,32
Yahel Ohr on Zohar 1:1a:30,33
Yahel Ohr on Zohar 1:1a:31,34
Yahel Ohr on Zohar 1:1a:32,35
Yahel Ohr on Zohar 1:1b:1,37
Yahel Ohr on Zohar 1:1b:2,38
Yahel Ohr on Zohar 1:1b:3,39
Yahel Ohr on Zohar 1:2a:1,41
Yahel Ohr on Zohar 1:2a:2,42
Yahel Ohr on Zohar 1:2a:3,43
Yahel Ohr on Zohar 1:2a:4,44
Yahel Ohr on Zohar 1:2a:5,45
Yahel Ohr on Zohar 1:2a:6,46
Yahel Ohr on Zohar 1:2a:7,47
Yahel Ohr on Zohar 1:2a:8,48
Yahel Ohr on Zohar 1:2b:1,50
Yahel Ohr on Zohar 1:2b:2,51
Yahel Ohr on Zohar 1:2b:3,52
Yahel Ohr on Zohar 1:3b:1,54
Yahel Ohr on Zohar 1:3b:2,55
Yahel Ohr on Zohar 1:3b:3,56
Yahel Ohr on Zohar 1:3b:4,57
Yahel Ohr on Zohar 1:3b:5,58
Yahel Ohr on Zohar 1:3b:6,59
Yahel Ohr on Zohar 1:3b:7,60
Yahel Ohr on Zohar 1:3b:8,61
Yahel Ohr on Zohar 1:3b:9,62
