ref,line_index
"Sha'ar HaHakdamot, Introductions 1:1",5
"Sha'ar HaHakdamot, Introductions 1:2",6
"Sha'ar HaHakdamot, Introductions 1:3",7
"Sha'ar HaHakdamot, Introductions 1:4",8
"Sha'ar HaHakdamot, Introductions 1:5",9
"Sha'ar HaHakdamot, Introductions 1:6",10
"Sha'ar HaHakdamot, Introductions 1:7",11
"Sha'ar HaHakdamot, Introductions 1:8",12
"Sha'ar HaHakdamot, Introductions 1:9",13
"Sha'ar HaHakdamot, Introductions 1:10",14
"Sha'ar HaHakdamot, Introductions 1:11",15
"Sha'ar HaHakdamot, Introductions 1:12",16
"Sha'ar HaHakdamot, Introductions 1:13",17
"Sha'ar HaHakdamot, Introductions 1:14",18
"Sha'ar HaHakdamot, Introductions 1:15",19
"Sha'ar HaHakdamot, Introductions 1:16",20
"Sha'ar HaHakdamot, Introductions 2:1",22
"Sha'ar HaHakdamot, Introductions 2:2",23
"Sha'ar HaHakdamot, Introductions 2:3",24
"Sha'ar HaHakdamot, Introductions 3:1",26
"Sha'ar HaHakdamot, Introductions 3:2",27
"Sha'ar HaHakdamot, Introductions 4:1",29
"Sha'ar HaHakdamot, Introductions 4:2",30
"Sha'ar HaHakdamot, Introductions 4:3",31
"Sha'ar HaHakdamot, Introductions 5:1",33
"Sha'ar HaHakdamot, Introductions 5:2",34
"Sha'ar HaHakdamot, Introductions 5:3",35
"Sha'ar HaHakdamot, Introductions 6:1",37
"Sha'ar HaHakdamot, Introductions 6:2",38
"Sha'ar HaHakdamot, Introductions 6:3",39
"Sha'ar HaHakdamot, Introductions 6:4",40
"Sha'ar HaHakdamot, Introductions 6:5",41
"Sha'ar HaHakdamot, Introductions 6:6",42
"Sha'ar HaHakdamot, Adam Kadmon 1:1",45
"Sha'ar HaHakdamot, Adam Kadmon 1:2",46
"Sha'ar HaHakdamot, Adam Kadmon 1:3",47
"Sha'ar HaHakdamot, Adam Kadmon 1:4",48
"Sha'ar HaHakdamot, Adam Kadmon 1:5",49
"Sha'ar HaHakdamot, Adam Kadmon 1:6",50
"Sha'ar HaHakdamot, Adam Kadmon 1:7",51
"Sha'ar HaHakdamot, Adam Kadmon 1:8",52
"Sha'ar HaHakdamot, Adam Kadmon 1:9",53
"Sha'ar HaHakdamot, Adam Kadmon 1:10",54
"Sha'ar HaHakdamot, Adam Kadmon 1:11",55
"Sha'ar HaHakdamot, Adam Kadmon 1:12",56
"Sha'ar HaHakdamot, Adam Kadmon 1:13",57
"Sha'ar HaHakdamot, Adam Kadmon 1:14",58
"Sha'ar HaHakdamot, Adam Kadmon 1:15",59
"Sha'ar HaHakdamot, Adam Kadmon 2:1",61
"Sha'ar HaHakdamot, Adam Kadmon 2:2",62
"Sha'ar HaHakdamot, Adam Kadmon 3:1",64
"Sha'ar HaHakdamot, Adam Kadmon 3:2",65
"Sha'ar HaHakdamot, Adam Kadmon 3:3",66
"Sha'ar HaHakdamot, Adam Kadmon 4:1",68
"Sha'ar HaHakdamot, Adam Kadmon 4:2",69
"Sha'ar HaHakdamot, Adam Kadmon 4:3",70
"Sha'ar HaHakdamot, Akudim 1:1",73
"Sha'ar HaHakdamot, Akudim 1:2",74
"Sha'ar HaHakdamot, Akudim 2:1",76
"Sha'ar HaHakdamot, Akudim 2:2",77
"Sha'ar HaHakdamot, Akudim 2:3",78
"Sha'ar HaHakdamot, Akudim 2:4",79
