ref,line_index
"Teshuvot Meshiv Davar, Introduction 1",4
"Teshuvot Meshiv Davar, Introduction 2",5
"Teshuvot Meshiv Davar, Introduction 3",6
"Teshuvot Meshiv Davar, Introduction 4",7
"Teshuvot Meshiv Davar, Introduction 5",8
"Teshuvot Meshiv Davar, Volume I 1:1",11
"Teshuvot Meshiv Davar, Volume I 1:2",12
"Teshuvot Meshiv Davar, Volume I 1:3",13
"Teshuvot Meshiv Davar, Volume I 1:4",14
"Teshuvot Meshiv Davar, Volume I 1:5",15
"Teshuvot Meshiv Davar, Volume I 1:6",16
"Teshuvot Meshiv Davar, Volume I 2:1",18
"Teshuvot Meshiv Davar, Volume I 2:2",19
"Teshuvot Meshiv Davar, Volume I 2:3",20
"Teshuvot Meshiv Davar, Volume I 2:4",21
"Teshuvot Meshiv Davar, Volume I 2:5",22
"Teshuvot Meshiv Davar, Volume I 2:6",23
"Teshuvot Meshiv Davar, Volume I 2:7",24
"Teshuvot Meshiv Davar, Volume I 3:1",26
"Teshuvot Meshiv Davar, Volume I 3:2",27
"Teshuvot Meshiv Davar, Volume I 3:3",28
"Teshuvot Meshiv Davar, Volume I 3:4",29
"Teshuvot Meshiv Davar, Volume I 3:5",30
"Teshuvot Meshiv Davar, Volume I 3:6",31
"Teshuvot Meshiv Davar, Volume I 4:1",33
"Teshuvot Meshiv Davar, Volume I 4:2",34
"Teshuvot Meshiv Davar, Volume I 4:3",35
"Teshuvot Meshiv Davar, Volume I 4:4",36
"Teshuvot Meshiv Davar, Volume I 4:5",37
"Teshuvot Meshiv Davar, Volume I 4:6",38
"Teshuvot Meshiv Davar, Volume I 4:7",39
"Teshuvot Meshiv Davar, Volume I 5:1",41
"Teshuvot Meshiv Davar, Volume I 5:2",42
"Teshuvot Meshiv Davar, Volume I 6:1",44
"Teshuvot Meshiv Davar, Volume I 6:2",45
"Teshuvot Meshiv Davar, Volume I 6:3",46
"Teshuvot Meshiv Davar, Volume I 6:4",47
"Teshuvot Meshiv Davar, Volume I 6:5",48
"Teshuvot Meshiv Davar, Volume I 6:6",49
"Teshuvot Meshiv Davar, Volume I 6:7",50
"Teshuvot Meshiv Davar, Volume I 7:1",52
"Teshuvot Meshiv Davar, Volume I 7:2",53
"Teshuvot Meshiv Davar, Volume I 7:3",54
"Teshuvot Meshiv Davar, Volume I 8:1",56
"Teshuvot Meshiv Davar, Volume I 8:2",57
"Teshuvot Meshiv Davar, Volume I 8:3",58
"Teshuvot Meshiv Davar, Volume I 8:4",59
"Teshuvot Meshiv Davar, Volume I 8:5",60
"Teshuvot Meshiv Davar, Volume I 8:6",61
"Teshuvot Meshiv Davar, Volume I 8:7",62
"Teshuvot Meshiv Davar, Volume I 8:8",63
"Teshuvot Meshiv Davar, Volume I 8:9",64
"Teshuvot Meshiv Davar, Volume I 9:1",66
"Teshuvot Meshiv Davar, Volume I 9:2",67
"Teshuvot Meshiv Davar, Volume I 9:3",68
"Teshuvot Meshiv Davar, Volume I 10:1",70
"Teshuvot Meshiv Davar, Volume I 10:2",71
"Teshuvot Meshiv Davar, Volume I 10:3",72
"Teshuvot Meshiv Davar, Volume I 10:4",73
"Teshuvot Meshiv Davar, Volume I 10:5",74
"Teshuvot Meshiv Davar, Volume I 11:1",76
"Teshuvot Meshiv Davar, Volume I 11:2",77
"Teshuvot Meshiv Davar, Volume I 11:3",78
"Teshuvot Meshiv Davar, Volume I 11:4",79
"Teshuvot Meshiv Davar, Volume I 12:1",81
"Teshuvot Meshiv Davar, Volume I 12:2",82
"Teshuvot Meshiv Davar, Volume I 12:3",83
"Teshuvot Meshiv Davar, Volume I 12:4",84
"Teshuvot Meshiv Davar, Volume I 12:5",85
"Teshuvot Meshiv Davar, Volume I 12:6",86
"Teshuvot Meshiv Davar, Volume I 12:7",87
"Teshuvot Meshiv Davar, Volume I 12:8",88
"Teshuvot Meshiv Davar, Volume I 12:9",89
"Teshuvot Meshiv Davar, Volume I 12:10",90
"Teshuvot Meshiv Davar, Volume I 13:1",92
"Teshuvot Meshiv Davar, Volume I 13:2",93
"Teshuvot Meshiv Davar, Volume I 14:1",95
"Teshuvot Meshiv Davar, Volume I 15:1",97
"Teshuvot Meshiv Davar, Volume I 15:2",98
"Teshuvot Meshiv Davar, Volume I 15:3",99
"Teshuvot Meshiv Davar, Volume I 15:4",100
"Teshuvot Meshiv Davar, Volume I 16:1",102
"Teshuvot Meshiv Davar, Volume I 16:2",103
"Teshuvot Meshiv Davar, Volume I 16:3",104
"Teshuvot Meshiv Davar, Volume I 16:4",105
"Teshuvot Meshiv Davar, Volume I 16:5",106
"Teshuvot Meshiv Davar, Volume I 16:6",107
"Teshuvot Meshiv Davar, Volume I 17:1",109
"Teshuvot Meshiv Davar, Volume I 17:2",110
"Teshuvot Meshiv Davar, Volume I 17:3",111
"Teshuvot Meshiv Davar, Volume I 17:4",112
"Teshuvot Meshiv Davar, Volume I 17:5",113
"Teshuvot Meshiv Davar, Volume I 17:6",114
"Teshuvot Meshiv Davar, Volume I 17:7",115
"Teshuvot Meshiv Davar, Volume I 17:8",116
"Teshuvot Meshiv Davar, Volume I 17:9",117
"Teshuvot Meshiv Davar, Volume I 17:10",118
"Teshuvot Meshiv Davar, Volume I 17:11",119
"Teshuvot Meshiv Davar, Volume I 17:12",120
"Teshuvot Meshiv Davar, Volume I 17:13",121
"Teshuvot Meshiv Davar, Volume I 17:14",122
"Teshuvot Meshiv Davar, Volume I 17:15",123
"Teshuvot Meshiv Davar, Volume I 18:1",125
"Teshuvot Meshiv Davar, Volume I 18:2",126
"Teshuvot Meshiv Davar, Volume I 18:3",127
"Teshuvot Meshiv Davar, Volume I 19:1",129
"Teshuvot Meshiv Davar, Volume I 19:2",130
"Teshuvot Meshiv Davar, Volume I 19:3",131
"Teshuvot Meshiv Davar, Volume I 19:4",132
"Teshuvot Meshiv Davar, Volume I 20:1",134
"Teshuvot Meshiv Davar, Volume I 20:2",135
"Teshuvot Meshiv Davar, Volume I 20:3",136
"Teshuvot Meshiv Davar, Volume I 21:1",138
"Teshuvot Meshiv Davar, Volume I 21:2",139
"Teshuvot Meshiv Davar, Volume I 21:3",140
"Teshuvot Meshiv Davar, Volume I 22:1",142
"Teshuvot Meshiv Davar, Volume I 22:2",143
"Teshuvot Meshiv Davar, Volume I 22:3",144
"Teshuvot Meshiv Davar, Volume I 22:4",145
"Teshuvot Meshiv Davar, Volume I 22:5",146
"Teshuvot Meshiv Davar, Volume I 22:6",147
"Teshuvot Meshiv Davar, Volume I 22:7",148
"Teshuvot Meshiv Davar, Volume I 23:1",150
"Teshuvot Meshiv Davar, Volume I 23:2",151
"Teshuvot Meshiv Davar, Volume I 23:3",152
"Teshuvot Meshiv Davar, Volume I 23:4",153
"Teshuvot Meshiv Davar, Volume I 23:5",154
"Teshuvot Meshiv Davar, Volume I 23:6",155
"Teshuvot Meshiv Davar, Volume I 23:7",156
"Teshuvot Meshiv Davar, Volume I 24:1",158
"Teshuvot Meshiv Davar, Volume I 24:2",159
"Teshuvot Meshiv Davar, Volume I 24:3",160
"Teshuvot Meshiv Davar, Volume I 24:4",161
"Teshuvot Meshiv Davar, Volume I 24:5",162
"Teshuvot Meshiv Davar, Volume I 25:1",164
"Teshuvot Meshiv Davar, Volume I 25:2",165
"Teshuvot Meshiv Davar, Volume I 25:3",166
"Teshuvot Meshiv Davar, Volume I 25:4",167
"Teshuvot Meshiv Davar, Volume I 25:5",168
"Teshuvot Meshiv Davar, Volume I 25:6",169
"Teshuvot Meshiv Davar, Volume I 25:7",170
"Teshuvot Meshiv Davar, Volume I 26:1",172
"Teshuvot Meshiv Davar, Volume I 26:2",173
"Teshuvot Meshiv Davar, Volume I 26:3",174
"Teshuvot Meshiv Davar, Volume I 26:4",175
"Teshuvot Meshiv Davar, Volume I 27:1",177
"Teshuvot Meshiv Davar, Volume I 27:2",178
"Teshuvot Meshiv Davar, Volume I 27:3",179
"Teshuvot Meshiv Davar, Volume I 27:4",180
"Teshuvot Meshiv Davar, Volume I 27:5",181
"Teshuvot Meshiv Davar, Volume I 27:6",182
"Teshuvot Meshiv Davar, Volume I 28:1",184
"Teshuvot Meshiv Davar, Volume I 28:2",185
"Teshuvot Meshiv Davar, Volume I 28:3",186
"Teshuvot Meshiv Davar, Volume I 28:4",187
"Teshuvot Meshiv Davar, Volume I 28:5",188
"Teshuvot Meshiv Davar, Volume I 28:6",189
"Teshuvot Meshiv Davar, Volume I 28:7",190
"Teshuvot Meshiv Davar, Volume I 28:8",191
"Teshuvot Meshiv Davar, Volume I 28:9",192
"Teshuvot Meshiv Davar, Volume I 28:10",193
"Teshuvot Meshiv Davar, Volume I 28:11",194
"Teshuvot Meshiv Davar, Volume I 28:12",195
"Teshuvot Meshiv Davar, Volume I 28:13",196
"Teshuvot Meshiv Davar, Volume I 29:1",198
"Teshuvot Meshiv Davar, Volume I 29:2",199
"Teshuvot Meshiv Davar, Volume I 29:3",200
"Teshuvot Meshiv Davar, Volume I 29:4",201
"Teshuvot Meshiv Davar, Volume I 29:5",202
"Teshuvot Meshiv Davar, Volume I 29:6",203
"Teshuvot Meshiv Davar, Volume I 30:1",205
"Teshuvot Meshiv Davar, Volume I 30:2",206
"Teshuvot Meshiv Davar, Volume I 30:3",207
"Teshuvot Meshiv Davar, Volume I 30:4",208
"Teshuvot Meshiv Davar, Volume I 30:5",209
"Teshuvot Meshiv Davar, Volume I 30:6",210
"Teshuvot Meshiv Davar, Volume I 30:7",211
"Teshuvot Meshiv Davar, Volume I 31:1",213
"Teshuvot Meshiv Davar, Volume I 31:2",214
"Teshuvot Meshiv Davar, Volume I 31:3",215
"Teshuvot Meshiv Davar, Volume I 31:4",216
"Teshuvot Meshiv Davar, Volume I 31:5",217
"Teshuvot Meshiv Davar, Volume I 31:6",218
"Teshuvot Meshiv Davar, Volume I 32:1",220
"Teshuvot Meshiv Davar, Volume I 32:2",221
"Teshuvot Meshiv Davar, Volume I 32:3",222
"Teshuvot Meshiv Davar, Volume I 32:4",223
"Teshuvot Meshiv Davar, Volume I 32:5",224
"Teshuvot Meshiv Davar, Volume I 32:6",225
"Teshuvot Meshiv Davar, Volume I 32:7",226
"Teshuvot Meshiv Davar, Volume I 32:8",227
"Teshuvot Meshiv Davar, Volume I 33:1",229
"Teshuvot Meshiv Davar, Volume I 33:2",230
"Teshuvot Meshiv Davar, Volume I 33:3",231
"Teshuvot Meshiv Davar, Volume I 33:4",232
"Teshuvot Meshiv Davar, Volume I 33:5",233
"Teshuvot Meshiv Davar, Volume I 34:1",235
"Teshuvot Meshiv Davar, Volume I 34:2",236
"Teshuvot Meshiv Davar, Volume I 34:3",237
"Teshuvot Meshiv Davar, Volume I 34:4",238
"Teshuvot Meshiv Davar, Volume I 34:5",239
"Teshuvot Meshiv Davar, Volume I 34:6",240
"Teshuvot Meshiv Davar, Volume I 34:7",241
"Teshuvot Meshiv Davar, Volume I 34:8",242
"Teshuvot Meshiv Davar, Volume I 34:9",243
"Teshuvot Meshiv Davar, Volume I 34:10",244
"Teshuvot Meshiv Davar, Volume I 35:1",246
"Teshuvot Meshiv Davar, Volume I 35:2",247
"Teshuvot Meshiv Davar, Volume I 35:3",248
"Teshuvot Meshiv Davar, Volume I 35:4",249
"Teshuvot Meshiv Davar, Volume I 35:5",250
"Teshuvot Meshiv Davar, Volume I 35:6",251
"Teshuvot Meshiv Davar, Volume I 36:1",253
"Teshuvot Meshiv Davar, Volume I 36:2",254
"Teshuvot Meshiv Davar, Volume I 36:3",255
"Teshuvot Meshiv Davar, Volume I 36:4",256
"Teshuvot Meshiv Davar, Volume I 37:1",258
"Teshuvot Meshiv Davar, Volume I 37:2",259
