ref,line_index
Be'er Sheva on Chullin 5a:1,3
Be'er Sheva on Chullin 5b:1,5
Be'er Sheva on Chullin 5b:2,6
Be'er Sheva on Chullin 15a:1,8
Be'er Sheva on Chullin 15b:1,10
Be'er Sheva on Chullin 57a:1,12
Be'er Sheva on Chullin 67a:1,14
Be'er Sheva on Chullin 82a:1,16
Be'er Sheva on Chullin 91a:1,18
Be'er Sheva on Chullin 96a:1,20
Be'er Sheva on Chullin 96a:2,21
Be'er Sheva on Chullin 97b:1,23
Be'er Sheva on Chullin 98a:1,25
Be'er Sheva on Chullin 100a:1,27
Be'er Sheva on Chullin 109a:1,29
Be'er Sheva on Chullin 111b:1,31
Be'er Sheva on Chullin 111b:2,32
Be'er Sheva on Chullin 113a:1,34
Be'er Sheva on Chullin 113a:2,35
Be'er Sheva on Chullin 113a:3,36
Be'er Sheva on Chullin 113a:4,37
Be'er Sheva on Chullin 113a:5,38
Be'er Sheva on Chullin 113a:6,39
Be'er Sheva on Chullin 113a:7,40
Be'er Sheva on Chullin 113a:8,41
Be'er Sheva on Chullin 130b:1,43
