ref,line_index
Tziyyun LeNefesh Chayyah on Menachot 15a:1,3
Tziyyun LeNefesh Chayyah on Menachot 15a:2,4
Tziyyun LeNefesh Chayyah on Menachot 29a:1,6
Tziyyun LeNefesh Chayyah on Menachot 29a:2,7
Tziyyun LeNefesh Chayyah on Menachot 29a:3,8
Tziyyun LeNefesh Chayyah on Menachot 29a:4,9
Tziyyun LeNefesh Chayyah on Menachot 29a:5,10
Tziyyun LeNefesh Chayyah on Menachot 29a:6,11
Tziyyun LeNefesh Chayyah on Menachot 29a:7,12
Tziyyun LeNefesh Chayyah on Menachot 45b:1,14
Tziyyun LeNefesh Chayyah on Menachot 45b:2,15
Tziyyun LeNefesh Chayyah on Menachot 45b:3,16
Tziyyun LeNefesh Chayyah on Menachot 45b:4,17
Tziyyun LeNefesh Chayyah on Menachot 45b:5,18
Tziyyun LeNefesh Chayyah on Menachot 45b:6,19
Tziyyun LeNefesh Chayyah on Menachot 45b:7,20
Tziyyun LeNefesh Chayyah on Menachot 45b:8,21
Tziyyun LeNefesh Chayyah on Menachot 45b:9,22
Tziyyun LeNefesh Chayyah on Menachot 45b:10,23
Tziyyun LeNefesh Chayyah on Menachot 45b:11,24
Tziyyun LeNefesh Chayyah on Menachot 45b:12,25
Tziyyun LeNefesh Chayyah on Menachot 45b:13,26
Tziyyun LeNefesh Chayyah on Menachot 66a:1,28
Tziyyun LeNefesh Chayyah on Menachot 66a:2,29
Tziyyun LeNefesh Chayyah on Menachot 66a:3,30
Tziyyun LeNefesh Chayyah on Menachot 66a:4,31
Tziyyun LeNefesh Chayyah on Menachot 72a:1,33
Tziyyun LeNefesh Chayyah on Menachot 72a:2,34
Tziyyun LeNefesh Chayyah on Menachot 72a:3,35
Tziyyun LeNefesh Chayyah on Menachot 72a:4,36
Tziyyun LeNefesh Chayyah on Menachot 72a:5,37
