ref,line_index
Sha'arei Torat Bavel on Berakhot 3b:1,3
Sha'arei Torat Bavel on Berakhot 4a:1,5
Sha'arei Torat Bavel on Berakhot 4b:1,7
Sha'arei Torat Bavel on Berakhot 5b:1,9
Sha'arei Torat Bavel on Berakhot 7a:1,11
Sha'arei Torat Bavel on Berakhot 8a:1,13
Sha'arei Torat Bavel on Berakhot 8a:2,14
Sha'arei Torat Bavel on Berakhot 8a:3,15
Sha'arei Torat Bavel on Berakhot 8b:1,17
Sha'arei Torat Bavel on Berakhot 8b:2,18
Sha'arei Torat Bavel on Berakhot 11b:1,20
Sha'arei Torat Bavel on Berakhot 13b:1,22
Sha'arei Torat Bavel on Berakhot 15a:1,24
Sha'arei Torat Bavel on Berakhot 15a:2,25
Sha'arei Torat Bavel on Berakhot 16b:1,27
Sha'arei Torat Bavel on Berakhot 22a:1,29
Sha'arei Torat Bavel on Berakhot 23a:1,31
Sha'arei Torat Bavel on Berakhot 23b:1,33
Sha'arei Torat Bavel on Berakhot 24a:1,35
Sha'arei Torat Bavel on Berakhot 25b:1,37
Sha'arei Torat Bavel on Berakhot 25b:2,38
Sha'arei Torat Bavel on Berakhot 28b:1,40
Sha'arei Torat Bavel on Berakhot 28b:2,41
Sha'arei Torat Bavel on Berakhot 28b:3,42
Sha'arei Torat Bavel on Berakhot 28b:4,43
Sha'arei Torat Bavel on Berakhot 29a:1,45
Sha'arei Torat Bavel on Berakhot 31a:1,47
Sha'arei Torat Bavel on Berakhot 32b:1,49
Sha'arei Torat Bavel on Berakhot 33a:1,51
Sha'arei Torat Bavel on Berakhot 34b:1,53
Sha'arei Torat Bavel on Berakhot 37a:1,55
Sha'arei Torat Bavel on Berakhot 42a:1,57
Sha'arei Torat Bavel on Berakhot 44a:1,59
Sha'arei Torat Bavel on Berakhot 45a:1,61
Sha'arei Torat Bavel on Berakhot 47b:1,63
Sha'arei Torat Bavel on Berakhot 48b:1,65
Sha'arei Torat Bavel on Berakhot 51a:1,67
Sha'arei Torat Bavel on Berakhot 51a:2,68
Sha'arei Torat Bavel on Berakhot 53b:1,70
Sha'arei Torat Bavel on Berakhot 54b:1,72
Sha'arei Torat Bavel on Berakhot 54b:2,73
Sha'arei Torat Bavel on Berakhot 58b:1,75
Sha'arei Torat Bavel on Berakhot 58b:2,76
Sha'arei Torat Bavel on Berakhot 58b:3,77
Sha'arei Torat Bavel on Berakhot 61a:1,79
Sha'arei Torat Bavel on Berakhot 61a:2,80
Sha'arei Torat Bavel on Berakhot 61a:3,81
Sha'arei Torat Bavel on Berakhot 63a:1,83
Sha'arei Torat Bavel on Berakhot 63a:2,84
Sha'arei Torat Bavel on Berakhot 63b:1,86
Sha'arei Torat Bavel on Berakhot 64a:1,88
Sha'arei Torat Bavel on Berakhot 64a:2,89
Sha'arei Torat Bavel on Berakhot 64a:3,90
