ref,line_index
Sha'arei Torat Bavel on Niddah 4a:1,3
Sha'arei Torat Bavel on Niddah 7a:1,5
Sha'arei Torat Bavel on Niddah 7a:2,6
Sha'arei Torat Bavel on Niddah 8b:1,8
Sha'arei Torat Bavel on Niddah 10b:1,10
Sha'arei Torat Bavel on Niddah 10b:2,11
Sha'arei Torat Bavel on Niddah 13b:1,13
Sha'arei Torat Bavel on Niddah 13b:2,14
Sha'arei Torat Bavel on Niddah 13b:3,15
Sha'arei Torat Bavel on Niddah 14a:1,17
Sha'arei Torat Bavel on Niddah 17a:1,19
Sha'arei Torat Bavel on Niddah 17a:2,20
Sha'arei Torat Bavel on Niddah 19b:1,22
Sha'arei Torat Bavel on Niddah 20a:1,24
Sha'arei Torat Bavel on Niddah 22b:1,26
Sha'arei Torat Bavel on Niddah 23a:1,28
Sha'arei Torat Bavel on Niddah 23a:2,29
Sha'arei Torat Bavel on Niddah 31a:1,31
Sha'arei Torat Bavel on Niddah 32a:1,33
Sha'arei Torat Bavel on Niddah 35b:1,35
Sha'arei Torat Bavel on Niddah 35b:2,36
Sha'arei Torat Bavel on Niddah 36b:1,38
Sha'arei Torat Bavel on Niddah 37b:1,40
Sha'arei Torat Bavel on Niddah 41b:1,42
Sha'arei Torat Bavel on Niddah 43a:1,44
Sha'arei Torat Bavel on Niddah 44b:1,46
Sha'arei Torat Bavel on Niddah 45a:1,48
Sha'arei Torat Bavel on Niddah 45a:2,49
Sha'arei Torat Bavel on Niddah 45a:3,50
Sha'arei Torat Bavel on Niddah 45b:1,52
Sha'arei Torat Bavel on Niddah 45b:2,53
Sha'arei Torat Bavel on Niddah 46b:1,55
Sha'arei Torat Bavel on Niddah 46b:2,56
Sha'arei Torat Bavel on Niddah 48a:1,58
Sha'arei Torat Bavel on Niddah 49b:1,60
Sha'arei Torat Bavel on Niddah 51b:1,62
Sha'arei Torat Bavel on Niddah 54b:1,64
Sha'arei Torat Bavel on Niddah 56a:1,66
Sha'arei Torat Bavel on Niddah 57a:1,68
Sha'arei Torat Bavel on Niddah 58b:1,70
Sha'arei Torat Bavel on Niddah 61b:1,72
Sha'arei Torat Bavel on Niddah 63b:1,74
Sha'arei Torat Bavel on Niddah 63b:2,75
Sha'arei Torat Bavel on Niddah 66a:1,77
Sha'arei Torat Bavel on Niddah 66b:1,79
Sha'arei Torat Bavel on Niddah 66b:2,80
Sha'arei Torat Bavel on Niddah 66b:3,81
Sha'arei Torat Bavel on Niddah 67a:1,83
Sha'arei Torat Bavel on Niddah 72b:1,85
