ref,line_index
Sha'arei Torat Bavel on Chagigah 4b:1,3
Sha'arei Torat Bavel on Chagigah 5a:1,5
Sha'arei Torat Bavel on Chagigah 5a:2,6
Sha'arei Torat Bavel on Chagigah 5b:1,8
Sha'arei Torat Bavel on Chagigah 5b:2,9
Sha'arei Torat Bavel on Chagigah 7a:1,11
Sha'arei Torat Bavel on Chagigah 10a:1,13
Sha'arei Torat Bavel on Chagigah 12b:1,15
Sha'arei Torat Bavel on Chagigah 13b:1,17
Sha'arei Torat Bavel on Chagigah 13b:2,18
Sha'arei Torat Bavel on Chagigah 13b:3,19
Sha'arei Torat Bavel on Chagigah 13b:4,20
Sha'arei Torat Bavel on Chagigah 14a:1,22
Sha'arei Torat Bavel on Chagigah 14b:1,24
Sha'arei Torat Bavel on Chagigah 15a:1,26
Sha'arei Torat Bavel on Chagigah 15a:2,27
Sha'arei Torat Bavel on Chagigah 15b:1,29
Sha'arei Torat Bavel on Chagigah 15b:2,30
Sha'arei Torat Bavel on Chagigah 16a:1,32
Sha'arei Torat Bavel on Chagigah 18a:1,34
Sha'arei Torat Bavel on Chagigah 22a:1,36
Sha'arei Torat Bavel on Chagigah 22b:1,38
Sha'arei Torat Bavel on Chagigah 23b:1,40
Sha'arei Torat Bavel on Chagigah 24b:1,42
Sha'arei Torat Bavel on Chagigah 25a:1,44
Sha'arei Torat Bavel on Chagigah 25a:2,45
Sha'arei Torat Bavel on Chagigah 25b:1,47
Sha'arei Torat Bavel on Chagigah 25b:2,48
Sha'arei Torat Bavel on Chagigah 26a:1,50
Sha'arei Torat Bavel on Chagigah 26a:2,51
Sha'arei Torat Bavel on Chagigah 26b:1,53
