ref,line_index
Sha'arei Torat Bavel on Yoma 2a:1,3
Sha'arei Torat Bavel on Yoma 6b:1,5
Sha'arei Torat Bavel on Yoma 8b:1,7
Sha'arei Torat Bavel on Yoma 9b:1,9
Sha'arei Torat Bavel on Yoma 9b:2,10
Sha'arei Torat Bavel on Yoma 10a:1,12
Sha'arei Torat Bavel on Yoma 11a:1,14
Sha'arei Torat Bavel on Yoma 11b:1,16
Sha'arei Torat Bavel on Yoma 12a:1,18
Sha'arei Torat Bavel on Yoma 12b:1,20
Sha'arei Torat Bavel on Yoma 12b:2,21
Sha'arei Torat Bavel on Yoma 14a:1,23
Sha'arei Torat Bavel on Yoma 15a:1,25
Sha'arei Torat Bavel on Yoma 15b:1,27
Sha'arei Torat Bavel on Yoma 19a:1,29
Sha'arei Torat Bavel on Yoma 19a:2,30
Sha'arei Torat Bavel on Yoma 21a:1,32
Sha'arei Torat Bavel on Yoma 21b:1,34
Sha'arei Torat Bavel on Yoma 23a:1,36
Sha'arei Torat Bavel on Yoma 24a:1,38
Sha'arei Torat Bavel on Yoma 24b:1,40
Sha'arei Torat Bavel on Yoma 26b:1,42
Sha'arei Torat Bavel on Yoma 27a:1,44
Sha'arei Torat Bavel on Yoma 27b:1,46
Sha'arei Torat Bavel on Yoma 28b:1,48
Sha'arei Torat Bavel on Yoma 28b:2,49
Sha'arei Torat Bavel on Yoma 30a:1,51
Sha'arei Torat Bavel on Yoma 33b:1,53
Sha'arei Torat Bavel on Yoma 33b:2,54
Sha'arei Torat Bavel on Yoma 35b:1,56
Sha'arei Torat Bavel on Yoma 35b:2,57
Sha'arei Torat Bavel on Yoma 35b:3,58
Sha'arei Torat Bavel on Yoma 36a:1,60
Sha'arei Torat Bavel on Yoma 36b:1,62
Sha'arei Torat Bavel on Yoma 37a:1,64
Sha'arei Torat Bavel on Yoma 37a:2,65
Sha'arei Torat Bavel on Yoma 39a:1,67
Sha'arei Torat Bavel on Yoma 42a:1,69
Sha'arei Torat Bavel on Yoma 43b:1,71
Sha'arei Torat Bavel on Yoma 47a:1,73
Sha'arei Torat Bavel on Yoma 47a:2,74
Sha'arei Torat Bavel on Yoma 47a:3,75
Sha'arei Torat Bavel on Yoma 49a:1,77
Sha'arei Torat Bavel on Yoma 49a:2,78
Sha'arei Torat Bavel on Yoma 52b:1,80
Sha'arei Torat Bavel on Yoma 52b:2,81
Sha'arei Torat Bavel on Yoma 52b:3,82
Sha'arei Torat Bavel on Yoma 52b:4,83
Sha'arei Torat Bavel on Yoma 53b:1,85
Sha'arei Torat Bavel on Yoma 54b:1,87
Sha'arei Torat Bavel on Yoma 54b:2,88
Sha'arei Torat Bavel on Yoma 54b:3,89
Sha'arei Torat Bavel on Yoma 54b:4,90
Sha'arei Torat Bavel on Yoma 61a:1,92
Sha'arei Torat Bavel on Yoma 62b:1,94
Sha'arei Torat Bavel on Yoma 66a:1,96
Sha'arei Torat Bavel on Yoma 66b:1,98
Sha'arei Torat Bavel on Yoma 66b:2,99
Sha'arei Torat Bavel on Yoma 66b:3,100
Sha'arei Torat Bavel on Yoma 67a:1,102
Sha'arei Torat Bavel on Yoma 67b:1,104
Sha'arei Torat Bavel on Yoma 68b:1,106
Sha'arei Torat Bavel on Yoma 70b:1,108
Sha'arei Torat Bavel on Yoma 71a:1,110
Sha'arei Torat Bavel on Yoma 72b:1,112
Sha'arei Torat Bavel on Yoma 74a:1,114
Sha'arei Torat Bavel on Yoma 74b:1,116
Sha'arei Torat Bavel on Yoma 75b:1,118
Sha'arei Torat Bavel on Yoma 76a:1,120
Sha'arei Torat Bavel on Yoma 76a:2,121
Sha'arei Torat Bavel on Yoma 78a:1,123
Sha'arei Torat Bavel on Yoma 79a:1,125
Sha'arei Torat Bavel on Yoma 80a:1,127
Sha'arei Torat Bavel on Yoma 81a:1,129
Sha'arei Torat Bavel on Yoma 81a:2,130
Sha'arei Torat Bavel on Yoma 81a:3,131
Sha'arei Torat Bavel on Yoma 81a:4,132
Sha'arei Torat Bavel on Yoma 82a:1,134
Sha'arei Torat Bavel on Yoma 83b:1,136
Sha'arei Torat Bavel on Yoma 84a:1,138
Sha'arei Torat Bavel on Yoma 84a:2,139
Sha'arei Torat Bavel on Yoma 84a:3,140
Sha'arei Torat Bavel on Yoma 84a:4,141
Sha'arei Torat Bavel on Yoma 86a:1,143
Sha'arei Torat Bavel on Yoma 86b:1,145
Sha'arei Torat Bavel on Yoma 88a:1,147
