ref,line_index
Sha'arei Torat Bavel on Rosh Hashanah 3b:1,3
Sha'arei Torat Bavel on Rosh Hashanah 8a:1,5
Sha'arei Torat Bavel on Rosh Hashanah 8a:2,6
Sha'arei Torat Bavel on Rosh Hashanah 8b:1,8
Sha'arei Torat Bavel on Rosh Hashanah 10a:1,10
Sha'arei Torat Bavel on Rosh Hashanah 10a:2,11
Sha'arei Torat Bavel on Rosh Hashanah 10a:3,12
Sha'arei Torat Bavel on Rosh Hashanah 10a:4,13
Sha'arei Torat Bavel on Rosh Hashanah 10a:5,14
Sha'arei Torat Bavel on Rosh Hashanah 10a:6,15
Sha'arei Torat Bavel on Rosh Hashanah 10a:7,16
Sha'arei Torat Bavel on Rosh Hashanah 10a:8,17
Sha'arei Torat Bavel on Rosh Hashanah 12b:1,19
Sha'arei Torat Bavel on Rosh Hashanah 12b:2,20
Sha'arei Torat Bavel on Rosh Hashanah 13b:1,22
Sha'arei Torat Bavel on Rosh Hashanah 16b:1,24
Sha'arei Torat Bavel on Rosh Hashanah 17a:1,26
Sha'arei Torat Bavel on Rosh Hashanah 17b:1,28
Sha'arei Torat Bavel on Rosh Hashanah 17b:2,29
Sha'arei Torat Bavel on Rosh Hashanah 17b:3,30
Sha'arei Torat Bavel on Rosh Hashanah 17b:4,31
Sha'arei Torat Bavel on Rosh Hashanah 18a:1,33
Sha'arei Torat Bavel on Rosh Hashanah 19a:1,35
Sha'arei Torat Bavel on Rosh Hashanah 21a:1,37
Sha'arei Torat Bavel on Rosh Hashanah 21b:1,39
Sha'arei Torat Bavel on Rosh Hashanah 21b:2,40
Sha'arei Torat Bavel on Rosh Hashanah 22b:1,42
Sha'arei Torat Bavel on Rosh Hashanah 22b:2,43
Sha'arei Torat Bavel on Rosh Hashanah 23b:1,45
Sha'arei Torat Bavel on Rosh Hashanah 25a:1,47
Sha'arei Torat Bavel on Rosh Hashanah 27a:1,49
Sha'arei Torat Bavel on Rosh Hashanah 29b:1,51
Sha'arei Torat Bavel on Rosh Hashanah 29b:2,52
Sha'arei Torat Bavel on Rosh Hashanah 29b:3,53
Sha'arei Torat Bavel on Rosh Hashanah 29b:4,54
Sha'arei Torat Bavel on Rosh Hashanah 29b:5,55
Sha'arei Torat Bavel on Rosh Hashanah 30a:1,57
Sha'arei Torat Bavel on Rosh Hashanah 30b:1,59
Sha'arei Torat Bavel on Rosh Hashanah 31a:1,61
Sha'arei Torat Bavel on Rosh Hashanah 31b:1,63
Sha'arei Torat Bavel on Rosh Hashanah 32b:1,65
Sha'arei Torat Bavel on Rosh Hashanah 33b:1,67
Sha'arei Torat Bavel on Rosh Hashanah 34a:1,69
Sha'arei Torat Bavel on Rosh Hashanah 35a:1,71
