ref,line_index
Sha'arei Torat Bavel on Shabbat 6b:1,3
Sha'arei Torat Bavel on Shabbat 6b:2,4
Sha'arei Torat Bavel on Shabbat 12a:1,6
Sha'arei Torat Bavel on Shabbat 12a:2,7
Sha'arei Torat Bavel on Shabbat 14a:1,9
Sha'arei Torat Bavel on Shabbat 19a:1,11
Sha'arei Torat Bavel on Shabbat 20b:1,13
Sha'arei Torat Bavel on Shabbat 22a:1,15
Sha'arei Torat Bavel on Shabbat 23b:1,17
Sha'arei Torat Bavel on Shabbat 25b:1,19
Sha'arei Torat Bavel on Shabbat 26a:1,21
Sha'arei Torat Bavel on Shabbat 33a:1,23
Sha'arei Torat Bavel on Shabbat 35a:1,25
Sha'arei Torat Bavel on Shabbat 36a:1,27
Sha'arei Torat Bavel on Shabbat 37b:1,29
Sha'arei Torat Bavel on Shabbat 38a:1,31
Sha'arei Torat Bavel on Shabbat 40b:1,33
Sha'arei Torat Bavel on Shabbat 41a:1,35
Sha'arei Torat Bavel on Shabbat 49a:1,37
Sha'arei Torat Bavel on Shabbat 49a:2,38
Sha'arei Torat Bavel on Shabbat 49a:3,39
Sha'arei Torat Bavel on Shabbat 50a:1,41
Sha'arei Torat Bavel on Shabbat 51a:1,43
Sha'arei Torat Bavel on Shabbat 51a:2,44
Sha'arei Torat Bavel on Shabbat 63b:1,46
Sha'arei Torat Bavel on Shabbat 63b:2,47
Sha'arei Torat Bavel on Shabbat 67b:1,49
Sha'arei Torat Bavel on Shabbat 74b:1,51
Sha'arei Torat Bavel on Shabbat 74b:2,52
Sha'arei Torat Bavel on Shabbat 79a:1,54
Sha'arei Torat Bavel on Shabbat 79b:1,56
Sha'arei Torat Bavel on Shabbat 89a:1,58
Sha'arei Torat Bavel on Shabbat 89b:1,60
Sha'arei Torat Bavel on Shabbat 90b:1,62
Sha'arei Torat Bavel on Shabbat 93a:1,64
Sha'arei Torat Bavel on Shabbat 95b:1,66
Sha'arei Torat Bavel on Shabbat 97b:1,68
Sha'arei Torat Bavel on Shabbat 98a:1,70
Sha'arei Torat Bavel on Shabbat 100a:1,72
Sha'arei Torat Bavel on Shabbat 105a:1,74
Sha'arei Torat Bavel on Shabbat 106a:1,76
Sha'arei Torat Bavel on Shabbat 106b:1,78
Sha'arei Torat Bavel on Shabbat 106b:2,79
Sha'arei Torat Bavel on Shabbat 107b:1,81
Sha'arei Torat Bavel on Shabbat 109a:1,83
Sha'arei Torat Bavel on Shabbat 109b:1,85
Sha'arei Torat Bavel on Shabbat 110b:1,87
Sha'arei Torat Bavel on Shabbat 110b:2,88
Sha'arei Torat Bavel on Shabbat 111a:1,90
Sha'arei Torat Bavel on Shabbat 114a:1,92
Sha'arei Torat Bavel on Shabbat 114b:1,94
Sha'arei Torat Bavel on Shabbat 117b:1,96
Sha'arei Torat Bavel on Shabbat 119b:1,98
Sha'arei Torat Bavel on Shabbat 120b:1,100
Sha'arei Torat Bavel on Shabbat 129a:1,102
Sha'arei Torat Bavel on Shabbat 129a:2,103
Sha'arei Torat Bavel on Shabbat 134b:1,105
Sha'arei Torat Bavel on Shabbat 142a:1,107
Sha'arei Torat Bavel on Shabbat 143a:1,109
Sha'arei Torat Bavel on Shabbat 148b:1,111
Sha'arei Torat Bavel on Shabbat 149a:1,113
Sha'arei Torat Bavel on Shabbat 149b:1,115
Sha'arei Torat Bavel on Shabbat 150b:1,117
Sha'arei Torat Bavel on Shabbat 151b:1,119
