ref,line_index
Sha'arei Torat Bavel on Ketubot 5a:1,3
Sha'arei Torat Bavel on Ketubot 5b:1,5
Sha'arei Torat Bavel on Ketubot 7a:1,7
Sha'arei Torat Bavel on Ketubot 8a:1,9
Sha'arei Torat Bavel on Ketubot 9a:1,11
Sha'arei Torat Bavel on Ketubot 10a:1,13
Sha'arei Torat Bavel on Ketubot 10b:1,15
Sha'arei Torat Bavel on Ketubot 17a:1,17
Sha'arei Torat Bavel on Ketubot 21a:1,19
Sha'arei Torat Bavel on Ketubot 23a:1,21
Sha'arei Torat Bavel on Ketubot 23a:2,22
Sha'arei Torat Bavel on Ketubot 28b:1,24
Sha'arei Torat Bavel on Ketubot 29a:1,26
Sha'arei Torat Bavel on Ketubot 29a:2,27
Sha'arei Torat Bavel on Ketubot 30a:1,29
Sha'arei Torat Bavel on Ketubot 33b:1,31
Sha'arei Torat Bavel on Ketubot 33b:2,32
Sha'arei Torat Bavel on Ketubot 39b:1,34
Sha'arei Torat Bavel on Ketubot 49b:1,36
Sha'arei Torat Bavel on Ketubot 49b:2,37
Sha'arei Torat Bavel on Ketubot 50a:1,39
Sha'arei Torat Bavel on Ketubot 50b:1,41
Sha'arei Torat Bavel on Ketubot 51a:1,43
Sha'arei Torat Bavel on Ketubot 51b:1,45
Sha'arei Torat Bavel on Ketubot 57a:1,47
Sha'arei Torat Bavel on Ketubot 60b:1,49
Sha'arei Torat Bavel on Ketubot 61b:1,51
Sha'arei Torat Bavel on Ketubot 61b:2,52
Sha'arei Torat Bavel on Ketubot 73b:1,54
Sha'arei Torat Bavel on Ketubot 73b:2,55
Sha'arei Torat Bavel on Ketubot 79b:1,57
Sha'arei Torat Bavel on Ketubot 83a:1,59
Sha'arei Torat Bavel on Ketubot 84b:1,61
Sha'arei Torat Bavel on Ketubot 98a:1,63
Sha'arei Torat Bavel on Ketubot 100b:1,65
Sha'arei Torat Bavel on Ketubot 103b:1,67
Sha'arei Torat Bavel on Ketubot 103b:2,68
Sha'arei Torat Bavel on Ketubot 103b:3,69
Sha'arei Torat Bavel on Ketubot 103b:4,70
Sha'arei Torat Bavel on Ketubot 104a:1,72
Sha'arei Torat Bavel on Ketubot 107b:1,74
Sha'arei Torat Bavel on Ketubot 109b:1,76
Sha'arei Torat Bavel on Ketubot 110b:1,78
Sha'arei Torat Bavel on Ketubot 111a:1,80
Sha'arei Torat Bavel on Ketubot 111a:2,81
Sha'arei Torat Bavel on Ketubot 111a:3,82
Sha'arei Torat Bavel on Ketubot 112a:1,84
Sha'arei Torat Bavel on Ketubot 112a:2,85
Sha'arei Torat Bavel on Ketubot 112a:3,86
