ref,line_index
Sha'arei Torat Bavel on Nedarim 5b:1,3
Sha'arei Torat Bavel on Nedarim 7a:1,5
Sha'arei Torat Bavel on Nedarim 7b:1,7
Sha'arei Torat Bavel on Nedarim 8a:1,9
Sha'arei Torat Bavel on Nedarim 10a:1,11
Sha'arei Torat Bavel on Nedarim 18a:1,13
Sha'arei Torat Bavel on Nedarim 20b:1,15
Sha'arei Torat Bavel on Nedarim 30b:1,17
Sha'arei Torat Bavel on Nedarim 32b:1,19
Sha'arei Torat Bavel on Nedarim 35b:1,21
Sha'arei Torat Bavel on Nedarim 35b:2,22
Sha'arei Torat Bavel on Nedarim 36b:1,24
Sha'arei Torat Bavel on Nedarim 38a:1,26
Sha'arei Torat Bavel on Nedarim 41a:1,28
Sha'arei Torat Bavel on Nedarim 48a:1,30
Sha'arei Torat Bavel on Nedarim 50b:1,32
Sha'arei Torat Bavel on Nedarim 50b:2,33
Sha'arei Torat Bavel on Nedarim 60b:1,35
Sha'arei Torat Bavel on Nedarim 62b:1,37
Sha'arei Torat Bavel on Nedarim 70a:1,39
Sha'arei Torat Bavel on Nedarim 85a:1,41
