ref,line_index
Sha'arei Torat Bavel on Nazir 4a:1,3
Sha'arei Torat Bavel on Nazir 4a:2,4
Sha'arei Torat Bavel on Nazir 7a:1,6
Sha'arei Torat Bavel on Nazir 9a:1,8
Sha'arei Torat Bavel on Nazir 9a:2,9
Sha'arei Torat Bavel on Nazir 9b:1,11
Sha'arei Torat Bavel on Nazir 14b:1,13
Sha'arei Torat Bavel on Nazir 16a:1,15
Sha'arei Torat Bavel on Nazir 16a:2,16
Sha'arei Torat Bavel on Nazir 18b:1,18
Sha'arei Torat Bavel on Nazir 20a:1,20
Sha'arei Torat Bavel on Nazir 20a:2,21
Sha'arei Torat Bavel on Nazir 20a:3,22
Sha'arei Torat Bavel on Nazir 22a:1,24
Sha'arei Torat Bavel on Nazir 31b:1,26
Sha'arei Torat Bavel on Nazir 32b:1,28
Sha'arei Torat Bavel on Nazir 38a:1,30
Sha'arei Torat Bavel on Nazir 38a:2,31
Sha'arei Torat Bavel on Nazir 39a:1,33
Sha'arei Torat Bavel on Nazir 42b:1,35
Sha'arei Torat Bavel on Nazir 43a:1,37
Sha'arei Torat Bavel on Nazir 44a:1,39
Sha'arei Torat Bavel on Nazir 49b:1,41
Sha'arei Torat Bavel on Nazir 50a:1,43
Sha'arei Torat Bavel on Nazir 50b:1,45
Sha'arei Torat Bavel on Nazir 50b:2,46
Sha'arei Torat Bavel on Nazir 52a:1,48
Sha'arei Torat Bavel on Nazir 52a:2,49
Sha'arei Torat Bavel on Nazir 52a:3,50
Sha'arei Torat Bavel on Nazir 53a:1,52
Sha'arei Torat Bavel on Nazir 53a:2,53
Sha'arei Torat Bavel on Nazir 53b:1,55
Sha'arei Torat Bavel on Nazir 53b:2,56
Sha'arei Torat Bavel on Nazir 55b:1,58
Sha'arei Torat Bavel on Nazir 56a:1,60
Sha'arei Torat Bavel on Nazir 56b:1,62
Sha'arei Torat Bavel on Nazir 61b:1,64
Sha'arei Torat Bavel on Nazir 64a:1,66
Sha'arei Torat Bavel on Nazir 64b:1,68
Sha'arei Torat Bavel on Nazir 65a:1,70
Sha'arei Torat Bavel on Nazir 65a:2,71
Sha'arei Torat Bavel on Nazir 65a:3,72
Sha'arei Torat Bavel on Nazir 65b:1,74
Sha'arei Torat Bavel on Nazir 65b:2,75
Sha'arei Torat Bavel on Nazir 66a:1,77
