ref,line_index
Sha'arei Torat Bavel on Keritot 4b:1,3
Sha'arei Torat Bavel on Keritot 5a:1,5
Sha'arei Torat Bavel on Keritot 5b:1,7
Sha'arei Torat Bavel on Keritot 6a:1,9
Sha'arei Torat Bavel on Keritot 7b:1,11
Sha'arei Torat Bavel on Keritot 7b:2,12
Sha'arei Torat Bavel on Keritot 9b:1,14
Sha'arei Torat Bavel on Keritot 9b:2,15
Sha'arei Torat Bavel on Keritot 10a:1,17
Sha'arei Torat Bavel on Keritot 10a:2,18
Sha'arei Torat Bavel on Keritot 10a:3,19
Sha'arei Torat Bavel on Keritot 10a:4,20
Sha'arei Torat Bavel on Keritot 10a:5,21
Sha'arei Torat Bavel on Keritot 10b:1,23
Sha'arei Torat Bavel on Keritot 11a:1,25
Sha'arei Torat Bavel on Keritot 12b:1,27
Sha'arei Torat Bavel on Keritot 13a:1,29
Sha'arei Torat Bavel on Keritot 13a:2,30
Sha'arei Torat Bavel on Keritot 15b:1,32
Sha'arei Torat Bavel on Keritot 17a:1,34
Sha'arei Torat Bavel on Keritot 19b:1,36
Sha'arei Torat Bavel on Keritot 20a:1,38
Sha'arei Torat Bavel on Keritot 21b:1,40
