ref,line_index
Sha'arei Torat Bavel on Menachot 4b:1,3
Sha'arei Torat Bavel on Menachot 7a:1,5
Sha'arei Torat Bavel on Menachot 8b:1,7
Sha'arei Torat Bavel on Menachot 11a:1,9
Sha'arei Torat Bavel on Menachot 11a:2,10
Sha'arei Torat Bavel on Menachot 11b:1,12
Sha'arei Torat Bavel on Menachot 12a:1,14
Sha'arei Torat Bavel on Menachot 13b:1,16
Sha'arei Torat Bavel on Menachot 16a:1,18
Sha'arei Torat Bavel on Menachot 17a:1,20
Sha'arei Torat Bavel on Menachot 21a:1,22
Sha'arei Torat Bavel on Menachot 21a:2,23
Sha'arei Torat Bavel on Menachot 21b:1,25
Sha'arei Torat Bavel on Menachot 21b:2,26
Sha'arei Torat Bavel on Menachot 23b:1,28
Sha'arei Torat Bavel on Menachot 24b:1,30
Sha'arei Torat Bavel on Menachot 26b:1,32
Sha'arei Torat Bavel on Menachot 28b:1,34
Sha'arei Torat Bavel on Menachot 29a:1,36
Sha'arei Torat Bavel on Menachot 33b:1,38
Sha'arei Torat Bavel on Menachot 37a:1,40
Sha'arei Torat Bavel on Menachot 37a:2,41
Sha'arei Torat Bavel on Menachot 37b:1,43
Sha'arei Torat Bavel on Menachot 38b:1,45
Sha'arei Torat Bavel on Menachot 39a:1,47
Sha'arei Torat Bavel on Menachot 39b:1,49
Sha'arei Torat Bavel on Menachot 40a:1,51
Sha'arei Torat Bavel on Menachot 40a:2,52
Sha'arei Torat Bavel on Menachot 40b:1,54
Sha'arei Torat Bavel on Menachot 43b:1,56
Sha'arei Torat Bavel on Menachot 44a:1,58
Sha'arei Torat Bavel on Menachot 44a:2,59
Sha'arei Torat Bavel on Menachot 45a:1,61
Sha'arei Torat Bavel on Menachot 45a:2,62
Sha'arei Torat Bavel on Menachot 45b:1,64
Sha'arei Torat Bavel on Menachot 46a:1,66
Sha'arei Torat Bavel on Menachot 53b:1,68
Sha'arei Torat Bavel on Menachot 56b:1,70
Sha'arei Torat Bavel on Menachot 57b:1,72
Sha'arei Torat Bavel on Menachot 58b:1,74
Sha'arei Torat Bavel on Menachot 59a:1,76
Sha'arei Torat Bavel on Menachot 59b:1,78
Sha'arei Torat Bavel on Menachot 60b:1,80
Sha'arei Torat Bavel on Menachot 61a:1,82
Sha'arei Torat Bavel on Menachot 61b:1,84
Sha'arei Torat Bavel on Menachot 62b:1,86
Sha'arei Torat Bavel on Menachot 64b:1,88
Sha'arei Torat Bavel on Menachot 64b:2,89
Sha'arei Torat Bavel on Menachot 67a:1,91
Sha'arei Torat Bavel on Menachot 67b:1,93
Sha'arei Torat Bavel on Menachot 70a:1,95
Sha'arei Torat Bavel on Menachot 70a:2,96
Sha'arei Torat Bavel on Menachot 70b:1,98
Sha'arei Torat Bavel on Menachot 71b:1,100
Sha'arei Torat Bavel on Menachot 72a:1,102
Sha'arei Torat Bavel on Menachot 72b:1,104
Sha'arei Torat Bavel on Menachot 72b:2,105
Sha'arei Torat Bavel on Menachot 75b:1,107
Sha'arei Torat Bavel on Menachot 75b:2,108
Sha'arei Torat Bavel on Menachot 76a:1,110
Sha'arei Torat Bavel on Menachot 76a:2,111
Sha'arei Torat Bavel on Menachot 77b:1,113
Sha'arei Torat Bavel on Menachot 79b:1,115
Sha'arei Torat Bavel on Menachot 79b:2,116
Sha'arei Torat Bavel on Menachot 80a:1,118
Sha'arei Torat Bavel on Menachot 81b:1,120
Sha'arei Torat Bavel on Menachot 81b:2,121
Sha'arei Torat Bavel on Menachot 82a:1,123
Sha'arei Torat Bavel on Menachot 85a:1,125
Sha'arei Torat Bavel on Menachot 86b:1,127
Sha'arei Torat Bavel on Menachot 86b:2,128
Sha'arei Torat Bavel on Menachot 88a:1,130
Sha'arei Torat Bavel on Menachot 88b:1,132
Sha'arei Torat Bavel on Menachot 90a:1,134
Sha'arei Torat Bavel on Menachot 91a:1,136
Sha'arei Torat Bavel on Menachot 95a:1,138
Sha'arei Torat Bavel on Menachot 96a:1,140
Sha'arei Torat Bavel on Menachot 96a:2,141
Sha'arei Torat Bavel on Menachot 96b:1,143
Sha'arei Torat Bavel on Menachot 97b:1,145
Sha'arei Torat Bavel on Menachot 98a:1,147
Sha'arei Torat Bavel on Menachot 98b:1,149
Sha'arei Torat Bavel on Menachot 98b:2,150
Sha'arei Torat Bavel on Menachot 98b:3,151
Sha'arei Torat Bavel on Menachot 99a:1,153
Sha'arei Torat Bavel on Menachot 99b:1,155
Sha'arei Torat Bavel on Menachot 99b:2,156
Sha'arei Torat Bavel on Menachot 99b:3,157
Sha'arei Torat Bavel on Menachot 99b:4,158
Sha'arei Torat Bavel on Menachot 102b:1,160
Sha'arei Torat Bavel on Menachot 102b:2,161
Sha'arei Torat Bavel on Menachot 102b:3,162
Sha'arei Torat Bavel on Menachot 103b:1,164
Sha'arei Torat Bavel on Menachot 104b:1,166
Sha'arei Torat Bavel on Menachot 105b:1,168
Sha'arei Torat Bavel on Menachot 105b:2,169
Sha'arei Torat Bavel on Menachot 108a:1,171
Sha'arei Torat Bavel on Menachot 109b:1,173
Sha'arei Torat Bavel on Menachot 109b:2,174
Sha'arei Torat Bavel on Menachot 109b:3,175
