ref,line_index
Sha'arei Torat Bavel on Arakhin 2a:1,3
Sha'arei Torat Bavel on Arakhin 6a:1,5
Sha'arei Torat Bavel on Arakhin 9b:1,7
Sha'arei Torat Bavel on Arakhin 10b:1,9
Sha'arei Torat Bavel on Arakhin 12b:1,11
Sha'arei Torat Bavel on Arakhin 13a:1,13
Sha'arei Torat Bavel on Arakhin 13a:2,14
Sha'arei Torat Bavel on Arakhin 13b:1,16
Sha'arei Torat Bavel on Arakhin 15a:1,18
Sha'arei Torat Bavel on Arakhin 15b:1,20
Sha'arei Torat Bavel on Arakhin 15b:2,21
Sha'arei Torat Bavel on Arakhin 15b:3,22
Sha'arei Torat Bavel on Arakhin 16a:1,24
Sha'arei Torat Bavel on Arakhin 16b:1,26
Sha'arei Torat Bavel on Arakhin 17a:1,28
Sha'arei Torat Bavel on Arakhin 18b:1,30
Sha'arei Torat Bavel on Arakhin 21a:1,32
Sha'arei Torat Bavel on Arakhin 21a:2,33
Sha'arei Torat Bavel on Arakhin 26b:1,35
Sha'arei Torat Bavel on Arakhin 27a:1,37
Sha'arei Torat Bavel on Arakhin 27b:1,39
Sha'arei Torat Bavel on Arakhin 27b:2,40
Sha'arei Torat Bavel on Arakhin 27b:3,41
Sha'arei Torat Bavel on Arakhin 32a:1,43
Sha'arei Torat Bavel on Arakhin 33a:1,45
Sha'arei Torat Bavel on Arakhin 34a:1,47
