ref,line_index
Sha'arei Torat Bavel on Temurah 2a:1,3
Sha'arei Torat Bavel on Temurah 2b:1,5
Sha'arei Torat Bavel on Temurah 5b:1,7
Sha'arei Torat Bavel on Temurah 9a:1,9
Sha'arei Torat Bavel on Temurah 9a:2,10
Sha'arei Torat Bavel on Temurah 10a:1,12
Sha'arei Torat Bavel on Temurah 12a:1,14
Sha'arei Torat Bavel on Temurah 12a:2,15
Sha'arei Torat Bavel on Temurah 12a:3,16
Sha'arei Torat Bavel on Temurah 12a:4,17
Sha'arei Torat Bavel on Temurah 12a:5,18
Sha'arei Torat Bavel on Temurah 12a:6,19
Sha'arei Torat Bavel on Temurah 14a:1,21
Sha'arei Torat Bavel on Temurah 14b:1,23
Sha'arei Torat Bavel on Temurah 17a:1,25
Sha'arei Torat Bavel on Temurah 19a:1,27
Sha'arei Torat Bavel on Temurah 22b:1,29
Sha'arei Torat Bavel on Temurah 24a:1,31
Sha'arei Torat Bavel on Temurah 27b:1,33
Sha'arei Torat Bavel on Temurah 28a:1,35
Sha'arei Torat Bavel on Temurah 28b:1,37
Sha'arei Torat Bavel on Temurah 28b:2,38
Sha'arei Torat Bavel on Temurah 28b:3,39
Sha'arei Torat Bavel on Temurah 28b:4,40
Sha'arei Torat Bavel on Temurah 28b:5,41
Sha'arei Torat Bavel on Temurah 28b:6,42
Sha'arei Torat Bavel on Temurah 28b:7,43
Sha'arei Torat Bavel on Temurah 28b:8,44
Sha'arei Torat Bavel on Temurah 28b:9,45
Sha'arei Torat Bavel on Temurah 28b:10,46
Sha'arei Torat Bavel on Temurah 28b:11,47
Sha'arei Torat Bavel on Temurah 28b:12,48
Sha'arei Torat Bavel on Temurah 28b:13,49
Sha'arei Torat Bavel on Temurah 28b:14,50
Sha'arei Torat Bavel on Temurah 28b:15,51
Sha'arei Torat Bavel on Temurah 28b:16,52
Sha'arei Torat Bavel on Temurah 28b:17,53
Sha'arei Torat Bavel on Temurah 28b:18,54
Sha'arei Torat Bavel on Temurah 28b:19,55
Sha'arei Torat Bavel on Temurah 28b:20,56
Sha'arei Torat Bavel on Temurah 28b:21,57
Sha'arei Torat Bavel on Temurah 28b:22,58
Sha'arei Torat Bavel on Temurah 28b:23,59
Sha'arei Torat Bavel on Temurah 28b:24,60
Sha'arei Torat Bavel on Temurah 28b:25,61
Sha'arei Torat Bavel on Temurah 28b:26,62
Sha'arei Torat Bavel on Temurah 28b:27,63
Sha'arei Torat Bavel on Temurah 28b:28,64
Sha'arei Torat Bavel on Temurah 28b:29,65
Sha'arei Torat Bavel on Temurah 28b:30,66
Sha'arei Torat Bavel on Temurah 28b:31,67
Sha'arei Torat Bavel on Temurah 28b:32,68
Sha'arei Torat Bavel on Temurah 32a:1,70
Sha'arei Torat Bavel on Temurah 33a:1,72
Sha'arei Torat Bavel on Temurah 33b:1,74
Sha'arei Torat Bavel on Temurah 33b:2,75
Sha'arei Torat Bavel on Temurah 33b:3,76
