ref,line_index
Sha'arei Torat Bavel on Tamid 25b:1,3
Sha'arei Torat Bavel on Tamid 26a:1,5
Sha'arei Torat Bavel on Tamid 27a:1,7
Sha'arei Torat Bavel on Tamid 27a:2,8
Sha'arei Torat Bavel on Tamid 28b:1,10
Sha'arei Torat Bavel on Tamid 29a:1,12
Sha'arei Torat Bavel on Tamid 30a:1,14
Sha'arei Torat Bavel on Tamid 30a:2,15
Sha'arei Torat Bavel on Tamid 30a:3,16
Sha'arei Torat Bavel on Tamid 30a:4,17
Sha'arei Torat Bavel on Tamid 31a:1,19
Sha'arei Torat Bavel on Tamid 31a:2,20
Sha'arei Torat Bavel on Tamid 31a:3,21
Sha'arei Torat Bavel on Tamid 31b:1,23
Sha'arei Torat Bavel on Tamid 31b:2,24
Sha'arei Torat Bavel on Tamid 31b:3,25
Sha'arei Torat Bavel on Tamid 32a:1,27
Sha'arei Torat Bavel on Tamid 32b:1,29
