ref,line_index
"Avot DeRabbi Natan, Recension B 1:1",3
"Avot DeRabbi Natan, Recension B 1:2",4
"Avot DeRabbi Natan, Recension B 1:3",5
"Avot DeRabbi Natan, Recension B 1:4",6
"Avot DeRabbi Natan, Recension B 1:5",7
"Avot DeRabbi Natan, Recension B 1:6",8
"Avot DeRabbi Natan, Recension B 1:7",9
"Avot DeRabbi Natan, Recension B 1:8",10
"Avot DeRabbi Natan, Recension B 1:9",11
"Avot DeRabbi Natan, Recension B 1:10",12
"Avot DeRabbi Natan, Recension B 1:11",13
"Avot DeRabbi Natan, Recension B 1:12",14
"Avot DeRabbi Natan, Recension B 1:13",15
"Avot DeRabbi Natan, Recension B 1:14",16
"Avot DeRabbi Natan, Recension B 1:15",17
"Avot DeRabbi Natan, Recension B 1:16",18
"Avot DeRabbi Natan, Recension B 1:17",19
"Avot DeRabbi Natan, Recension B 1:18",20
"Avot DeRabbi Natan, Recension B 2:1",22
"Avot DeRabbi Natan, Recension B 2:2",23
"Avot DeRabbi Natan, Recension B 2:3",24
"Avot DeRabbi Natan, Recension B 2:4",25
"Avot DeRabbi Natan, Recension B 2:5",26
"Avot DeRabbi Natan, Recension B 2:6",27
"Avot DeRabbi Natan, Recension B 3:1",29
"Avot DeRabbi Natan, Recension B 3:2",30
"Avot DeRabbi Natan, Recension B 3:3",31
"Avot DeRabbi Natan, Recension B 3:4",32
"Avot DeRabbi Natan, Recension B 3:5",33
"Avot DeRabbi Natan, Recension B 3:6",34
"Avot DeRabbi Natan, Recension B 3:7",35
"Avot DeRabbi Natan, Recension B 3:8",36
"Avot DeRabbi Natan, Recension B 3:9",37
"Avot DeRabbi Natan, Recension B 4:1",39
"Avot DeRabbi Natan, Recension B 4:2",40
"Avot DeRabbi Natan, Recension B 4:3",41
"Avot DeRabbi Natan, Recension B 5:1",43
"Avot DeRabbi Natan, Recension B 5:2",44
"Avot DeRabbi Natan, Recension B 5:3",45
"Avot DeRabbi Natan, Recension B 5:4",46
"Avot DeRabbi Natan, Recension B 6:1",48
"Avot DeRabbi Natan, Recension B 7:1",50
"Avot DeRabbi Natan, Recension B 7:2",51
"Avot DeRabbi Natan, Recension B 7:3",52
"Avot DeRabbi Natan, Recension B 7:4",53
"Avot DeRabbi Natan, Recension B 7:5",54
"Avot DeRabbi Natan, Recension B 8:1",56
"Avot DeRabbi Natan, Recension B 8:2",57
"Avot DeRabbi Natan, Recension B 8:3",58
"Avot DeRabbi Natan, Recension B 8:4",59
"Avot DeRabbi Natan, Recension B 8:5",60
"Avot DeRabbi Natan, Recension B 8:6",61
"Avot DeRabbi Natan, Recension B 8:7",62
"Avot DeRabbi Natan, Recension B 8:8",63
"Avot DeRabbi Natan, Recension B 8:9",64
"Avot DeRabbi Natan, Recension B 8:10",65
"Avot DeRabbi Natan, Recension B 9:1",67
"Avot DeRabbi Natan, Recension B 9:2",68
"Avot DeRabbi Natan, Recension B 9:3",69
"Avot DeRabbi Natan, Recension B 9:4",70
"Avot DeRabbi Natan, Recension B 9:5",71
"Avot DeRabbi Natan, Recension B 9:6",72
"Avot DeRabbi Natan, Recension B 9:7",73
"Avot DeRabbi Natan, Recension B 9:8",74
"Avot DeRabbi Natan, Recension B 9:9",75
"Avot DeRabbi Natan, Recension B 9:10",76
"Avot DeRabbi Natan, Recension B 9:11",77
"Avot DeRabbi Natan, Recension B 9:12",78
"Avot DeRabbi Natan, Recension B 9:13",79
"Avot DeRabbi Natan, Recension B 10:1",81
"Avot DeRabbi Natan, Recension B 10:2",82
"Avot DeRabbi Natan, Recension B 10:3",83
"Avot DeRabbi Natan, Recension B 10:4",84
"Avot DeRabbi Natan, Recension B 11:1",86
"Avot DeRabbi Natan, Recension B 11:2",87
"Avot DeRabbi Natan, Recension B 11:3",88
"Avot DeRabbi Natan, Recension B 11:4",89
"Avot DeRabbi Natan, Recension B 11:5",90
"Avot DeRabbi Natan, Recension B 11:6",91
"Avot DeRabbi Natan, Recension B 11:7",92
"Avot DeRabbi Natan, Recension B 11:8",93
"Avot DeRabbi Natan, Recension B 11:9",94
"Avot DeRabbi Natan, Recension B 11:10",95
"Avot DeRabbi Natan, Recension B 11:11",96
"Avot DeRabbi Natan, Recension B 11:12",97
"Avot DeRabbi Natan, Recension B 12:1",99
"Avot DeRabbi Natan, Recension B 12:2",100
"Avot DeRabbi Natan, Recension B 12:3",101
"Avot DeRabbi Natan, Recension B 12:4",102
"Avot DeRabbi Natan, Recension B 12:5",103
"Avot DeRabbi Natan, Recension B 12:6",104
"Avot DeRabbi Natan, Recension B 12:7",105
"Avot DeRabbi Natan, Recension B 13:1",107
