ref,line_index
Tosafot HaRosh on Kiddushin 2a:1,3
Tosafot HaRosh on Kiddushin 2a:2,4
Tosafot HaRosh on Kiddushin 2a:3,5
Tosafot HaRosh on Kiddushin 2a:4,6
Tosafot HaRosh on Kiddushin 2a:5,7
Tosafot HaRosh on Kiddushin 2a:6,8
Tosafot HaRosh on Kiddushin 2a:7,9
Tosafot HaRosh on Kiddushin 2a:8,10
Tosafot HaRosh on Kiddushin 2a:9,11
Tosafot HaRosh on Kiddushin 2b:1,13
Tosafot HaRosh on Kiddushin 2b:2,14
Tosafot HaRosh on Kiddushin 2b:3,15
Tosafot HaRosh on Kiddushin 2b:4,16
Tosafot HaRosh on Kiddushin 2b:5,17
Tosafot HaRosh on Kiddushin 2b:6,18
Tosafot HaRosh on Kiddushin 2b:7,19
Tosafot HaRosh on Kiddushin 2b:8,20
Tosafot HaRosh on Kiddushin 2b:9,21
Tosafot HaRosh on Kiddushin 2b:10,22
Tosafot HaRosh on Kiddushin 2b:11,23
Tosafot HaRosh on Kiddushin 2b:12,24
Tosafot HaRosh on Kiddushin 3a:1,26
Tosafot HaRosh on Kiddushin 3a:2,27
Tosafot HaRosh on Kiddushin 3b:1,29
Tosafot HaRosh on Kiddushin 3b:2,30
Tosafot HaRosh on Kiddushin 3b:3,31
Tosafot HaRosh on Kiddushin 3b:4,32
Tosafot HaRosh on Kiddushin 3b:5,33
Tosafot HaRosh on Kiddushin 3b:6,34
Tosafot HaRosh on Kiddushin 3b:7,35
Tosafot HaRosh on Kiddushin 3b:8,36
Tosafot HaRosh on Kiddushin 3b:9,37
Tosafot HaRosh on Kiddushin 4a:1,39
Tosafot HaRosh on Kiddushin 4a:2,40
Tosafot HaRosh on Kiddushin 4a:3,41
Tosafot HaRosh on Kiddushin 4a:4,42
Tosafot HaRosh on Kiddushin 4a:5,43
Tosafot HaRosh on Kiddushin 4a:6,44
Tosafot HaRosh on Kiddushin 4a:7,45
Tosafot HaRosh on Kiddushin 4a:8,46
Tosafot HaRosh on Kiddushin 4a:9,47
Tosafot HaRosh on Kiddushin 4a:10,48
Tosafot HaRosh on Kiddushin 4b:1,50
Tosafot HaRosh on Kiddushin 4b:2,51
Tosafot HaRosh on Kiddushin 4b:3,52
Tosafot HaRosh on Kiddushin 4b:4,53
Tosafot HaRosh on Kiddushin 4b:5,54
Tosafot HaRosh on Kiddushin 4b:6,55
Tosafot HaRosh on Kiddushin 5a:1,57
Tosafot HaRosh on Kiddushin 5a:2,58
Tosafot HaRosh on Kiddushin 5a:3,59
