ref,line_index
Beur HaGra on Jerusalem Talmud Kilayim 1:1:3:1,5
Beur HaGra on Jerusalem Talmud Kilayim 1:1:3:2,6
Beur HaGra on Jerusalem Talmud Kilayim 1:1:3:3,7
Beur HaGra on Jerusalem Talmud Kilayim 1:1:3:4,8
Beur HaGra on Jerusalem Talmud Kilayim 1:1:3:5,9
Beur HaGra on Jerusalem Talmud Kilayim 1:1:3:6,10
Beur HaGra on Jerusalem Talmud Kilayim 1:1:3:7,11
Beur HaGra on Jerusalem Talmud Kilayim 1:1:3:8,12
Beur HaGra on Jerusalem Talmud Kilayim 1:1:3:9,13
Beur HaGra on Jerusalem Talmud Kilayim 1:1:3:10,14
Beur HaGra on Jerusalem Talmud Kilayim 1:1:4:1,16
Beur HaGra on Jerusalem Talmud Kilayim 1:1:4:2,17
Beur HaGra on Jerusalem Talmud Kilayim 1:1:5:1,19
Beur HaGra on Jerusalem Talmud Kilayim 1:1:5:2,20
Beur HaGra on Jerusalem Talmud Kilayim 1:1:5:3,21
Beur HaGra on Jerusalem Talmud Kilayim 1:1:5:4,22
Beur HaGra on Jerusalem Talmud Kilayim 1:1:8:1,24
Beur HaGra on Jerusalem Talmud Kilayim 1:2:2:1,27
Beur HaGra on Jerusalem Talmud Kilayim 1:2:2:2,28
Beur HaGra on Jerusalem Talmud Kilayim 1:2:2:3,29
Beur HaGra on Jerusalem Talmud Kilayim 1:2:3:1,31
Beur HaGra on Jerusalem Talmud Kilayim 1:2:3:2,32
Beur HaGra on Jerusalem Talmud Kilayim 1:2:3:3,33
Beur HaGra on Jerusalem Talmud Kilayim 1:2:4:1,35
Beur HaGra on Jerusalem Talmud Kilayim 1:2:4:2,36
Beur HaGra on Jerusalem Talmud Kilayim 1:2:4:3,37
Beur HaGra on Jerusalem Talmud Kilayim 1:2:4:4,38
Beur HaGra on Jerusalem Talmud Kilayim 1:2:5:1,40
Beur HaGra on Jerusalem Talmud Kilayim 1:3:2:1,43
Beur HaGra on Jerusalem Talmud Kilayim 1:3:2:2,44
Beur HaGra on Jerusalem Talmud Kilayim 1:4:3:1,47
Beur HaGra on Jerusalem Talmud Kilayim 1:4:3:2,48
Beur HaGra on Jerusalem Talmud Kilayim 1:4:6:1,50
Beur HaGra on Jerusalem Talmud Kilayim 1:4:6:2,51
Beur HaGra on Jerusalem Talmud Kilayim 1:5:2:1,54
Beur HaGra on Jerusalem Talmud Kilayim 1:5:2:2,55
Beur HaGra on Jerusalem Talmud Kilayim 1:5:2:3,56
Beur HaGra on Jerusalem Talmud Kilayim 1:6:2:1,59
Beur HaGra on Jerusalem Talmud Kilayim 1:6:2:2,60
Beur HaGra on Jerusalem Talmud Kilayim 1:6:2:3,61
Beur HaGra on Jerusalem Talmud Kilayim 1:6:3:1,63
Beur HaGra on Jerusalem Talmud Kilayim 1:6:3:2,64
Beur HaGra on Jerusalem Talmud Kilayim 1:6:3:3,65
Beur HaGra on Jerusalem Talmud Kilayim 1:6:3:4,66
Beur HaGra on Jerusalem Talmud Kilayim 1:6:3:5,67
Beur HaGra on Jerusalem Talmud Kilayim 1:6:4:1,69
Beur HaGra on Jerusalem Talmud Kilayim 1:6:4:2,70
Beur HaGra on Jerusalem Talmud Kilayim 1:6:4:3,71
Beur HaGra on Jerusalem Talmud Kilayim 1:6:4:4,72
Beur HaGra on Jerusalem Talmud Kilayim 1:6:4:5,73
Beur HaGra on Jerusalem Talmud Kilayim 1:7:3:1,76
Beur HaGra on Jerusalem Talmud Kilayim 1:7:3:2,77
Beur HaGra on Jerusalem Talmud Kilayim 1:7:3:3,78
Beur HaGra on Jerusalem Talmud Kilayim 1:7:3:4,79
Beur HaGra on Jerusalem Talmud Kilayim 1:7:4:1,81
Beur HaGra on Jerusalem Talmud Kilayim 1:7:4:2,82
Beur HaGra on Jerusalem Talmud Kilayim 1:7:5:1,84
Beur HaGra on Jerusalem Talmud Kilayim 1:7:5:2,85
Beur HaGra on Jerusalem Talmud Kilayim 1:7:5:3,86
Beur HaGra on Jerusalem Talmud Kilayim 1:7:5:4,87
Beur HaGra on Jerusalem Talmud Kilayim 1:7:5:5,88
Beur HaGra on Jerusalem Talmud Kilayim 1:8:2:1,91
Beur HaGra on Jerusalem Talmud Kilayim 1:8:2:2,92
Beur HaGra on Jerusalem Talmud Kilayim 1:8:2:3,93
Beur HaGra on Jerusalem Talmud Kilayim 1:9:2:1,96
Beur HaGra on Jerusalem Talmud Kilayim 1:9:2:2,97
Beur HaGra on Jerusalem Talmud Kilayim 1:9:2:3,98
Beur HaGra on Jerusalem Talmud Kilayim 1:9:2:4,99
Beur HaGra on Jerusalem Talmud Kilayim 1:9:2:5,100
Beur HaGra on Jerusalem Talmud Kilayim 1:9:2:6,101
Beur HaGra on Jerusalem Talmud Kilayim 1:9:2:7,102
Beur HaGra on Jerusalem Talmud Kilayim 1:9:3:1,104
Beur HaGra on Jerusalem Talmud Kilayim 1:9:3:2,105
Beur HaGra on Jerusalem Talmud Kilayim 1:9:3:3,106
Beur HaGra on Jerusalem Talmud Kilayim 1:9:3:4,107
Beur HaGra on Jerusalem Talmud Kilayim 1:9:3:5,108
Beur HaGra on Jerusalem Talmud Kilayim 1:9:3:6,109
Beur HaGra on Jerusalem Talmud Kilayim 1:9:3:7,110
Beur HaGra on Jerusalem Talmud Kilayim 1:9:3:8,111
Beur HaGra on Jerusalem Talmud Kilayim 1:9:3:9,112
Beur HaGra on Jerusalem Talmud Kilayim 1:9:3:10,113
Beur HaGra on Jerusalem Talmud Kilayim 1:9:4:1,115
Beur HaGra on Jerusalem Talmud Kilayim 1:9:4:2,116
Beur HaGra on Jerusalem Talmud Kilayim 1:9:4:3,117
Beur HaGra on Jerusalem Talmud Kilayim 1:9:4:4,118
Beur HaGra on Jerusalem Talmud Kilayim 1:9:4:5,119
Beur HaGra on Jerusalem Talmud Kilayim 1:9:5:1,121
Beur HaGra on Jerusalem Talmud Kilayim 1:9:5:2,122
Beur HaGra on Jerusalem Talmud Kilayim 1:9:5:3,123
Beur HaGra on Jerusalem Talmud Kilayim 1:9:5:4,124
Beur HaGra on Jerusalem Talmud Kilayim 1:9:5:5,125
Beur HaGra on Jerusalem Talmud Kilayim 1:9:5:6,126
Beur HaGra on Jerusalem Talmud Kilayim 1:9:5:7,127
Beur HaGra on Jerusalem Talmud Kilayim 1:9:5:8,128
Beur HaGra on Jerusalem Talmud Kilayim 1:9:5:9,129
Beur HaGra on Jerusalem Talmud Kilayim 2:1:2:1,133
Beur HaGra on Jerusalem Talmud Kilayim 2:1:2:2,134
Beur HaGra on Jerusalem Talmud Kilayim 2:1:2:3,135
Beur HaGra on Jerusalem Talmud Kilayim 2:1:3:1,137
Beur HaGra on Jerusalem Talmud Kilayim 2:1:4:1,139
Beur HaGra on Jerusalem Talmud Kilayim 2:1:5:1,141
Beur HaGra on Jerusalem Talmud Kilayim 2:1:8:1,143
Beur HaGra on Jerusalem Talmud Kilayim 2:1:8:2,144
Beur HaGra on Jerusalem Talmud Kilayim 2:1:8:3,145
Beur HaGra on Jerusalem Talmud Kilayim 2:1:8:4,146
Beur HaGra on Jerusalem Talmud Kilayim 2:1:8:5,147
Beur HaGra on Jerusalem Talmud Kilayim 2:1:9:1,149
Beur HaGra on Jerusalem Talmud Kilayim 2:1:9:2,150
Beur HaGra on Jerusalem Talmud Kilayim 2:1:9:3,151
Beur HaGra on Jerusalem Talmud Kilayim 2:1:9:4,152
Beur HaGra on Jerusalem Talmud Kilayim 2:1:9:5,153
Beur HaGra on Jerusalem Talmud Kilayim 2:1:9:6,154
Beur HaGra on Jerusalem Talmud Kilayim 2:1:9:7,155
Beur HaGra on Jerusalem Talmud Kilayim 2:1:10:1,157
Beur HaGra on Jerusalem Talmud Kilayim 2:1:11:1,159
Beur HaGra on Jerusalem Talmud Kilayim 2:1:11:2,160
Beur HaGra on Jerusalem Talmud Kilayim 2:1:11:3,161
Beur HaGra on Jerusalem Talmud Kilayim 2:1:11:4,162
Beur HaGra on Jerusalem Talmud Kilayim 2:1:11:5,163
Beur HaGra on Jerusalem Talmud Kilayim 2:2:2:1,166
Beur HaGra on Jerusalem Talmud Kilayim 2:2:2:2,167
Beur HaGra on Jerusalem Talmud Kilayim 2:2:2:3,168
Beur HaGra on Jerusalem Talmud Kilayim 2:2:3:1,170
Beur HaGra on Jerusalem Talmud Kilayim 2:2:3:2,171
Beur HaGra on Jerusalem Talmud Kilayim 2:2:3:3,172
Beur HaGra on Jerusalem Talmud Kilayim 2:2:3:4,173
Beur HaGra on Jerusalem Talmud Kilayim 2:2:3:5,174
Beur HaGra on Jerusalem Talmud Kilayim 2:3:3:1,177
Beur HaGra on Jerusalem Talmud Kilayim 2:3:3:2,178
Beur HaGra on Jerusalem Talmud Kilayim 2:3:3:3,179
Beur HaGra on Jerusalem Talmud Kilayim 2:3:3:4,180
Beur HaGra on Jerusalem Talmud Kilayim 2:3:3:5,181
Beur HaGra on Jerusalem Talmud Kilayim 2:3:3:6,182
Beur HaGra on Jerusalem Talmud Kilayim 2:3:3:7,183
Beur HaGra on Jerusalem Talmud Kilayim 2:3:3:8,184
Beur HaGra on Jerusalem Talmud Kilayim 2:3:4:1,186
Beur HaGra on Jerusalem Talmud Kilayim 2:3:4:2,187
