ref,line_index
Beur HaGra on Jerusalem Talmud Maasrot 1:1:2:1,5
Beur HaGra on Jerusalem Talmud Maasrot 1:1:2:2,6
Beur HaGra on Jerusalem Talmud Maasrot 1:1:3:1,8
Beur HaGra on Jerusalem Talmud Maasrot 1:1:5:1,10
Beur HaGra on Jerusalem Talmud Maasrot 1:1:5:2,11
Beur HaGra on Jerusalem Talmud Maasrot 1:1:5:3,12
Beur HaGra on Jerusalem Talmud Maasrot 1:1:5:4,13
Beur HaGra on Jerusalem Talmud Maasrot 1:1:5:5,14
Beur HaGra on Jerusalem Talmud Maasrot 1:1:5:6,15
Beur HaGra on Jerusalem Talmud Maasrot 1:1:5:7,16
Beur HaGra on Jerusalem Talmud Maasrot 1:1:5:8,17
Beur HaGra on Jerusalem Talmud Maasrot 1:1:5:9,18
Beur HaGra on Jerusalem Talmud Maasrot 1:1:5:10,19
Beur HaGra on Jerusalem Talmud Maasrot 1:1:5:11,20
Beur HaGra on Jerusalem Talmud Maasrot 1:1:5:12,21
Beur HaGra on Jerusalem Talmud Maasrot 1:1:5:13,22
Beur HaGra on Jerusalem Talmud Maasrot 1:1:5:14,23
Beur HaGra on Jerusalem Talmud Maasrot 1:1:5:15,24
Beur HaGra on Jerusalem Talmud Maasrot 1:1:5:16,25
Beur HaGra on Jerusalem Talmud Maasrot 1:1:5:17,26
Beur HaGra on Jerusalem Talmud Maasrot 1:1:5:18,27
Beur HaGra on Jerusalem Talmud Maasrot 1:1:5:19,28
Beur HaGra on Jerusalem Talmud Maasrot 1:1:7:1,30
Beur HaGra on Jerusalem Talmud Maasrot 1:1:8:1,32
Beur HaGra on Jerusalem Talmud Maasrot 1:1:8:2,33
Beur HaGra on Jerusalem Talmud Maasrot 1:1:8:3,34
Beur HaGra on Jerusalem Talmud Maasrot 1:1:8:4,35
Beur HaGra on Jerusalem Talmud Maasrot 1:1:8:5,36
Beur HaGra on Jerusalem Talmud Maasrot 1:1:8:6,37
Beur HaGra on Jerusalem Talmud Maasrot 1:1:8:7,38
Beur HaGra on Jerusalem Talmud Maasrot 1:1:8:8,39
Beur HaGra on Jerusalem Talmud Maasrot 1:1:8:9,40
Beur HaGra on Jerusalem Talmud Maasrot 1:1:9:1,42
Beur HaGra on Jerusalem Talmud Maasrot 1:1:9:2,43
Beur HaGra on Jerusalem Talmud Maasrot 1:1:9:3,44
Beur HaGra on Jerusalem Talmud Maasrot 1:2:1:1,47
Beur HaGra on Jerusalem Talmud Maasrot 1:2:2:1,49
Beur HaGra on Jerusalem Talmud Maasrot 1:2:2:2,50
Beur HaGra on Jerusalem Talmud Maasrot 1:2:2:3,51
Beur HaGra on Jerusalem Talmud Maasrot 1:2:2:4,52
Beur HaGra on Jerusalem Talmud Maasrot 1:2:4:1,54
Beur HaGra on Jerusalem Talmud Maasrot 1:2:4:2,55
Beur HaGra on Jerusalem Talmud Maasrot 1:2:4:3,56
Beur HaGra on Jerusalem Talmud Maasrot 1:2:4:4,57
Beur HaGra on Jerusalem Talmud Maasrot 1:2:5:1,59
Beur HaGra on Jerusalem Talmud Maasrot 1:2:5:2,60
Beur HaGra on Jerusalem Talmud Maasrot 1:2:5:3,61
Beur HaGra on Jerusalem Talmud Maasrot 1:2:5:4,62
Beur HaGra on Jerusalem Talmud Maasrot 1:2:5:5,63
Beur HaGra on Jerusalem Talmud Maasrot 1:2:6:1,65
Beur HaGra on Jerusalem Talmud Maasrot 1:2:6:2,66
Beur HaGra on Jerusalem Talmud Maasrot 1:2:6:3,67
Beur HaGra on Jerusalem Talmud Maasrot 1:2:6:4,68
Beur HaGra on Jerusalem Talmud Maasrot 1:2:6:5,69
Beur HaGra on Jerusalem Talmud Maasrot 1:2:8:1,71
Beur HaGra on Jerusalem Talmud Maasrot 1:2:8:2,72
Beur HaGra on Jerusalem Talmud Maasrot 1:2:10:1,74
Beur HaGra on Jerusalem Talmud Maasrot 1:2:10:2,75
Beur HaGra on Jerusalem Talmud Maasrot 1:2:10:3,76
Beur HaGra on Jerusalem Talmud Maasrot 1:2:11:1,78
Beur HaGra on Jerusalem Talmud Maasrot 1:2:11:2,79
Beur HaGra on Jerusalem Talmud Maasrot 1:2:14:1,81
Beur HaGra on Jerusalem Talmud Maasrot 1:2:15:1,83
Beur HaGra on Jerusalem Talmud Maasrot 1:2:15:2,84
Beur HaGra on Jerusalem Talmud Maasrot 1:2:15:3,85
Beur HaGra on Jerusalem Talmud Maasrot 1:3:2:1,88
Beur HaGra on Jerusalem Talmud Maasrot 1:3:2:2,89
Beur HaGra on Jerusalem Talmud Maasrot 1:3:2:3,90
Beur HaGra on Jerusalem Talmud Maasrot 1:3:2:4,91
Beur HaGra on Jerusalem Talmud Maasrot 1:3:2:5,92
Beur HaGra on Jerusalem Talmud Maasrot 1:3:2:6,93
Beur HaGra on Jerusalem Talmud Maasrot 1:3:2:7,94
Beur HaGra on Jerusalem Talmud Maasrot 1:3:3:1,96
Beur HaGra on Jerusalem Talmud Maasrot 1:3:3:2,97
Beur HaGra on Jerusalem Talmud Maasrot 1:3:3:3,98
Beur HaGra on Jerusalem Talmud Maasrot 1:3:3:4,99
Beur HaGra on Jerusalem Talmud Maasrot 1:3:4:1,101
Beur HaGra on Jerusalem Talmud Maasrot 1:3:4:2,102
Beur HaGra on Jerusalem Talmud Maasrot 1:3:4:3,103
Beur HaGra on Jerusalem Talmud Maasrot 1:3:4:4,104
Beur HaGra on Jerusalem Talmud Maasrot 1:3:4:5,105
Beur HaGra on Jerusalem Talmud Maasrot 1:3:5:1,107
Beur HaGra on Jerusalem Talmud Maasrot 1:3:5:2,108
Beur HaGra on Jerusalem Talmud Maasrot 1:3:5:3,109
Beur HaGra on Jerusalem Talmud Maasrot 1:3:5:4,110
Beur HaGra on Jerusalem Talmud Maasrot 1:3:5:5,111
Beur HaGra on Jerusalem Talmud Maasrot 1:3:5:6,112
Beur HaGra on Jerusalem Talmud Maasrot 1:3:5:7,113
Beur HaGra on Jerusalem Talmud Maasrot 1:3:5:8,114
Beur HaGra on Jerusalem Talmud Maasrot 1:3:5:9,115
Beur HaGra on Jerusalem Talmud Maasrot 1:4:2:1,118
Beur HaGra on Jerusalem Talmud Maasrot 1:4:2:2,119
Beur HaGra on Jerusalem Talmud Maasrot 1:4:2:3,120
Beur HaGra on Jerusalem Talmud Maasrot 1:4:2:4,121
Beur HaGra on Jerusalem Talmud Maasrot 1:4:2:5,122
Beur HaGra on Jerusalem Talmud Maasrot 1:4:2:6,123
Beur HaGra on Jerusalem Talmud Maasrot 1:4:2:7,124
Beur HaGra on Jerusalem Talmud Maasrot 1:4:2:8,125
Beur HaGra on Jerusalem Talmud Maasrot 1:4:2:9,126
Beur HaGra on Jerusalem Talmud Maasrot 1:4:4:1,128
Beur HaGra on Jerusalem Talmud Maasrot 1:4:6:1,130
Beur HaGra on Jerusalem Talmud Maasrot 1:4:6:2,131
Beur HaGra on Jerusalem Talmud Maasrot 1:4:6:3,132
Beur HaGra on Jerusalem Talmud Maasrot 1:4:6:4,133
Beur HaGra on Jerusalem Talmud Maasrot 1:4:6:5,134
Beur HaGra on Jerusalem Talmud Maasrot 1:4:7:1,136
Beur HaGra on Jerusalem Talmud Maasrot 1:4:7:2,137
Beur HaGra on Jerusalem Talmud Maasrot 1:4:7:3,138
Beur HaGra on Jerusalem Talmud Maasrot 1:4:7:4,139
Beur HaGra on Jerusalem Talmud Maasrot 1:4:7:5,140
Beur HaGra on Jerusalem Talmud Maasrot 1:4:7:6,141
Beur HaGra on Jerusalem Talmud Maasrot 1:4:8:1,143
Beur HaGra on Jerusalem Talmud Maasrot 1:4:8:2,144
Beur HaGra on Jerusalem Talmud Maasrot 1:4:8:3,145
Beur HaGra on Jerusalem Talmud Maasrot 1:4:8:4,146
Beur HaGra on Jerusalem Talmud Maasrot 1:4:8:5,147
Beur HaGra on Jerusalem Talmud Maasrot 1:4:8:6,148
Beur HaGra on Jerusalem Talmud Maasrot 1:4:8:7,149
Beur HaGra on Jerusalem Talmud Maasrot 1:4:8:8,150
Beur HaGra on Jerusalem Talmud Maasrot 1:4:8:9,151
Beur HaGra on Jerusalem Talmud Maasrot 1:4:8:10,152
Beur HaGra on Jerusalem Talmud Maasrot 1:4:8:11,153
Beur HaGra on Jerusalem Talmud Maasrot 1:4:8:12,154
Beur HaGra on Jerusalem Talmud Maasrot 1:4:8:13,155
Beur HaGra on Jerusalem Talmud Maasrot 1:4:8:14,156
Beur HaGra on Jerusalem Talmud Maasrot 1:4:8:15,157
Beur HaGra on Jerusalem Talmud Maasrot 1:4:8:16,158
Beur HaGra on Jerusalem Talmud Maasrot 1:4:8:17,159
Beur HaGra on Jerusalem Talmud Maasrot 1:4:8:18,160
Beur HaGra on Jerusalem Talmud Maasrot 1:4:8:19,161
Beur HaGra on Jerusalem Talmud Maasrot 1:4:9:1,163
Beur HaGra on Jerusalem Talmud Maasrot 1:4:9:2,164
Beur HaGra on Jerusalem Talmud Maasrot 1:4:10:1,166
Beur HaGra on Jerusalem Talmud Maasrot 1:4:10:2,167
Beur HaGra on Jerusalem Talmud Maasrot 1:4:11:1,169
Beur HaGra on Jerusalem Talmud Maasrot 1:4:11:2,170
Beur HaGra on Jerusalem Talmud Maasrot 1:4:12:1,172
Beur HaGra on Jerusalem Talmud Maasrot 1:4:12:2,173
Beur HaGra on Jerusalem Talmud Maasrot 1:4:12:3,174
Beur HaGra on Jerusalem Talmud Maasrot 1:4:13:1,176
Beur HaGra on Jerusalem Talmud Maasrot 1:5:3:1,179
Beur HaGra on Jerusalem Talmud Maasrot 1:5:3:2,180
Beur HaGra on Jerusalem Talmud Maasrot 1:5:3:3,181
Beur HaGra on Jerusalem Talmud Maasrot 1:5:3:4,182
Beur HaGra on Jerusalem Talmud Maasrot 1:5:3:5,183
Beur HaGra on Jerusalem Talmud Maasrot 1:5:3:6,184
Beur HaGra on Jerusalem Talmud Maasrot 1:5:4:1,186
Beur HaGra on Jerusalem Talmud Maasrot 1:5:4:2,187
Beur HaGra on Jerusalem Talmud Maasrot 1:5:4:3,188
Beur HaGra on Jerusalem Talmud Maasrot 1:5:4:4,189
Beur HaGra on Jerusalem Talmud Maasrot 1:5:5:1,191
Beur HaGra on Jerusalem Talmud Maasrot 1:5:5:2,192
Beur HaGra on Jerusalem Talmud Maasrot 1:5:5:3,193
Beur HaGra on Jerusalem Talmud Maasrot 1:5:5:4,194
Beur HaGra on Jerusalem Talmud Maasrot 1:5:5:5,195
Beur HaGra on Jerusalem Talmud Maasrot 1:5:5:6,196
Beur HaGra on Jerusalem Talmud Maasrot 1:5:6:1,198
Beur HaGra on Jerusalem Talmud Maasrot 1:5:6:2,199
Beur HaGra on Jerusalem Talmud Maasrot 1:5:6:3,200
Beur HaGra on Jerusalem Talmud Maasrot 1:5:6:4,201
Beur HaGra on Jerusalem Talmud Maasrot 2:1:2:1,205
Beur HaGra on Jerusalem Talmud Maasrot 2:1:2:2,206
Beur HaGra on Jerusalem Talmud Maasrot 2:1:2:3,207
Beur HaGra on Jerusalem Talmud Maasrot 2:1:2:4,208
Beur HaGra on Jerusalem Talmud Maasrot 2:1:2:5,209
Beur HaGra on Jerusalem Talmud Maasrot 2:1:2:6,210
Beur HaGra on Jerusalem Talmud Maasrot 2:1:3:1,212
Beur HaGra on Jerusalem Talmud Maasrot 2:1:3:2,213
Beur HaGra on Jerusalem Talmud Maasrot 2:1:3:3,214
Beur HaGra on Jerusalem Talmud Maasrot 2:1:3:4,215
Beur HaGra on Jerusalem Talmud Maasrot 2:1:3:5,216
Beur HaGra on Jerusalem Talmud Maasrot 2:1:3:6,217
Beur HaGra on Jerusalem Talmud Maasrot 2:1:3:7,218
Beur HaGra on Jerusalem Talmud Maasrot 2:1:3:8,219
Beur HaGra on Jerusalem Talmud Maasrot 2:1:3:9,220
Beur HaGra on Jerusalem Talmud Maasrot 2:1:4:1,222
Beur HaGra on Jerusalem Talmud Maasrot 2:1:4:2,223
Beur HaGra on Jerusalem Talmud Maasrot 2:1:4:3,224
Beur HaGra on Jerusalem Talmud Maasrot 2:1:4:4,225
Beur HaGra on Jerusalem Talmud Maasrot 2:1:4:5,226
Beur HaGra on Jerusalem Talmud Maasrot 2:1:4:6,227
Beur HaGra on Jerusalem Talmud Maasrot 2:1:4:7,228
Beur HaGra on Jerusalem Talmud Maasrot 2:1:5:1,230
Beur HaGra on Jerusalem Talmud Maasrot 2:1:5:2,231
Beur HaGra on Jerusalem Talmud Maasrot 2:1:5:3,232
Beur HaGra on Jerusalem Talmud Maasrot 2:1:5:4,233
Beur HaGra on Jerusalem Talmud Maasrot 2:1:5:5,234
Beur HaGra on Jerusalem Talmud Maasrot 2:1:6:1,236
Beur HaGra on Jerusalem Talmud Maasrot 2:1:6:2,237
Beur HaGra on Jerusalem Talmud Maasrot 2:1:6:3,238
Beur HaGra on Jerusalem Talmud Maasrot 2:1:6:4,239
Beur HaGra on Jerusalem Talmud Maasrot 2:1:6:5,240
Beur HaGra on Jerusalem Talmud Maasrot 2:1:6:6,241
Beur HaGra on Jerusalem Talmud Maasrot 2:1:6:7,242
Beur HaGra on Jerusalem Talmud Maasrot 2:1:6:8,243
Beur HaGra on Jerusalem Talmud Maasrot 2:1:7:1,245
Beur HaGra on Jerusalem Talmud Maasrot 2:1:7:2,246
Beur HaGra on Jerusalem Talmud Maasrot 2:1:7:3,247
Beur HaGra on Jerusalem Talmud Maasrot 2:1:7:4,248
Beur HaGra on Jerusalem Talmud Maasrot 2:1:7:5,249
Beur HaGra on Jerusalem Talmud Maasrot 2:1:7:6,250
Beur HaGra on Jerusalem Talmud Maasrot 2:1:7:7,251
Beur HaGra on Jerusalem Talmud Maasrot 2:1:7:8,252
Beur HaGra on Jerusalem Talmud Maasrot 2:1:8:1,254
Beur HaGra on Jerusalem Talmud Maasrot 2:1:8:2,255
Beur HaGra on Jerusalem Talmud Maasrot 2:1:8:3,256
Beur HaGra on Jerusalem Talmud Maasrot 2:1:8:4,257
Beur HaGra on Jerusalem Talmud Maasrot 2:1:8:5,258
Beur HaGra on Jerusalem Talmud Maasrot 2:1:8:6,259
Beur HaGra on Jerusalem Talmud Maasrot 2:1:9:1,261
Beur HaGra on Jerusalem Talmud Maasrot 2:1:9:2,262
Beur HaGra on Jerusalem Talmud Maasrot 2:1:9:3,263
Beur HaGra on Jerusalem Talmud Maasrot 2:1:9:4,264
Beur HaGra on Jerusalem Talmud Maasrot 2:1:10:1,266
Beur HaGra on Jerusalem Talmud Maasrot 2:1:10:2,267
Beur HaGra on Jerusalem Talmud Maasrot 2:1:10:3,268
Beur HaGra on Jerusalem Talmud Maasrot 2:1:10:4,269
Beur HaGra on Jerusalem Talmud Maasrot 2:1:10:5,270
Beur HaGra on Jerusalem Talmud Maasrot 2:1:10:6,271
Beur HaGra on Jerusalem Talmud Maasrot 2:1:10:7,272
Beur HaGra on Jerusalem Talmud Maasrot 2:1:10:8,273
