ref,line_index
Beur HaGra on Jerusalem Talmud Peah 1:1:2:1,5
Beur HaGra on Jerusalem Talmud Peah 1:1:2:2,6
Beur HaGra on Jerusalem Talmud Peah 1:1:2:3,7
Beur HaGra on Jerusalem Talmud Peah 1:1:2:4,8
Beur HaGra on Jerusalem Talmud Peah 1:1:2:5,9
Beur HaGra on Jerusalem Talmud Peah 1:1:2:6,10
Beur HaGra on Jerusalem Talmud Peah 1:1:3:1,12
Beur HaGra on Jerusalem Talmud Peah 1:1:3:2,13
Beur HaGra on Jerusalem Talmud Peah 1:1:3:3,14
Beur HaGra on Jerusalem Talmud Peah 1:1:3:4,15
Beur HaGra on Jerusalem Talmud Peah 1:1:3:5,16
Beur HaGra on Jerusalem Talmud Peah 1:1:4:1,18
Beur HaGra on Jerusalem Talmud Peah 1:1:4:2,19
Beur HaGra on Jerusalem Talmud Peah 1:1:5:1,21
Beur HaGra on Jerusalem Talmud Peah 1:1:5:2,22
Beur HaGra on Jerusalem Talmud Peah 1:1:5:3,23
Beur HaGra on Jerusalem Talmud Peah 1:1:5:4,24
Beur HaGra on Jerusalem Talmud Peah 1:1:5:5,25
Beur HaGra on Jerusalem Talmud Peah 1:1:6:1,27
Beur HaGra on Jerusalem Talmud Peah 1:1:6:2,28
Beur HaGra on Jerusalem Talmud Peah 1:1:7:1,30
Beur HaGra on Jerusalem Talmud Peah 1:1:7:2,31
Beur HaGra on Jerusalem Talmud Peah 1:1:7:3,32
Beur HaGra on Jerusalem Talmud Peah 1:1:7:4,33
Beur HaGra on Jerusalem Talmud Peah 1:1:7:5,34
Beur HaGra on Jerusalem Talmud Peah 1:1:8:1,36
Beur HaGra on Jerusalem Talmud Peah 1:1:8:2,37
Beur HaGra on Jerusalem Talmud Peah 1:1:8:3,38
Beur HaGra on Jerusalem Talmud Peah 1:1:8:4,39
Beur HaGra on Jerusalem Talmud Peah 1:1:8:5,40
Beur HaGra on Jerusalem Talmud Peah 1:1:8:6,41
Beur HaGra on Jerusalem Talmud Peah 1:1:8:7,42
Beur HaGra on Jerusalem Talmud Peah 1:1:8:8,43
Beur HaGra on Jerusalem Talmud Peah 1:1:8:9,44
Beur HaGra on Jerusalem Talmud Peah 1:1:9:1,46
Beur HaGra on Jerusalem Talmud Peah 1:1:9:2,47
Beur HaGra on Jerusalem Talmud Peah 1:1:9:3,48
Beur HaGra on Jerusalem Talmud Peah 1:1:9:4,49
Beur HaGra on Jerusalem Talmud Peah 1:1:9:5,50
Beur HaGra on Jerusalem Talmud Peah 1:1:9:6,51
Beur HaGra on Jerusalem Talmud Peah 1:1:10:1,53
Beur HaGra on Jerusalem Talmud Peah 1:1:10:2,54
Beur HaGra on Jerusalem Talmud Peah 1:1:10:3,55
Beur HaGra on Jerusalem Talmud Peah 1:1:10:4,56
Beur HaGra on Jerusalem Talmud Peah 1:1:10:5,57
Beur HaGra on Jerusalem Talmud Peah 1:1:10:6,58
Beur HaGra on Jerusalem Talmud Peah 1:1:11:1,60
Beur HaGra on Jerusalem Talmud Peah 1:1:11:2,61
Beur HaGra on Jerusalem Talmud Peah 1:1:11:3,62
Beur HaGra on Jerusalem Talmud Peah 1:1:11:4,63
Beur HaGra on Jerusalem Talmud Peah 1:1:11:5,64
Beur HaGra on Jerusalem Talmud Peah 1:1:11:6,65
Beur HaGra on Jerusalem Talmud Peah 1:1:11:7,66
Beur HaGra on Jerusalem Talmud Peah 1:1:11:8,67
Beur HaGra on Jerusalem Talmud Peah 1:1:11:9,68
Beur HaGra on Jerusalem Talmud Peah 1:1:11:10,69
Beur HaGra on Jerusalem Talmud Peah 1:1:11:11,70
Beur HaGra on Jerusalem Talmud Peah 1:1:11:12,71
Beur HaGra on Jerusalem Talmud Peah 1:1:11:13,72
Beur HaGra on Jerusalem Talmud Peah 1:1:11:14,73
Beur HaGra on Jerusalem Talmud Peah 1:1:11:15,74
Beur HaGra on Jerusalem Talmud Peah 1:1:12:1,76
Beur HaGra on Jerusalem Talmud Peah 1:1:12:2,77
Beur HaGra on Jerusalem Talmud Peah 1:1:12:3,78
Beur HaGra on Jerusalem Talmud Peah 1:1:14:1,80
Beur HaGra on Jerusalem Talmud Peah 1:1:14:2,81
Beur HaGra on Jerusalem Talmud Peah 1:1:14:3,82
Beur HaGra on Jerusalem Talmud Peah 1:1:21:1,84
Beur HaGra on Jerusalem Talmud Peah 1:1:21:2,85
Beur HaGra on Jerusalem Talmud Peah 1:1:27:1,87
Beur HaGra on Jerusalem Talmud Peah 1:1:33:1,89
