ref,line_index
Beur HaGra on Jerusalem Talmud Sheviit 1:1:2:1,5
Beur HaGra on Jerusalem Talmud Sheviit 1:1:3:1,7
Beur HaGra on Jerusalem Talmud Sheviit 1:1:3:2,8
Beur HaGra on Jerusalem Talmud Sheviit 1:1:4:1,10
Beur HaGra on Jerusalem Talmud Sheviit 1:1:5:1,12
Beur HaGra on Jerusalem Talmud Sheviit 1:1:6:1,14
Beur HaGra on Jerusalem Talmud Sheviit 1:1:7:1,16
Beur HaGra on Jerusalem Talmud Sheviit 1:2:2:1,19
Beur HaGra on Jerusalem Talmud Sheviit 1:2:2:2,20
Beur HaGra on Jerusalem Talmud Sheviit 1:2:2:3,21
Beur HaGra on Jerusalem Talmud Sheviit 1:2:2:4,22
Beur HaGra on Jerusalem Talmud Sheviit 1:2:2:5,23
Beur HaGra on Jerusalem Talmud Sheviit 1:2:2:6,24
Beur HaGra on Jerusalem Talmud Sheviit 1:2:3:1,26
Beur HaGra on Jerusalem Talmud Sheviit 1:2:3:2,27
Beur HaGra on Jerusalem Talmud Sheviit 1:2:3:3,28
Beur HaGra on Jerusalem Talmud Sheviit 1:2:3:4,29
Beur HaGra on Jerusalem Talmud Sheviit 1:2:3:5,30
Beur HaGra on Jerusalem Talmud Sheviit 1:2:3:6,31
Beur HaGra on Jerusalem Talmud Sheviit 1:2:3:7,32
Beur HaGra on Jerusalem Talmud Sheviit 1:2:4:1,34
Beur HaGra on Jerusalem Talmud Sheviit 1:2:4:2,35
Beur HaGra on Jerusalem Talmud Sheviit 1:2:4:3,36
Beur HaGra on Jerusalem Talmud Sheviit 1:2:4:4,37
Beur HaGra on Jerusalem Talmud Sheviit 1:3:1:1,40
Beur HaGra on Jerusalem Talmud Sheviit 1:3:1:2,41
Beur HaGra on Jerusalem Talmud Sheviit 1:3:3:1,43
Beur HaGra on Jerusalem Talmud Sheviit 1:3:3:2,44
Beur HaGra on Jerusalem Talmud Sheviit 1:3:3:3,45
Beur HaGra on Jerusalem Talmud Sheviit 1:3:3:4,46
Beur HaGra on Jerusalem Talmud Sheviit 1:3:4:1,48
Beur HaGra on Jerusalem Talmud Sheviit 1:3:4:2,49
Beur HaGra on Jerusalem Talmud Sheviit 1:3:4:3,50
Beur HaGra on Jerusalem Talmud Sheviit 1:3:5:1,52
Beur HaGra on Jerusalem Talmud Sheviit 1:3:5:2,53
Beur HaGra on Jerusalem Talmud Sheviit 1:3:6:1,55
Beur HaGra on Jerusalem Talmud Sheviit 1:3:6:2,56
Beur HaGra on Jerusalem Talmud Sheviit 1:4:2:1,59
Beur HaGra on Jerusalem Talmud Sheviit 1:5:2:1,62
Beur HaGra on Jerusalem Talmud Sheviit 1:5:2:2,63
Beur HaGra on Jerusalem Talmud Sheviit 1:5:2:3,64
Beur HaGra on Jerusalem Talmud Sheviit 1:5:2:4,65
Beur HaGra on Jerusalem Talmud Sheviit 1:5:4:1,67
Beur HaGra on Jerusalem Talmud Sheviit 1:5:4:2,68
Beur HaGra on Jerusalem Talmud Sheviit 1:5:5:1,70
Beur HaGra on Jerusalem Talmud Sheviit 1:5:5:2,71
Beur HaGra on Jerusalem Talmud Sheviit 1:5:5:3,72
Beur HaGra on Jerusalem Talmud Sheviit 1:5:5:4,73
Beur HaGra on Jerusalem Talmud Sheviit 1:5:5:5,74
Beur HaGra on Jerusalem Talmud Sheviit 1:5:5:6,75
Beur HaGra on Jerusalem Talmud Sheviit 1:5:5:7,76
Beur HaGra on Jerusalem Talmud Sheviit 1:5:6:1,78
Beur HaGra on Jerusalem Talmud Sheviit 1:5:7:1,80
Beur HaGra on Jerusalem Talmud Sheviit 1:5:7:2,81
Beur HaGra on Jerusalem Talmud Sheviit 1:5:7:3,82
Beur HaGra on Jerusalem Talmud Sheviit 1:6:2:1,85
Beur HaGra on Jerusalem Talmud Sheviit 1:6:2:2,86
Beur HaGra on Jerusalem Talmud Sheviit 1:6:2:3,87
Beur HaGra on Jerusalem Talmud Sheviit 1:6:2:4,88
Beur HaGra on Jerusalem Talmud Sheviit 1:6:3:1,90
Beur HaGra on Jerusalem Talmud Sheviit 1:6:3:2,91
Beur HaGra on Jerusalem Talmud Sheviit 1:6:3:3,92
Beur HaGra on Jerusalem Talmud Sheviit 1:6:3:4,93
Beur HaGra on Jerusalem Talmud Sheviit 1:6:3:5,94
Beur HaGra on Jerusalem Talmud Sheviit 1:6:3:6,95
Beur HaGra on Jerusalem Talmud Sheviit 1:6:3:7,96
Beur HaGra on Jerusalem Talmud Sheviit 2:1:2:1,100
Beur HaGra on Jerusalem Talmud Sheviit 2:1:2:2,101
Beur HaGra on Jerusalem Talmud Sheviit 2:1:2:3,102
Beur HaGra on Jerusalem Talmud Sheviit 2:1:2:4,103
Beur HaGra on Jerusalem Talmud Sheviit 2:2:2:1,106
Beur HaGra on Jerusalem Talmud Sheviit 2:2:5:1,108
Beur HaGra on Jerusalem Talmud Sheviit 2:2:5:2,109
Beur HaGra on Jerusalem Talmud Sheviit 2:2:5:3,110
Beur HaGra on Jerusalem Talmud Sheviit 2:2:5:4,111
Beur HaGra on Jerusalem Talmud Sheviit 2:2:6:1,113
Beur HaGra on Jerusalem Talmud Sheviit 2:2:7:1,115
Beur HaGra on Jerusalem Talmud Sheviit 2:2:7:2,116
Beur HaGra on Jerusalem Talmud Sheviit 2:2:7:3,117
Beur HaGra on Jerusalem Talmud Sheviit 2:3:6:1,120
Beur HaGra on Jerusalem Talmud Sheviit 2:3:6:2,121
Beur HaGra on Jerusalem Talmud Sheviit 2:3:6:3,122
Beur HaGra on Jerusalem Talmud Sheviit 2:4:2:1,125
Beur HaGra on Jerusalem Talmud Sheviit 2:4:4:1,127
Beur HaGra on Jerusalem Talmud Sheviit 2:4:6:1,129
Beur HaGra on Jerusalem Talmud Sheviit 2:4:6:2,130
Beur HaGra on Jerusalem Talmud Sheviit 2:4:6:3,131
Beur HaGra on Jerusalem Talmud Sheviit 2:5:2:1,134
Beur HaGra on Jerusalem Talmud Sheviit 2:5:3:1,136
Beur HaGra on Jerusalem Talmud Sheviit 2:5:3:2,137
Beur HaGra on Jerusalem Talmud Sheviit 2:5:3:3,138
Beur HaGra on Jerusalem Talmud Sheviit 2:5:3:4,139
Beur HaGra on Jerusalem Talmud Sheviit 2:5:3:5,140
Beur HaGra on Jerusalem Talmud Sheviit 2:5:3:6,141
Beur HaGra on Jerusalem Talmud Sheviit 2:5:3:7,142
Beur HaGra on Jerusalem Talmud Sheviit 2:5:3:8,143
Beur HaGra on Jerusalem Talmud Sheviit 2:5:3:9,144
Beur HaGra on Jerusalem Talmud Sheviit 2:5:3:10,145
Beur HaGra on Jerusalem Talmud Sheviit 2:5:3:11,146
Beur HaGra on Jerusalem Talmud Sheviit 2:5:4:1,148
Beur HaGra on Jerusalem Talmud Sheviit 2:5:4:2,149
Beur HaGra on Jerusalem Talmud Sheviit 2:5:5:1,151
Beur HaGra on Jerusalem Talmud Sheviit 2:5:7:1,153
Beur HaGra on Jerusalem Talmud Sheviit 2:5:7:2,154
Beur HaGra on Jerusalem Talmud Sheviit 2:5:7:3,155
Beur HaGra on Jerusalem Talmud Sheviit 2:5:8:1,157
Beur HaGra on Jerusalem Talmud Sheviit 2:5:8:2,158
Beur HaGra on Jerusalem Talmud Sheviit 2:5:8:3,159
Beur HaGra on Jerusalem Talmud Sheviit 2:5:8:4,160
Beur HaGra on Jerusalem Talmud Sheviit 2:5:9:1,162
Beur HaGra on Jerusalem Talmud Sheviit 2:5:9:2,163
Beur HaGra on Jerusalem Talmud Sheviit 2:5:9:3,164
Beur HaGra on Jerusalem Talmud Sheviit 2:5:9:4,165
Beur HaGra on Jerusalem Talmud Sheviit 2:5:9:5,166
Beur HaGra on Jerusalem Talmud Sheviit 2:7:2:1,169
Beur HaGra on Jerusalem Talmud Sheviit 2:7:4:1,171
Beur HaGra on Jerusalem Talmud Sheviit 2:7:4:2,172
Beur HaGra on Jerusalem Talmud Sheviit 2:7:5:1,174
Beur HaGra on Jerusalem Talmud Sheviit 2:7:5:2,175
Beur HaGra on Jerusalem Talmud Sheviit 2:7:6:1,177
Beur HaGra on Jerusalem Talmud Sheviit 2:7:6:2,178
Beur HaGra on Jerusalem Talmud Sheviit 2:7:6:3,179
Beur HaGra on Jerusalem Talmud Sheviit 2:7:6:4,180
Beur HaGra on Jerusalem Talmud Sheviit 2:7:7:1,182
Beur HaGra on Jerusalem Talmud Sheviit 2:7:7:2,183
Beur HaGra on Jerusalem Talmud Sheviit 2:7:7:3,184
Beur HaGra on Jerusalem Talmud Sheviit 2:7:7:4,185
Beur HaGra on Jerusalem Talmud Sheviit 3:1:2:1,189
Beur HaGra on Jerusalem Talmud Sheviit 3:1:3:1,191
Beur HaGra on Jerusalem Talmud Sheviit 3:1:3:2,192
Beur HaGra on Jerusalem Talmud Sheviit 3:1:3:3,193
Beur HaGra on Jerusalem Talmud Sheviit 3:1:4:1,195
Beur HaGra on Jerusalem Talmud Sheviit 3:1:4:2,196
Beur HaGra on Jerusalem Talmud Sheviit 3:1:5:1,198
Beur HaGra on Jerusalem Talmud Sheviit 3:1:5:2,199
Beur HaGra on Jerusalem Talmud Sheviit 3:1:6:1,201
Beur HaGra on Jerusalem Talmud Sheviit 3:1:6:2,202
Beur HaGra on Jerusalem Talmud Sheviit 3:1:6:3,203
Beur HaGra on Jerusalem Talmud Sheviit 3:1:6:4,204
Beur HaGra on Jerusalem Talmud Sheviit 3:1:6:5,205
Beur HaGra on Jerusalem Talmud Sheviit 3:1:6:6,206
Beur HaGra on Jerusalem Talmud Sheviit 3:1:6:7,207
Beur HaGra on Jerusalem Talmud Sheviit 3:1:6:8,208
Beur HaGra on Jerusalem Talmud Sheviit 3:2:1:1,211
Beur HaGra on Jerusalem Talmud Sheviit 3:2:2:1,213
Beur HaGra on Jerusalem Talmud Sheviit 3:2:2:2,214
Beur HaGra on Jerusalem Talmud Sheviit 3:2:2:3,215
Beur HaGra on Jerusalem Talmud Sheviit 3:2:2:4,216
Beur HaGra on Jerusalem Talmud Sheviit 3:2:2:5,217
Beur HaGra on Jerusalem Talmud Sheviit 3:2:2:6,218
Beur HaGra on Jerusalem Talmud Sheviit 3:2:2:7,219
Beur HaGra on Jerusalem Talmud Sheviit 3:2:2:8,220
Beur HaGra on Jerusalem Talmud Sheviit 3:2:2:9,221
Beur HaGra on Jerusalem Talmud Sheviit 3:2:3:1,223
Beur HaGra on Jerusalem Talmud Sheviit 3:2:3:2,224
Beur HaGra on Jerusalem Talmud Sheviit 3:2:4:1,226
Beur HaGra on Jerusalem Talmud Sheviit 3:2:4:2,227
Beur HaGra on Jerusalem Talmud Sheviit 3:2:4:3,228
Beur HaGra on Jerusalem Talmud Sheviit 3:2:5:1,230
Beur HaGra on Jerusalem Talmud Sheviit 3:2:5:2,231
Beur HaGra on Jerusalem Talmud Sheviit 3:2:5:3,232
Beur HaGra on Jerusalem Talmud Sheviit 3:3:5:1,235
Beur HaGra on Jerusalem Talmud Sheviit 3:3:6:1,237
Beur HaGra on Jerusalem Talmud Sheviit 3:3:6:2,238
Beur HaGra on Jerusalem Talmud Sheviit 3:3:7:1,240
Beur HaGra on Jerusalem Talmud Sheviit 3:3:7:2,241
Beur HaGra on Jerusalem Talmud Sheviit 3:3:7:3,242
Beur HaGra on Jerusalem Talmud Sheviit 4:1:2:1,246
Beur HaGra on Jerusalem Talmud Sheviit 4:1:2:2,247
Beur HaGra on Jerusalem Talmud Sheviit 4:2:2:1,250
Beur HaGra on Jerusalem Talmud Sheviit 4:3:2:1,253
Beur HaGra on Jerusalem Talmud Sheviit 4:7:2:1,256
Beur HaGra on Jerusalem Talmud Sheviit 4:8:2:1,259
Beur HaGra on Jerusalem Talmud Sheviit 4:8:2:2,260
Beur HaGra on Jerusalem Talmud Sheviit 4:8:2:3,261
Beur HaGra on Jerusalem Talmud Sheviit 5:1:2:1,265
Beur HaGra on Jerusalem Talmud Sheviit 5:1:2:2,266
Beur HaGra on Jerusalem Talmud Sheviit 5:1:3:1,268
Beur HaGra on Jerusalem Talmud Sheviit 5:1:3:2,269
Beur HaGra on Jerusalem Talmud Sheviit 5:1:3:3,270
Beur HaGra on Jerusalem Talmud Sheviit 5:1:3:4,271
Beur HaGra on Jerusalem Talmud Sheviit 5:1:3:5,272
Beur HaGra on Jerusalem Talmud Sheviit 5:1:3:6,273
Beur HaGra on Jerusalem Talmud Sheviit 5:1:4:1,275
Beur HaGra on Jerusalem Talmud Sheviit 5:1:4:2,276
Beur HaGra on Jerusalem Talmud Sheviit 5:1:4:3,277
Beur HaGra on Jerusalem Talmud Sheviit 5:1:4:4,278
Beur HaGra on Jerusalem Talmud Sheviit 5:1:4:5,279
Beur HaGra on Jerusalem Talmud Sheviit 5:1:5:1,281
Beur HaGra on Jerusalem Talmud Sheviit 5:1:5:2,282
