ref,line_index
Beur HaGra on Jerusalem Talmud Terumot 1:1:2:1,5
Beur HaGra on Jerusalem Talmud Terumot 1:1:2:2,6
Beur HaGra on Jerusalem Talmud Terumot 1:1:4:1,8
Beur HaGra on Jerusalem Talmud Terumot 1:1:5:1,10
Beur HaGra on Jerusalem Talmud Terumot 1:1:5:2,11
Beur HaGra on Jerusalem Talmud Terumot 1:1:5:3,12
Beur HaGra on Jerusalem Talmud Terumot 1:1:5:4,13
Beur HaGra on Jerusalem Talmud Terumot 1:1:6:1,15
Beur HaGra on Jerusalem Talmud Terumot 1:1:6:2,16
Beur HaGra on Jerusalem Talmud Terumot 1:1:6:3,17
Beur HaGra on Jerusalem Talmud Terumot 1:1:7:1,19
Beur HaGra on Jerusalem Talmud Terumot 1:1:7:2,20
Beur HaGra on Jerusalem Talmud Terumot 1:1:7:3,21
Beur HaGra on Jerusalem Talmud Terumot 1:1:7:4,22
Beur HaGra on Jerusalem Talmud Terumot 1:1:7:5,23
Beur HaGra on Jerusalem Talmud Terumot 1:1:7:6,24
Beur HaGra on Jerusalem Talmud Terumot 1:1:8:1,26
Beur HaGra on Jerusalem Talmud Terumot 1:1:8:2,27
Beur HaGra on Jerusalem Talmud Terumot 1:1:8:3,28
Beur HaGra on Jerusalem Talmud Terumot 1:1:9:1,30
Beur HaGra on Jerusalem Talmud Terumot 1:1:9:2,31
Beur HaGra on Jerusalem Talmud Terumot 1:1:9:3,32
Beur HaGra on Jerusalem Talmud Terumot 1:1:9:4,33
Beur HaGra on Jerusalem Talmud Terumot 1:1:9:5,34
Beur HaGra on Jerusalem Talmud Terumot 1:1:9:6,35
Beur HaGra on Jerusalem Talmud Terumot 1:1:9:7,36
Beur HaGra on Jerusalem Talmud Terumot 1:1:9:8,37
Beur HaGra on Jerusalem Talmud Terumot 1:1:10:1,39
Beur HaGra on Jerusalem Talmud Terumot 1:1:10:2,40
Beur HaGra on Jerusalem Talmud Terumot 1:1:10:3,41
Beur HaGra on Jerusalem Talmud Terumot 1:1:11:1,43
Beur HaGra on Jerusalem Talmud Terumot 1:1:11:2,44
Beur HaGra on Jerusalem Talmud Terumot 1:1:11:3,45
Beur HaGra on Jerusalem Talmud Terumot 1:1:11:4,46
Beur HaGra on Jerusalem Talmud Terumot 1:1:11:5,47
Beur HaGra on Jerusalem Talmud Terumot 1:1:11:6,48
Beur HaGra on Jerusalem Talmud Terumot 1:1:11:7,49
Beur HaGra on Jerusalem Talmud Terumot 1:1:11:8,50
Beur HaGra on Jerusalem Talmud Terumot 1:1:11:9,51
Beur HaGra on Jerusalem Talmud Terumot 1:1:11:10,52
Beur HaGra on Jerusalem Talmud Terumot 1:1:12:1,54
Beur HaGra on Jerusalem Talmud Terumot 1:1:12:2,55
Beur HaGra on Jerusalem Talmud Terumot 1:1:12:3,56
Beur HaGra on Jerusalem Talmud Terumot 1:1:12:4,57
Beur HaGra on Jerusalem Talmud Terumot 1:1:12:5,58
Beur HaGra on Jerusalem Talmud Terumot 1:1:12:6,59
Beur HaGra on Jerusalem Talmud Terumot 1:1:12:7,60
Beur HaGra on Jerusalem Talmud Terumot 1:1:12:8,61
Beur HaGra on Jerusalem Talmud Terumot 1:1:13:1,63
Beur HaGra on Jerusalem Talmud Terumot 1:1:13:2,64
Beur HaGra on Jerusalem Talmud Terumot 1:1:13:3,65
Beur HaGra on Jerusalem Talmud Terumot 1:1:13:4,66
Beur HaGra on Jerusalem Talmud Terumot 1:1:13:5,67
Beur HaGra on Jerusalem Talmud Terumot 1:1:13:6,68
Beur HaGra on Jerusalem Talmud Terumot 1:1:13:7,69
Beur HaGra on Jerusalem Talmud Terumot 1:1:13:8,70
Beur HaGra on Jerusalem Talmud Terumot 1:1:13:9,71
Beur HaGra on Jerusalem Talmud Terumot 1:1:14:1,73
Beur HaGra on Jerusalem Talmud Terumot 1:1:14:2,74
Beur HaGra on Jerusalem Talmud Terumot 1:1:15:1,76
Beur HaGra on Jerusalem Talmud Terumot 1:1:15:2,77
Beur HaGra on Jerusalem Talmud Terumot 1:1:15:3,78
Beur HaGra on Jerusalem Talmud Terumot 1:1:15:4,79
Beur HaGra on Jerusalem Talmud Terumot 1:1:15:5,80
Beur HaGra on Jerusalem Talmud Terumot 1:1:15:6,81
Beur HaGra on Jerusalem Talmud Terumot 1:1:15:7,82
Beur HaGra on Jerusalem Talmud Terumot 1:1:15:8,83
Beur HaGra on Jerusalem Talmud Terumot 1:1:17:1,85
Beur HaGra on Jerusalem Talmud Terumot 1:1:17:2,86
Beur HaGra on Jerusalem Talmud Terumot 1:1:17:3,87
Beur HaGra on Jerusalem Talmud Terumot 1:1:17:4,88
Beur HaGra on Jerusalem Talmud Terumot 1:1:17:5,89
Beur HaGra on Jerusalem Talmud Terumot 1:1:17:6,90
Beur HaGra on Jerusalem Talmud Terumot 1:1:17:7,91
Beur HaGra on Jerusalem Talmud Terumot 1:1:17:8,92
Beur HaGra on Jerusalem Talmud Terumot 1:1:18:1,94
Beur HaGra on Jerusalem Talmud Terumot 1:1:18:2,95
Beur HaGra on Jerusalem Talmud Terumot 1:1:18:3,96
Beur HaGra on Jerusalem Talmud Terumot 1:1:19:1,98
Beur HaGra on Jerusalem Talmud Terumot 1:1:19:2,99
Beur HaGra on Jerusalem Talmud Terumot 1:1:19:3,100
Beur HaGra on Jerusalem Talmud Terumot 1:1:19:4,101
Beur HaGra on Jerusalem Talmud Terumot 1:1:19:5,102
Beur HaGra on Jerusalem Talmud Terumot 1:1:20:1,104
Beur HaGra on Jerusalem Talmud Terumot 1:1:21:1,106
Beur HaGra on Jerusalem Talmud Terumot 1:1:21:2,107
Beur HaGra on Jerusalem Talmud Terumot 1:1:21:3,108
Beur HaGra on Jerusalem Talmud Terumot 1:1:22:1,110
Beur HaGra on Jerusalem Talmud Terumot 1:1:23:1,112
Beur HaGra on Jerusalem Talmud Terumot 1:1:23:2,113
Beur HaGra on Jerusalem Talmud Terumot 1:1:23:3,114
Beur HaGra on Jerusalem Talmud Terumot 1:1:23:4,115
Beur HaGra on Jerusalem Talmud Terumot 1:1:23:5,116
Beur HaGra on Jerusalem Talmud Terumot 1:1:23:6,117
Beur HaGra on Jerusalem Talmud Terumot 1:2:2:1,120
Beur HaGra on Jerusalem Talmud Terumot 1:2:2:2,121
Beur HaGra on Jerusalem Talmud Terumot 1:2:2:3,122
Beur HaGra on Jerusalem Talmud Terumot 1:2:2:4,123
Beur HaGra on Jerusalem Talmud Terumot 1:2:2:5,124
Beur HaGra on Jerusalem Talmud Terumot 1:2:2:6,125
Beur HaGra on Jerusalem Talmud Terumot 1:2:2:7,126
Beur HaGra on Jerusalem Talmud Terumot 1:2:2:8,127
Beur HaGra on Jerusalem Talmud Terumot 1:2:2:9,128
Beur HaGra on Jerusalem Talmud Terumot 1:2:2:10,129
Beur HaGra on Jerusalem Talmud Terumot 1:2:3:1,131
Beur HaGra on Jerusalem Talmud Terumot 1:2:3:2,132
Beur HaGra on Jerusalem Talmud Terumot 1:2:4:1,134
Beur HaGra on Jerusalem Talmud Terumot 1:2:4:2,135
Beur HaGra on Jerusalem Talmud Terumot 1:2:5:1,137
Beur HaGra on Jerusalem Talmud Terumot 1:2:5:2,138
Beur HaGra on Jerusalem Talmud Terumot 1:2:5:3,139
Beur HaGra on Jerusalem Talmud Terumot 1:2:5:4,140
Beur HaGra on Jerusalem Talmud Terumot 1:2:5:5,141
Beur HaGra on Jerusalem Talmud Terumot 1:3:3:1,144
Beur HaGra on Jerusalem Talmud Terumot 1:3:3:2,145
Beur HaGra on Jerusalem Talmud Terumot 1:3:3:3,146
Beur HaGra on Jerusalem Talmud Terumot 1:4:3:1,149
Beur HaGra on Jerusalem Talmud Terumot 1:4:3:2,150
Beur HaGra on Jerusalem Talmud Terumot 1:4:3:3,151
Beur HaGra on Jerusalem Talmud Terumot 1:4:3:4,152
Beur HaGra on Jerusalem Talmud Terumot 1:4:4:1,154
Beur HaGra on Jerusalem Talmud Terumot 1:4:4:2,155
Beur HaGra on Jerusalem Talmud Terumot 1:4:4:3,156
Beur HaGra on Jerusalem Talmud Terumot 1:4:4:4,157
Beur HaGra on Jerusalem Talmud Terumot 1:4:4:5,158
Beur HaGra on Jerusalem Talmud Terumot 1:4:4:6,159
Beur HaGra on Jerusalem Talmud Terumot 1:4:4:7,160
Beur HaGra on Jerusalem Talmud Terumot 1:4:5:1,162
Beur HaGra on Jerusalem Talmud Terumot 1:5:2:1,165
Beur HaGra on Jerusalem Talmud Terumot 1:5:2:2,166
Beur HaGra on Jerusalem Talmud Terumot 1:5:3:1,168
Beur HaGra on Jerusalem Talmud Terumot 1:5:3:2,169
Beur HaGra on Jerusalem Talmud Terumot 1:5:3:3,170
Beur HaGra on Jerusalem Talmud Terumot 1:5:3:4,171
Beur HaGra on Jerusalem Talmud Terumot 1:5:4:1,173
Beur HaGra on Jerusalem Talmud Terumot 1:5:5:1,175
Beur HaGra on Jerusalem Talmud Terumot 1:5:5:2,176
Beur HaGra on Jerusalem Talmud Terumot 1:5:6:1,178
Beur HaGra on Jerusalem Talmud Terumot 1:5:6:2,179
Beur HaGra on Jerusalem Talmud Terumot 1:5:6:3,180
Beur HaGra on Jerusalem Talmud Terumot 1:5:6:4,181
Beur HaGra on Jerusalem Talmud Terumot 1:5:7:1,183
Beur HaGra on Jerusalem Talmud Terumot 1:5:9:1,185
Beur HaGra on Jerusalem Talmud Terumot 2:1:1:1,189
Beur HaGra on Jerusalem Talmud Terumot 2:1:2:1,191
Beur HaGra on Jerusalem Talmud Terumot 2:1:2:2,192
Beur HaGra on Jerusalem Talmud Terumot 2:1:2:3,193
Beur HaGra on Jerusalem Talmud Terumot 2:1:3:1,195
Beur HaGra on Jerusalem Talmud Terumot 2:1:4:1,197
Beur HaGra on Jerusalem Talmud Terumot 2:1:4:2,198
Beur HaGra on Jerusalem Talmud Terumot 2:1:4:3,199
Beur HaGra on Jerusalem Talmud Terumot 2:1:6:1,201
Beur HaGra on Jerusalem Talmud Terumot 2:1:6:2,202
Beur HaGra on Jerusalem Talmud Terumot 2:1:9:1,204
Beur HaGra on Jerusalem Talmud Terumot 2:1:10:1,206
Beur HaGra on Jerusalem Talmud Terumot 2:1:11:1,208
Beur HaGra on Jerusalem Talmud Terumot 2:1:12:1,210
Beur HaGra on Jerusalem Talmud Terumot 2:1:12:2,211
Beur HaGra on Jerusalem Talmud Terumot 2:1:13:1,213
Beur HaGra on Jerusalem Talmud Terumot 2:1:13:2,214
Beur HaGra on Jerusalem Talmud Terumot 2:1:13:3,215
Beur HaGra on Jerusalem Talmud Terumot 2:1:13:4,216
Beur HaGra on Jerusalem Talmud Terumot 2:1:13:5,217
Beur HaGra on Jerusalem Talmud Terumot 2:1:14:1,219
Beur HaGra on Jerusalem Talmud Terumot 2:1:14:2,220
Beur HaGra on Jerusalem Talmud Terumot 2:1:14:3,221
Beur HaGra on Jerusalem Talmud Terumot 2:1:15:1,223
Beur HaGra on Jerusalem Talmud Terumot 2:1:16:1,225
Beur HaGra on Jerusalem Talmud Terumot 2:1:16:2,226
Beur HaGra on Jerusalem Talmud Terumot 2:1:16:3,227
Beur HaGra on Jerusalem Talmud Terumot 2:1:20:1,229
Beur HaGra on Jerusalem Talmud Terumot 2:1:21:1,231
Beur HaGra on Jerusalem Talmud Terumot 2:1:21:2,232
Beur HaGra on Jerusalem Talmud Terumot 2:1:21:3,233
Beur HaGra on Jerusalem Talmud Terumot 2:2:2:1,236
Beur HaGra on Jerusalem Talmud Terumot 2:2:2:2,237
Beur HaGra on Jerusalem Talmud Terumot 2:2:2:3,238
Beur HaGra on Jerusalem Talmud Terumot 2:2:4:1,240
Beur HaGra on Jerusalem Talmud Terumot 2:2:4:2,241
Beur HaGra on Jerusalem Talmud Terumot 2:2:4:3,242
Beur HaGra on Jerusalem Talmud Terumot 2:2:5:1,244
Beur HaGra on Jerusalem Talmud Terumot 2:2:5:2,245
Beur HaGra on Jerusalem Talmud Terumot 2:2:5:3,246
Beur HaGra on Jerusalem Talmud Terumot 2:2:5:4,247
Beur HaGra on Jerusalem Talmud Terumot 2:2:5:5,248
