ref,line_index
Noam Yerushalmi on Bikkurim 1:1:4:1,5
Noam Yerushalmi on Bikkurim 1:1:4:2,6
Noam Yerushalmi on Bikkurim 1:1:4:3,7
Noam Yerushalmi on Bikkurim 1:1:6:1,9
Noam Yerushalmi on Bikkurim 1:1:6:2,10
Noam Yerushalmi on Bikkurim 1:1:6:3,11
Noam Yerushalmi on Bikkurim 1:5:3:1,14
Noam Yerushalmi on Bikkurim 1:5:4:1,16
Noam Yerushalmi on Bikkurim 1:5:4:2,17
Noam Yerushalmi on Bikkurim 1:5:4:3,18
Noam Yerushalmi on Bikkurim 2:1:10:1,22
Noam Yerushalmi on Bikkurim 2:2:7:1,25
Noam Yerushalmi on Bikkurim 2:2:7:2,26
Noam Yerushalmi on Bikkurim 2:2:7:3,27
Noam Yerushalmi on Bikkurim 2:2:7:4,28
Noam Yerushalmi on Bikkurim 2:2:7:5,29
Noam Yerushalmi on Bikkurim 2:2:7:6,30
Noam Yerushalmi on Bikkurim 2:2:7:7,31
Noam Yerushalmi on Bikkurim 2:2:9:1,33
Noam Yerushalmi on Bikkurim 2:2:9:2,34
Noam Yerushalmi on Bikkurim 2:2:9:3,35
Noam Yerushalmi on Bikkurim 2:2:9:4,36
Noam Yerushalmi on Bikkurim 2:2:9:5,37
Noam Yerushalmi on Bikkurim 2:2:9:6,38
Noam Yerushalmi on Bikkurim 2:2:9:7,39
Noam Yerushalmi on Bikkurim 2:2:9:8,40
Noam Yerushalmi on Bikkurim 2:2:9:9,41
Noam Yerushalmi on Bikkurim 2:2:9:10,42
Noam Yerushalmi on Bikkurim 2:2:9:11,43
Noam Yerushalmi on Bikkurim 2:4:2:1,46
Noam Yerushalmi on Bikkurim 2:4:2:2,47
Noam Yerushalmi on Bikkurim 2:4:2:3,48
Noam Yerushalmi on Bikkurim 2:4:2:4,49
Noam Yerushalmi on Bikkurim 2:4:2:5,50
Noam Yerushalmi on Bikkurim 2:4:2:6,51
Noam Yerushalmi on Bikkurim 2:4:2:7,52
Noam Yerushalmi on Bikkurim 2:4:2:8,53
Noam Yerushalmi on Bikkurim 2:6:4:1,56
Noam Yerushalmi on Bikkurim 2:6:4:2,57
Noam Yerushalmi on Bikkurim 2:6:4:3,58
Noam Yerushalmi on Bikkurim 2:6:4:4,59
Noam Yerushalmi on Bikkurim 2:6:4:5,60
Noam Yerushalmi on Bikkurim 2:6:4:6,61
Noam Yerushalmi on Bikkurim 2:6:4:7,62
Noam Yerushalmi on Bikkurim 2:6:4:8,63
Noam Yerushalmi on Bikkurim 2:6:4:9,64
Noam Yerushalmi on Bikkurim 2:6:4:10,65
Noam Yerushalmi on Bikkurim 2:6:4:11,66
Noam Yerushalmi on Bikkurim 2:6:4:12,67
Noam Yerushalmi on Bikkurim 2:6:4:13,68
Noam Yerushalmi on Bikkurim 2:6:4:14,69
Noam Yerushalmi on Bikkurim 2:6:4:15,70
Noam Yerushalmi on Bikkurim 2:6:5:1,72
Noam Yerushalmi on Bikkurim 2:6:7:1,74
Noam Yerushalmi on Bikkurim 2:6:7:2,75
Noam Yerushalmi on Bikkurim 2:6:7:3,76
Noam Yerushalmi on Bikkurim 2:6:7:4,77
Noam Yerushalmi on Bikkurim 2:6:7:5,78
Noam Yerushalmi on Bikkurim 2:6:7:6,79
