ref,line_index
Noam Yerushalmi on Kilayim 1:9:2:1,5
Noam Yerushalmi on Kilayim 1:9:2:2,6
Noam Yerushalmi on Kilayim 1:9:2:3,7
Noam Yerushalmi on Kilayim 1:9:2:4,8
Noam Yerushalmi on Kilayim 1:9:2:5,9
Noam Yerushalmi on Kilayim 1:9:2:6,10
Noam Yerushalmi on Kilayim 1:9:2:7,11
Noam Yerushalmi on Kilayim 1:9:2:8,12
Noam Yerushalmi on Kilayim 3:2:3:1,16
Noam Yerushalmi on Kilayim 3:2:3:2,17
Noam Yerushalmi on Kilayim 3:2:3:3,18
Noam Yerushalmi on Kilayim 3:2:3:4,19
Noam Yerushalmi on Kilayim 3:2:3:5,20
Noam Yerushalmi on Kilayim 3:2:3:6,21
Noam Yerushalmi on Kilayim 3:2:3:7,22
Noam Yerushalmi on Kilayim 3:2:3:8,23
Noam Yerushalmi on Kilayim 3:2:3:9,24
Noam Yerushalmi on Kilayim 3:2:3:10,25
Noam Yerushalmi on Kilayim 3:2:3:11,26
Noam Yerushalmi on Kilayim 3:2:3:12,27
Noam Yerushalmi on Kilayim 3:2:3:13,28
Noam Yerushalmi on Kilayim 3:2:3:14,29
Noam Yerushalmi on Kilayim 3:2:3:15,30
Noam Yerushalmi on Kilayim 3:2:3:16,31
Noam Yerushalmi on Kilayim 3:2:3:17,32
Noam Yerushalmi on Kilayim 5:6:4:1,36
Noam Yerushalmi on Kilayim 5:6:4:2,37
Noam Yerushalmi on Kilayim 5:6:4:3,38
Noam Yerushalmi on Kilayim 5:6:4:4,39
Noam Yerushalmi on Kilayim 5:6:4:5,40
Noam Yerushalmi on Kilayim 5:6:4:6,41
Noam Yerushalmi on Kilayim 5:6:4:7,42
