ref,line_index
Noam Yerushalmi on Sheviit 1:1:3:1,5
Noam Yerushalmi on Sheviit 1:1:3:2,6
Noam Yerushalmi on Sheviit 1:1:3:3,7
Noam Yerushalmi on Sheviit 1:1:3:4,8
Noam Yerushalmi on Sheviit 1:1:3:5,9
Noam Yerushalmi on Sheviit 1:1:3:6,10
Noam Yerushalmi on Sheviit 1:1:3:7,11
Noam Yerushalmi on Sheviit 1:1:3:8,12
Noam Yerushalmi on Sheviit 1:1:3:9,13
Noam Yerushalmi on Sheviit 1:1:3:10,14
Noam Yerushalmi on Sheviit 1:1:3:11,15
Noam Yerushalmi on Sheviit 1:1:3:12,16
Noam Yerushalmi on Sheviit 1:1:3:13,17
Noam Yerushalmi on Sheviit 1:1:3:14,18
Noam Yerushalmi on Sheviit 1:1:3:15,19
Noam Yerushalmi on Sheviit 6:1:3:1,23
Noam Yerushalmi on Sheviit 6:1:3:2,24
Noam Yerushalmi on Sheviit 6:1:3:3,25
Noam Yerushalmi on Sheviit 8:1:4:1,29
Noam Yerushalmi on Sheviit 8:1:4:2,30
Noam Yerushalmi on Sheviit 8:1:4:3,31
Noam Yerushalmi on Sheviit 8:1:4:4,32
Noam Yerushalmi on Sheviit 8:1:4:5,33
Noam Yerushalmi on Sheviit 8:1:4:6,34
Noam Yerushalmi on Sheviit 8:1:4:7,35
Noam Yerushalmi on Sheviit 8:1:4:8,36
Noam Yerushalmi on Sheviit 8:1:4:9,37
Noam Yerushalmi on Sheviit 8:1:4:10,38
Noam Yerushalmi on Sheviit 10:1:9:1,42
Noam Yerushalmi on Sheviit 10:1:9:2,43
Noam Yerushalmi on Sheviit 10:1:9:3,44
Noam Yerushalmi on Sheviit 10:1:9:4,45
