ref,line_index
Noam Yerushalmi on Beitzah 1:1:2:1,5
Noam Yerushalmi on Beitzah 1:1:6:1,7
Noam Yerushalmi on Beitzah 1:1:7:1,9
Noam Yerushalmi on Beitzah 1:1:7:2,10
Noam Yerushalmi on Beitzah 1:1:9:1,12
Noam Yerushalmi on Beitzah 1:1:9:2,13
Noam Yerushalmi on Beitzah 1:1:9:3,14
Noam Yerushalmi on Beitzah 1:1:9:4,15
Noam Yerushalmi on Beitzah 1:1:9:5,16
Noam Yerushalmi on Beitzah 1:1:9:6,17
Noam Yerushalmi on Beitzah 1:1:9:7,18
Noam Yerushalmi on Beitzah 1:1:9:8,19
Noam Yerushalmi on Beitzah 1:1:9:9,20
Noam Yerushalmi on Beitzah 1:1:11:1,22
Noam Yerushalmi on Beitzah 1:1:11:2,23
Noam Yerushalmi on Beitzah 1:1:11:3,24
Noam Yerushalmi on Beitzah 1:1:11:4,25
Noam Yerushalmi on Beitzah 1:3:2:1,28
Noam Yerushalmi on Beitzah 1:3:2:2,29
Noam Yerushalmi on Beitzah 1:3:2:3,30
Noam Yerushalmi on Beitzah 1:3:2:4,31
Noam Yerushalmi on Beitzah 1:3:2:5,32
Noam Yerushalmi on Beitzah 1:3:2:6,33
Noam Yerushalmi on Beitzah 1:3:2:7,34
Noam Yerushalmi on Beitzah 1:3:2:8,35
Noam Yerushalmi on Beitzah 1:3:2:9,36
Noam Yerushalmi on Beitzah 1:3:2:10,37
Noam Yerushalmi on Beitzah 1:3:2:11,38
Noam Yerushalmi on Beitzah 1:3:2:12,39
Noam Yerushalmi on Beitzah 1:3:2:13,40
Noam Yerushalmi on Beitzah 1:3:2:14,41
Noam Yerushalmi on Beitzah 1:3:2:15,42
Noam Yerushalmi on Beitzah 1:3:2:16,43
Noam Yerushalmi on Beitzah 1:3:2:17,44
Noam Yerushalmi on Beitzah 1:3:2:18,45
Noam Yerushalmi on Beitzah 1:3:2:19,46
Noam Yerushalmi on Beitzah 1:4:4:1,49
Noam Yerushalmi on Beitzah 1:4:4:2,50
Noam Yerushalmi on Beitzah 1:4:4:3,51
Noam Yerushalmi on Beitzah 1:4:4:4,52
Noam Yerushalmi on Beitzah 1:4:4:5,53
Noam Yerushalmi on Beitzah 1:4:4:6,54
Noam Yerushalmi on Beitzah 1:4:4:7,55
Noam Yerushalmi on Beitzah 1:5:2:1,58
Noam Yerushalmi on Beitzah 1:5:2:2,59
Noam Yerushalmi on Beitzah 1:5:2:3,60
Noam Yerushalmi on Beitzah 1:5:2:4,61
Noam Yerushalmi on Beitzah 1:5:3:1,63
Noam Yerushalmi on Beitzah 1:5:3:2,64
Noam Yerushalmi on Beitzah 1:5:3:3,65
Noam Yerushalmi on Beitzah 1:5:3:4,66
Noam Yerushalmi on Beitzah 1:5:3:5,67
Noam Yerushalmi on Beitzah 1:8:3:1,70
Noam Yerushalmi on Beitzah 1:8:3:2,71
Noam Yerushalmi on Beitzah 1:8:3:3,72
Noam Yerushalmi on Beitzah 1:10:2:1,75
Noam Yerushalmi on Beitzah 1:10:2:2,76
Noam Yerushalmi on Beitzah 1:10:4:1,78
Noam Yerushalmi on Beitzah 1:10:4:2,79
Noam Yerushalmi on Beitzah 1:10:4:3,80
Noam Yerushalmi on Beitzah 1:10:4:4,81
Noam Yerushalmi on Beitzah 1:11:2:1,84
Noam Yerushalmi on Beitzah 1:11:2:2,85
Noam Yerushalmi on Beitzah 2:1:3:1,89
Noam Yerushalmi on Beitzah 2:2:2:1,92
Noam Yerushalmi on Beitzah 2:2:4:1,94
Noam Yerushalmi on Beitzah 2:2:4:2,95
Noam Yerushalmi on Beitzah 2:3:2:1,98
Noam Yerushalmi on Beitzah 2:3:2:2,99
Noam Yerushalmi on Beitzah 2:3:2:3,100
Noam Yerushalmi on Beitzah 2:3:2:4,101
Noam Yerushalmi on Beitzah 3:4:2:1,105
Noam Yerushalmi on Beitzah 3:4:2:2,106
Noam Yerushalmi on Beitzah 3:4:2:3,107
Noam Yerushalmi on Beitzah 3:4:2:4,108
Noam Yerushalmi on Beitzah 3:4:2:5,109
Noam Yerushalmi on Beitzah 3:4:2:6,110
Noam Yerushalmi on Beitzah 3:4:2:7,111
Noam Yerushalmi on Beitzah 3:4:2:8,112
Noam Yerushalmi on Beitzah 3:4:2:9,113
Noam Yerushalmi on Beitzah 3:4:2:10,114
Noam Yerushalmi on Beitzah 3:4:2:11,115
Noam Yerushalmi on Beitzah 3:4:2:12,116
Noam Yerushalmi on Beitzah 3:4:2:13,117
Noam Yerushalmi on Beitzah 3:5:1:1,120
Noam Yerushalmi on Beitzah 4:1:3:1,124
Noam Yerushalmi on Beitzah 4:1:3:2,125
Noam Yerushalmi on Beitzah 4:3:2:1,128
Noam Yerushalmi on Beitzah 5:1:7:1,132
Noam Yerushalmi on Beitzah 5:1:7:2,133
Noam Yerushalmi on Beitzah 5:1:7:3,134
Noam Yerushalmi on Beitzah 5:2:5:1,137
Noam Yerushalmi on Beitzah 5:2:6:1,139
Noam Yerushalmi on Beitzah 5:2:6:2,140
Noam Yerushalmi on Beitzah 5:2:15:1,142
Noam Yerushalmi on Beitzah 5:2:15:2,143
Noam Yerushalmi on Beitzah 5:2:15:3,144
Noam Yerushalmi on Beitzah 5:2:15:4,145
Noam Yerushalmi on Beitzah 5:6:2:1,148
Noam Yerushalmi on Beitzah 5:8:2:1,151
