ref,line_index
Noam Yerushalmi on Yoma 1:1:4:1,5
Noam Yerushalmi on Yoma 1:1:4:2,6
Noam Yerushalmi on Yoma 1:1:4:3,7
Noam Yerushalmi on Yoma 1:1:4:4,8
Noam Yerushalmi on Yoma 1:1:4:5,9
Noam Yerushalmi on Yoma 1:1:4:6,10
Noam Yerushalmi on Yoma 1:1:4:7,11
Noam Yerushalmi on Yoma 1:1:4:8,12
Noam Yerushalmi on Yoma 1:1:4:9,13
Noam Yerushalmi on Yoma 1:1:4:10,14
Noam Yerushalmi on Yoma 1:1:4:11,15
Noam Yerushalmi on Yoma 1:1:4:12,16
Noam Yerushalmi on Yoma 1:1:10:1,18
Noam Yerushalmi on Yoma 1:1:10:2,19
Noam Yerushalmi on Yoma 1:1:10:3,20
Noam Yerushalmi on Yoma 1:1:10:4,21
Noam Yerushalmi on Yoma 1:1:10:5,22
Noam Yerushalmi on Yoma 1:1:10:6,23
Noam Yerushalmi on Yoma 1:1:15:1,25
Noam Yerushalmi on Yoma 1:1:15:2,26
Noam Yerushalmi on Yoma 1:1:15:3,27
Noam Yerushalmi on Yoma 2:2:5:1,31
Noam Yerushalmi on Yoma 2:2:5:2,32
Noam Yerushalmi on Yoma 2:2:5:3,33
Noam Yerushalmi on Yoma 2:3:2:1,36
Noam Yerushalmi on Yoma 2:3:2:2,37
Noam Yerushalmi on Yoma 2:3:2:3,38
Noam Yerushalmi on Yoma 2:3:2:4,39
Noam Yerushalmi on Yoma 2:3:2:5,40
Noam Yerushalmi on Yoma 3:3:3:1,44
Noam Yerushalmi on Yoma 3:3:3:2,45
Noam Yerushalmi on Yoma 3:3:3:3,46
Noam Yerushalmi on Yoma 3:3:3:4,47
Noam Yerushalmi on Yoma 3:6:2:1,50
Noam Yerushalmi on Yoma 3:6:2:2,51
Noam Yerushalmi on Yoma 3:6:2:3,52
Noam Yerushalmi on Yoma 3:6:2:4,53
Noam Yerushalmi on Yoma 3:6:2:5,54
Noam Yerushalmi on Yoma 3:6:2:6,55
Noam Yerushalmi on Yoma 3:6:2:7,56
Noam Yerushalmi on Yoma 3:8:5:1,59
Noam Yerushalmi on Yoma 3:8:5:2,60
Noam Yerushalmi on Yoma 3:8:5:3,61
Noam Yerushalmi on Yoma 3:8:5:4,62
Noam Yerushalmi on Yoma 3:8:5:5,63
Noam Yerushalmi on Yoma 3:8:5:6,64
Noam Yerushalmi on Yoma 4:1:7:1,68
Noam Yerushalmi on Yoma 4:1:7:2,69
Noam Yerushalmi on Yoma 4:1:7:3,70
Noam Yerushalmi on Yoma 4:1:7:4,71
Noam Yerushalmi on Yoma 4:1:7:5,72
Noam Yerushalmi on Yoma 4:1:7:6,73
Noam Yerushalmi on Yoma 4:1:7:7,74
Noam Yerushalmi on Yoma 4:1:7:8,75
Noam Yerushalmi on Yoma 4:1:7:9,76
Noam Yerushalmi on Yoma 4:1:7:10,77
Noam Yerushalmi on Yoma 4:1:9:1,79
Noam Yerushalmi on Yoma 4:1:9:2,80
Noam Yerushalmi on Yoma 4:1:9:3,81
Noam Yerushalmi on Yoma 4:1:9:4,82
Noam Yerushalmi on Yoma 4:1:9:5,83
Noam Yerushalmi on Yoma 4:1:9:6,84
Noam Yerushalmi on Yoma 4:1:9:7,85
Noam Yerushalmi on Yoma 4:1:9:8,86
Noam Yerushalmi on Yoma 4:1:9:9,87
Noam Yerushalmi on Yoma 4:3:3:1,90
Noam Yerushalmi on Yoma 4:3:3:2,91
Noam Yerushalmi on Yoma 4:3:3:3,92
Noam Yerushalmi on Yoma 4:3:3:4,93
Noam Yerushalmi on Yoma 4:3:3:5,94
Noam Yerushalmi on Yoma 4:3:3:6,95
Noam Yerushalmi on Yoma 4:3:3:7,96
Noam Yerushalmi on Yoma 4:3:3:8,97
Noam Yerushalmi on Yoma 4:3:3:9,98
Noam Yerushalmi on Yoma 4:3:3:10,99
Noam Yerushalmi on Yoma 4:3:3:11,100
Noam Yerushalmi on Yoma 4:3:3:12,101
Noam Yerushalmi on Yoma 4:3:3:13,102
Noam Yerushalmi on Yoma 4:3:3:14,103
Noam Yerushalmi on Yoma 4:3:3:15,104
Noam Yerushalmi on Yoma 4:3:3:16,105
Noam Yerushalmi on Yoma 4:5:6:1,108
Noam Yerushalmi on Yoma 4:5:6:2,109
Noam Yerushalmi on Yoma 4:5:6:3,110
Noam Yerushalmi on Yoma 5:1:2:1,114
Noam Yerushalmi on Yoma 5:1:2:2,115
Noam Yerushalmi on Yoma 5:1:2:3,116
Noam Yerushalmi on Yoma 5:1:2:4,117
Noam Yerushalmi on Yoma 5:1:2:5,118
Noam Yerushalmi on Yoma 5:1:2:6,119
Noam Yerushalmi on Yoma 5:1:2:7,120
Noam Yerushalmi on Yoma 5:1:2:8,121
Noam Yerushalmi on Yoma 5:1:2:9,122
Noam Yerushalmi on Yoma 5:1:2:10,123
Noam Yerushalmi on Yoma 5:1:2:11,124
Noam Yerushalmi on Yoma 5:1:2:12,125
Noam Yerushalmi on Yoma 5:1:2:13,126
Noam Yerushalmi on Yoma 5:1:2:14,127
Noam Yerushalmi on Yoma 5:1:2:15,128
Noam Yerushalmi on Yoma 5:1:2:16,129
Noam Yerushalmi on Yoma 5:1:2:17,130
Noam Yerushalmi on Yoma 5:1:2:18,131
Noam Yerushalmi on Yoma 5:1:5:1,133
Noam Yerushalmi on Yoma 5:1:5:2,134
Noam Yerushalmi on Yoma 5:1:5:3,135
Noam Yerushalmi on Yoma 5:1:8:1,137
Noam Yerushalmi on Yoma 5:1:8:2,138
Noam Yerushalmi on Yoma 5:1:8:3,139
Noam Yerushalmi on Yoma 5:1:8:4,140
Noam Yerushalmi on Yoma 5:1:8:5,141
Noam Yerushalmi on Yoma 5:1:8:6,142
Noam Yerushalmi on Yoma 5:1:8:7,143
Noam Yerushalmi on Yoma 5:1:8:8,144
Noam Yerushalmi on Yoma 5:1:8:9,145
Noam Yerushalmi on Yoma 5:1:8:10,146
Noam Yerushalmi on Yoma 5:1:8:11,147
Noam Yerushalmi on Yoma 5:1:8:12,148
Noam Yerushalmi on Yoma 5:1:8:13,149
Noam Yerushalmi on Yoma 5:1:8:14,150
Noam Yerushalmi on Yoma 5:4:9:1,153
Noam Yerushalmi on Yoma 5:4:10:1,155
Noam Yerushalmi on Yoma 5:4:10:2,156
Noam Yerushalmi on Yoma 5:4:10:3,157
Noam Yerushalmi on Yoma 5:4:10:4,158
Noam Yerushalmi on Yoma 5:4:14:1,160
Noam Yerushalmi on Yoma 5:4:14:2,161
Noam Yerushalmi on Yoma 5:4:14:3,162
Noam Yerushalmi on Yoma 5:4:14:4,163
Noam Yerushalmi on Yoma 5:4:14:5,164
Noam Yerushalmi on Yoma 5:4:14:6,165
Noam Yerushalmi on Yoma 5:4:14:7,166
Noam Yerushalmi on Yoma 5:6:9:1,169
Noam Yerushalmi on Yoma 5:7:3:1,172
Noam Yerushalmi on Yoma 5:7:3:2,173
Noam Yerushalmi on Yoma 5:7:3:3,174
Noam Yerushalmi on Yoma 5:7:3:4,175
Noam Yerushalmi on Yoma 5:7:3:5,176
Noam Yerushalmi on Yoma 5:7:3:6,177
Noam Yerushalmi on Yoma 5:7:3:7,178
Noam Yerushalmi on Yoma 5:7:3:8,179
Noam Yerushalmi on Yoma 5:7:3:9,180
Noam Yerushalmi on Yoma 5:7:3:10,181
Noam Yerushalmi on Yoma 5:7:5:1,183
Noam Yerushalmi on Yoma 5:7:5:2,184
Noam Yerushalmi on Yoma 6:1:11:1,188
Noam Yerushalmi on Yoma 6:1:11:2,189
Noam Yerushalmi on Yoma 6:1:11:3,190
Noam Yerushalmi on Yoma 6:1:11:4,191
Noam Yerushalmi on Yoma 6:1:11:5,192
Noam Yerushalmi on Yoma 6:1:13:1,194
Noam Yerushalmi on Yoma 6:1:13:2,195
Noam Yerushalmi on Yoma 6:1:13:3,196
Noam Yerushalmi on Yoma 6:1:13:4,197
Noam Yerushalmi on Yoma 6:1:13:5,198
Noam Yerushalmi on Yoma 6:1:13:6,199
Noam Yerushalmi on Yoma 6:1:13:7,200
Noam Yerushalmi on Yoma 6:2:3:1,203
Noam Yerushalmi on Yoma 6:2:3:2,204
Noam Yerushalmi on Yoma 6:2:3:3,205
Noam Yerushalmi on Yoma 6:2:3:4,206
Noam Yerushalmi on Yoma 6:2:3:5,207
Noam Yerushalmi on Yoma 6:2:3:6,208
Noam Yerushalmi on Yoma 6:2:3:7,209
Noam Yerushalmi on Yoma 6:6:3:1,212
Noam Yerushalmi on Yoma 6:6:3:2,213
Noam Yerushalmi on Yoma 6:6:3:3,214
Noam Yerushalmi on Yoma 6:6:3:4,215
Noam Yerushalmi on Yoma 6:6:3:5,216
Noam Yerushalmi on Yoma 6:6:3:6,217
Noam Yerushalmi on Yoma 6:6:3:7,218
Noam Yerushalmi on Yoma 6:6:3:8,219
Noam Yerushalmi on Yoma 6:6:3:9,220
Noam Yerushalmi on Yoma 6:6:3:10,221
Noam Yerushalmi on Yoma 6:6:7:1,223
Noam Yerushalmi on Yoma 6:6:7:2,224
Noam Yerushalmi on Yoma 6:6:7:3,225
Noam Yerushalmi on Yoma 7:2:3:1,229
Noam Yerushalmi on Yoma 7:2:3:2,230
Noam Yerushalmi on Yoma 7:2:3:3,231
Noam Yerushalmi on Yoma 7:2:3:4,232
Noam Yerushalmi on Yoma 7:2:3:5,233
Noam Yerushalmi on Yoma 8:5:2:1,237
Noam Yerushalmi on Yoma 8:5:2:2,238
Noam Yerushalmi on Yoma 8:5:2:3,239
Noam Yerushalmi on Yoma 8:5:2:4,240
Noam Yerushalmi on Yoma 8:5:2:5,241
Noam Yerushalmi on Yoma 8:5:2:6,242
Noam Yerushalmi on Yoma 8:5:2:7,243
Noam Yerushalmi on Yoma 8:5:2:8,244
