ref,line_index
Noam Yerushalmi on Megillah 1:1:9:1,5
Noam Yerushalmi on Megillah 1:1:9:2,6
Noam Yerushalmi on Megillah 1:1:9:3,7
Noam Yerushalmi on Megillah 1:1:9:4,8
Noam Yerushalmi on Megillah 1:1:9:5,9
Noam Yerushalmi on Megillah 1:1:9:6,10
Noam Yerushalmi on Megillah 1:1:9:7,11
Noam Yerushalmi on Megillah 1:1:9:8,12
Noam Yerushalmi on Megillah 1:1:9:9,13
Noam Yerushalmi on Megillah 1:1:9:10,14
Noam Yerushalmi on Megillah 1:1:9:11,15
Noam Yerushalmi on Megillah 1:1:9:12,16
Noam Yerushalmi on Megillah 1:1:9:13,17
Noam Yerushalmi on Megillah 1:1:9:14,18
Noam Yerushalmi on Megillah 1:1:9:15,19
Noam Yerushalmi on Megillah 1:1:9:16,20
Noam Yerushalmi on Megillah 1:1:9:17,21
Noam Yerushalmi on Megillah 1:1:9:18,22
Noam Yerushalmi on Megillah 1:1:9:19,23
Noam Yerushalmi on Megillah 1:3:4:1,26
Noam Yerushalmi on Megillah 1:3:4:2,27
Noam Yerushalmi on Megillah 1:3:4:3,28
Noam Yerushalmi on Megillah 1:3:4:4,29
Noam Yerushalmi on Megillah 1:3:4:5,30
Noam Yerushalmi on Megillah 1:3:4:6,31
Noam Yerushalmi on Megillah 1:3:4:7,32
Noam Yerushalmi on Megillah 1:3:4:8,33
Noam Yerushalmi on Megillah 1:3:4:9,34
Noam Yerushalmi on Megillah 1:3:4:10,35
Noam Yerushalmi on Megillah 1:3:4:11,36
Noam Yerushalmi on Megillah 1:4:3:1,39
Noam Yerushalmi on Megillah 1:4:3:2,40
Noam Yerushalmi on Megillah 1:4:3:3,41
Noam Yerushalmi on Megillah 1:4:3:4,42
Noam Yerushalmi on Megillah 1:4:3:5,43
Noam Yerushalmi on Megillah 1:4:3:6,44
Noam Yerushalmi on Megillah 1:4:3:7,45
Noam Yerushalmi on Megillah 1:4:5:1,47
Noam Yerushalmi on Megillah 1:4:5:2,48
Noam Yerushalmi on Megillah 1:4:5:3,49
Noam Yerushalmi on Megillah 1:4:5:4,50
Noam Yerushalmi on Megillah 1:4:5:5,51
Noam Yerushalmi on Megillah 2:1:4:1,55
Noam Yerushalmi on Megillah 2:1:4:2,56
Noam Yerushalmi on Megillah 2:1:4:3,57
Noam Yerushalmi on Megillah 2:1:4:4,58
Noam Yerushalmi on Megillah 2:1:4:5,59
Noam Yerushalmi on Megillah 2:1:4:6,60
Noam Yerushalmi on Megillah 2:1:4:7,61
Noam Yerushalmi on Megillah 2:1:4:8,62
Noam Yerushalmi on Megillah 2:1:4:9,63
Noam Yerushalmi on Megillah 2:1:4:10,64
Noam Yerushalmi on Megillah 2:1:4:11,65
Noam Yerushalmi on Megillah 2:1:4:12,66
Noam Yerushalmi on Megillah 2:1:4:13,67
Noam Yerushalmi on Megillah 2:1:4:14,68
Noam Yerushalmi on Megillah 2:1:4:15,69
Noam Yerushalmi on Megillah 2:1:4:16,70
Noam Yerushalmi on Megillah 2:1:4:17,71
Noam Yerushalmi on Megillah 2:1:4:18,72
Noam Yerushalmi on Megillah 2:1:4:19,73
Noam Yerushalmi on Megillah 2:2:6:1,76
Noam Yerushalmi on Megillah 2:2:6:2,77
Noam Yerushalmi on Megillah 2:2:6:3,78
Noam Yerushalmi on Megillah 3:4:3:1,82
Noam Yerushalmi on Megillah 3:4:3:2,83
Noam Yerushalmi on Megillah 3:4:3:3,84
Noam Yerushalmi on Megillah 3:4:3:4,85
Noam Yerushalmi on Megillah 3:4:3:5,86
Noam Yerushalmi on Megillah 3:4:3:6,87
Noam Yerushalmi on Megillah 3:4:3:7,88
Noam Yerushalmi on Megillah 3:4:3:8,89
Noam Yerushalmi on Megillah 3:4:3:9,90
Noam Yerushalmi on Megillah 3:4:3:10,91
Noam Yerushalmi on Megillah 3:4:3:11,92
Noam Yerushalmi on Megillah 3:4:3:12,93
Noam Yerushalmi on Megillah 3:4:3:13,94
Noam Yerushalmi on Megillah 3:4:3:14,95
Noam Yerushalmi on Megillah 3:4:3:15,96
Noam Yerushalmi on Megillah 3:5:3:1,99
Noam Yerushalmi on Megillah 3:5:3:2,100
Noam Yerushalmi on Megillah 3:5:3:3,101
Noam Yerushalmi on Megillah 3:5:3:4,102
Noam Yerushalmi on Megillah 3:5:3:5,103
Noam Yerushalmi on Megillah 3:5:3:6,104
Noam Yerushalmi on Megillah 3:5:3:7,105
Noam Yerushalmi on Megillah 3:5:3:8,106
Noam Yerushalmi on Megillah 3:5:3:9,107
Noam Yerushalmi on Megillah 3:5:3:10,108
Noam Yerushalmi on Megillah 3:5:3:11,109
Noam Yerushalmi on Megillah 3:5:3:12,110
Noam Yerushalmi on Megillah 4:4:7:1,114
Noam Yerushalmi on Megillah 4:4:7:2,115
Noam Yerushalmi on Megillah 4:4:7:3,116
Noam Yerushalmi on Megillah 4:4:7:4,117
Noam Yerushalmi on Megillah 4:4:7:5,118
Noam Yerushalmi on Megillah 4:4:7:6,119
Noam Yerushalmi on Megillah 4:4:7:7,120
Noam Yerushalmi on Megillah 4:4:7:8,121
Noam Yerushalmi on Megillah 4:4:7:9,122
Noam Yerushalmi on Megillah 4:4:7:10,123
