ref,line_index
Noam Yerushalmi on Rosh Hashanah 1:1:8:1,5
Noam Yerushalmi on Rosh Hashanah 1:1:8:2,6
Noam Yerushalmi on Rosh Hashanah 1:1:8:3,7
Noam Yerushalmi on Rosh Hashanah 1:1:8:4,8
Noam Yerushalmi on Rosh Hashanah 1:1:8:5,9
Noam Yerushalmi on Rosh Hashanah 1:1:8:6,10
Noam Yerushalmi on Rosh Hashanah 1:1:8:7,11
Noam Yerushalmi on Rosh Hashanah 1:1:8:8,12
Noam Yerushalmi on Rosh Hashanah 1:1:8:9,13
Noam Yerushalmi on Rosh Hashanah 1:1:8:10,14
Noam Yerushalmi on Rosh Hashanah 1:1:8:11,15
Noam Yerushalmi on Rosh Hashanah 1:1:8:12,16
Noam Yerushalmi on Rosh Hashanah 1:1:8:13,17
Noam Yerushalmi on Rosh Hashanah 1:1:8:14,18
Noam Yerushalmi on Rosh Hashanah 1:1:8:15,19
Noam Yerushalmi on Rosh Hashanah 1:1:8:16,20
Noam Yerushalmi on Rosh Hashanah 1:1:8:17,21
Noam Yerushalmi on Rosh Hashanah 1:1:8:18,22
Noam Yerushalmi on Rosh Hashanah 1:1:8:19,23
Noam Yerushalmi on Rosh Hashanah 1:1:8:20,24
Noam Yerushalmi on Rosh Hashanah 1:1:8:21,25
Noam Yerushalmi on Rosh Hashanah 1:1:8:22,26
Noam Yerushalmi on Rosh Hashanah 1:1:11:1,28
Noam Yerushalmi on Rosh Hashanah 1:1:11:2,29
Noam Yerushalmi on Rosh Hashanah 1:1:11:3,30
Noam Yerushalmi on Rosh Hashanah 1:1:11:4,31
Noam Yerushalmi on Rosh Hashanah 1:1:11:5,32
Noam Yerushalmi on Rosh Hashanah 1:1:11:6,33
Noam Yerushalmi on Rosh Hashanah 1:1:11:7,34
Noam Yerushalmi on Rosh Hashanah 1:1:11:8,35
Noam Yerushalmi on Rosh Hashanah 1:1:11:9,36
Noam Yerushalmi on Rosh Hashanah 1:1:11:10,37
Noam Yerushalmi on Rosh Hashanah 1:1:11:11,38
Noam Yerushalmi on Rosh Hashanah 1:1:11:12,39
Noam Yerushalmi on Rosh Hashanah 1:1:11:13,40
Noam Yerushalmi on Rosh Hashanah 1:1:11:14,41
Noam Yerushalmi on Rosh Hashanah 1:1:11:15,42
Noam Yerushalmi on Rosh Hashanah 1:1:11:16,43
