ref,line_index
Noam Yerushalmi on Nedarim 1:1:5:1,5
Noam Yerushalmi on Nedarim 1:1:7:1,7
Noam Yerushalmi on Nedarim 1:1:7:2,8
Noam Yerushalmi on Nedarim 1:1:7:3,9
Noam Yerushalmi on Nedarim 1:1:7:4,10
Noam Yerushalmi on Nedarim 1:1:7:5,11
Noam Yerushalmi on Nedarim 1:1:7:6,12
Noam Yerushalmi on Nedarim 1:1:7:7,13
Noam Yerushalmi on Nedarim 1:1:7:8,14
Noam Yerushalmi on Nedarim 1:1:7:9,15
Noam Yerushalmi on Nedarim 1:1:12:1,17
Noam Yerushalmi on Nedarim 1:2:2:1,20
Noam Yerushalmi on Nedarim 1:2:2:2,21
Noam Yerushalmi on Nedarim 1:2:2:3,22
Noam Yerushalmi on Nedarim 1:2:2:4,23
Noam Yerushalmi on Nedarim 1:2:2:5,24
Noam Yerushalmi on Nedarim 1:2:3:1,26
Noam Yerushalmi on Nedarim 1:2:3:2,27
Noam Yerushalmi on Nedarim 1:3:2:1,30
Noam Yerushalmi on Nedarim 1:3:7:1,32
Noam Yerushalmi on Nedarim 1:3:7:2,33
Noam Yerushalmi on Nedarim 1:3:8:1,35
Noam Yerushalmi on Nedarim 1:3:8:2,36
Noam Yerushalmi on Nedarim 1:3:8:3,37
Noam Yerushalmi on Nedarim 1:3:8:4,38
Noam Yerushalmi on Nedarim 1:3:8:5,39
Noam Yerushalmi on Nedarim 1:3:8:6,40
Noam Yerushalmi on Nedarim 1:3:8:7,41
Noam Yerushalmi on Nedarim 1:3:8:8,42
Noam Yerushalmi on Nedarim 1:3:8:9,43
Noam Yerushalmi on Nedarim 1:3:8:10,44
Noam Yerushalmi on Nedarim 1:4:2:1,47
Noam Yerushalmi on Nedarim 1:4:3:1,49
Noam Yerushalmi on Nedarim 2:3:2:1,53
Noam Yerushalmi on Nedarim 2:3:2:2,54
Noam Yerushalmi on Nedarim 2:3:2:3,55
Noam Yerushalmi on Nedarim 2:3:2:4,56
Noam Yerushalmi on Nedarim 2:3:2:5,57
Noam Yerushalmi on Nedarim 2:3:2:6,58
Noam Yerushalmi on Nedarim 2:3:2:7,59
Noam Yerushalmi on Nedarim 2:3:2:8,60
Noam Yerushalmi on Nedarim 2:3:2:9,61
Noam Yerushalmi on Nedarim 2:3:2:10,62
Noam Yerushalmi on Nedarim 2:3:2:11,63
Noam Yerushalmi on Nedarim 2:3:2:12,64
Noam Yerushalmi on Nedarim 2:3:2:13,65
Noam Yerushalmi on Nedarim 2:3:2:14,66
Noam Yerushalmi on Nedarim 2:3:2:15,67
Noam Yerushalmi on Nedarim 2:3:2:16,68
Noam Yerushalmi on Nedarim 2:3:2:17,69
Noam Yerushalmi on Nedarim 2:3:2:18,70
Noam Yerushalmi on Nedarim 2:3:2:19,71
Noam Yerushalmi on Nedarim 2:3:2:20,72
Noam Yerushalmi on Nedarim 2:3:2:21,73
Noam Yerushalmi on Nedarim 2:3:2:22,74
Noam Yerushalmi on Nedarim 2:3:2:23,75
Noam Yerushalmi on Nedarim 2:3:2:24,76
Noam Yerushalmi on Nedarim 3:2:9:1,80
Noam Yerushalmi on Nedarim 3:2:9:2,81
Noam Yerushalmi on Nedarim 3:2:9:3,82
Noam Yerushalmi on Nedarim 3:2:9:4,83
Noam Yerushalmi on Nedarim 3:2:10:1,85
Noam Yerushalmi on Nedarim 3:2:10:2,86
Noam Yerushalmi on Nedarim 3:2:10:3,87
Noam Yerushalmi on Nedarim 3:5:2:1,90
Noam Yerushalmi on Nedarim 3:5:3:1,92
Noam Yerushalmi on Nedarim 3:5:3:2,93
Noam Yerushalmi on Nedarim 3:5:3:3,94
Noam Yerushalmi on Nedarim 3:5:3:4,95
Noam Yerushalmi on Nedarim 3:5:3:5,96
Noam Yerushalmi on Nedarim 3:5:3:6,97
Noam Yerushalmi on Nedarim 3:5:3:7,98
Noam Yerushalmi on Nedarim 3:5:3:8,99
Noam Yerushalmi on Nedarim 3:6:2:1,102
Noam Yerushalmi on Nedarim 4:2:3:1,106
Noam Yerushalmi on Nedarim 4:6:3:1,109
Noam Yerushalmi on Nedarim 4:10:2:1,112
Noam Yerushalmi on Nedarim 4:10:4:1,114
Noam Yerushalmi on Nedarim 4:10:4:2,115
Noam Yerushalmi on Nedarim 4:10:4:3,116
Noam Yerushalmi on Nedarim 4:10:4:4,117
Noam Yerushalmi on Nedarim 4:10:4:5,118
Noam Yerushalmi on Nedarim 5:1:4:1,122
Noam Yerushalmi on Nedarim 5:1:5:1,124
Noam Yerushalmi on Nedarim 5:1:5:2,125
Noam Yerushalmi on Nedarim 5:3:3:1,128
Noam Yerushalmi on Nedarim 5:3:3:2,129
Noam Yerushalmi on Nedarim 5:3:3:3,130
Noam Yerushalmi on Nedarim 5:3:3:4,131
Noam Yerushalmi on Nedarim 5:3:3:5,132
Noam Yerushalmi on Nedarim 5:4:2:1,135
Noam Yerushalmi on Nedarim 5:4:2:2,136
Noam Yerushalmi on Nedarim 5:4:2:3,137
Noam Yerushalmi on Nedarim 5:4:2:4,138
Noam Yerushalmi on Nedarim 5:4:2:5,139
Noam Yerushalmi on Nedarim 6:4:3:1,143
Noam Yerushalmi on Nedarim 6:4:3:2,144
Noam Yerushalmi on Nedarim 6:4:3:3,145
Noam Yerushalmi on Nedarim 6:4:3:4,146
Noam Yerushalmi on Nedarim 6:4:3:5,147
Noam Yerushalmi on Nedarim 6:4:3:6,148
Noam Yerushalmi on Nedarim 6:4:3:7,149
Noam Yerushalmi on Nedarim 6:8:6:1,152
Noam Yerushalmi on Nedarim 8:1:6:1,156
Noam Yerushalmi on Nedarim 8:2:2:1,159
Noam Yerushalmi on Nedarim 10:1:2:1,163
Noam Yerushalmi on Nedarim 10:1:2:2,164
Noam Yerushalmi on Nedarim 10:1:2:3,165
Noam Yerushalmi on Nedarim 10:1:2:4,166
Noam Yerushalmi on Nedarim 10:1:2:5,167
Noam Yerushalmi on Nedarim 10:1:2:6,168
Noam Yerushalmi on Nedarim 10:1:4:1,170
Noam Yerushalmi on Nedarim 10:1:4:2,171
Noam Yerushalmi on Nedarim 10:1:4:3,172
Noam Yerushalmi on Nedarim 10:1:4:4,173
Noam Yerushalmi on Nedarim 10:1:4:5,174
Noam Yerushalmi on Nedarim 10:1:5:1,176
Noam Yerushalmi on Nedarim 10:1:5:2,177
Noam Yerushalmi on Nedarim 10:1:5:3,178
Noam Yerushalmi on Nedarim 10:2:3:1,181
Noam Yerushalmi on Nedarim 10:2:3:2,182
Noam Yerushalmi on Nedarim 10:2:3:3,183
Noam Yerushalmi on Nedarim 10:5:2:1,186
Noam Yerushalmi on Nedarim 10:5:2:2,187
Noam Yerushalmi on Nedarim 10:5:2:3,188
Noam Yerushalmi on Nedarim 10:5:2:4,189
Noam Yerushalmi on Nedarim 10:5:2:5,190
Noam Yerushalmi on Nedarim 10:5:2:6,191
Noam Yerushalmi on Nedarim 10:8:2:1,194
Noam Yerushalmi on Nedarim 10:8:2:2,195
Noam Yerushalmi on Nedarim 10:8:6:1,197
Noam Yerushalmi on Nedarim 11:1:4:1,201
Noam Yerushalmi on Nedarim 11:1:4:2,202
Noam Yerushalmi on Nedarim 11:1:4:3,203
Noam Yerushalmi on Nedarim 11:1:5:1,205
Noam Yerushalmi on Nedarim 11:1:5:2,206
Noam Yerushalmi on Nedarim 11:1:5:3,207
Noam Yerushalmi on Nedarim 11:1:5:4,208
Noam Yerushalmi on Nedarim 11:1:5:5,209
Noam Yerushalmi on Nedarim 11:1:5:6,210
Noam Yerushalmi on Nedarim 11:1:8:1,212
Noam Yerushalmi on Nedarim 11:1:8:2,213
Noam Yerushalmi on Nedarim 11:2:2:1,216
Noam Yerushalmi on Nedarim 11:3:2:1,219
Noam Yerushalmi on Nedarim 11:3:3:1,221
Noam Yerushalmi on Nedarim 11:3:3:2,222
Noam Yerushalmi on Nedarim 11:4:2:1,225
Noam Yerushalmi on Nedarim 11:4:2:2,226
Noam Yerushalmi on Nedarim 11:4:2:3,227
Noam Yerushalmi on Nedarim 11:4:4:1,229
Noam Yerushalmi on Nedarim 11:4:4:2,230
Noam Yerushalmi on Nedarim 11:4:4:3,231
Noam Yerushalmi on Nedarim 11:4:4:4,232
Noam Yerushalmi on Nedarim 11:6:2:1,235
Noam Yerushalmi on Nedarim 11:7:2:1,238
Noam Yerushalmi on Nedarim 11:7:2:2,239
Noam Yerushalmi on Nedarim 11:9:2:1,242
Noam Yerushalmi on Nedarim 11:9:2:2,243
Noam Yerushalmi on Nedarim 11:11:2:1,246
Noam Yerushalmi on Nedarim 11:11:2:2,247
Noam Yerushalmi on Nedarim 11:11:2:3,248
Noam Yerushalmi on Nedarim 11:11:2:4,249
Noam Yerushalmi on Nedarim 11:11:2:5,250
Noam Yerushalmi on Nedarim 11:11:2:6,251
Noam Yerushalmi on Nedarim 11:11:2:7,252
Noam Yerushalmi on Nedarim 11:11:2:8,253
