ref,line_index
Noam Yerushalmi on Nazir 1:1:3:1,5
Noam Yerushalmi on Nazir 1:1:3:2,6
Noam Yerushalmi on Nazir 1:1:3:3,7
Noam Yerushalmi on Nazir 1:1:3:4,8
Noam Yerushalmi on Nazir 1:1:7:1,10
Noam Yerushalmi on Nazir 1:2:2:1,13
Noam Yerushalmi on Nazir 1:2:2:2,14
Noam Yerushalmi on Nazir 1:2:7:1,16
Noam Yerushalmi on Nazir 1:2:7:2,17
Noam Yerushalmi on Nazir 1:2:7:3,18
Noam Yerushalmi on Nazir 1:2:7:4,19
Noam Yerushalmi on Nazir 1:2:8:1,21
Noam Yerushalmi on Nazir 1:2:8:2,22
Noam Yerushalmi on Nazir 1:2:8:3,23
Noam Yerushalmi on Nazir 1:3:2:1,26
Noam Yerushalmi on Nazir 1:3:4:1,28
Noam Yerushalmi on Nazir 1:3:4:2,29
Noam Yerushalmi on Nazir 1:3:4:3,30
Noam Yerushalmi on Nazir 2:1:4:1,34
Noam Yerushalmi on Nazir 2:1:4:2,35
Noam Yerushalmi on Nazir 2:1:4:3,36
Noam Yerushalmi on Nazir 2:2:4:1,39
Noam Yerushalmi on Nazir 2:4:2:1,42
Noam Yerushalmi on Nazir 2:6:2:1,45
Noam Yerushalmi on Nazir 2:6:2:2,46
Noam Yerushalmi on Nazir 2:9:2:1,49
Noam Yerushalmi on Nazir 2:9:2:2,50
Noam Yerushalmi on Nazir 2:9:2:3,51
Noam Yerushalmi on Nazir 2:9:2:4,52
Noam Yerushalmi on Nazir 2:9:2:5,53
Noam Yerushalmi on Nazir 2:9:3:1,55
Noam Yerushalmi on Nazir 2:10:2:1,58
Noam Yerushalmi on Nazir 2:10:3:1,60
Noam Yerushalmi on Nazir 2:10:3:2,61
Noam Yerushalmi on Nazir 2:10:3:3,62
Noam Yerushalmi on Nazir 2:10:3:4,63
Noam Yerushalmi on Nazir 2:10:3:5,64
Noam Yerushalmi on Nazir 2:10:3:6,65
Noam Yerushalmi on Nazir 2:10:3:7,66
Noam Yerushalmi on Nazir 3:2:2:1,70
Noam Yerushalmi on Nazir 3:2:2:2,71
Noam Yerushalmi on Nazir 3:2:2:3,72
Noam Yerushalmi on Nazir 3:2:2:4,73
Noam Yerushalmi on Nazir 3:2:2:5,74
Noam Yerushalmi on Nazir 3:2:2:6,75
Noam Yerushalmi on Nazir 3:2:2:7,76
Noam Yerushalmi on Nazir 3:3:2:1,79
Noam Yerushalmi on Nazir 3:3:2:2,80
Noam Yerushalmi on Nazir 3:3:2:3,81
Noam Yerushalmi on Nazir 3:4:2:1,84
Noam Yerushalmi on Nazir 3:4:2:2,85
Noam Yerushalmi on Nazir 3:5:2:1,88
Noam Yerushalmi on Nazir 3:5:3:1,90
Noam Yerushalmi on Nazir 3:5:3:2,91
Noam Yerushalmi on Nazir 3:5:3:3,92
Noam Yerushalmi on Nazir 3:5:3:4,93
Noam Yerushalmi on Nazir 3:5:3:5,94
Noam Yerushalmi on Nazir 3:5:3:6,95
Noam Yerushalmi on Nazir 3:5:6:1,97
Noam Yerushalmi on Nazir 3:5:6:2,98
Noam Yerushalmi on Nazir 3:5:7:1,100
Noam Yerushalmi on Nazir 4:3:5:1,104
Noam Yerushalmi on Nazir 4:3:5:2,105
Noam Yerushalmi on Nazir 4:3:6:1,107
Noam Yerushalmi on Nazir 4:4:4:1,110
Noam Yerushalmi on Nazir 4:4:5:1,112
Noam Yerushalmi on Nazir 4:5:2:1,115
Noam Yerushalmi on Nazir 5:2:2:1,119
Noam Yerushalmi on Nazir 5:2:2:2,120
Noam Yerushalmi on Nazir 5:2:2:3,121
Noam Yerushalmi on Nazir 6:1:3:1,125
Noam Yerushalmi on Nazir 6:1:7:1,127
Noam Yerushalmi on Nazir 6:1:8:1,129
Noam Yerushalmi on Nazir 6:1:8:2,130
Noam Yerushalmi on Nazir 6:1:8:3,131
Noam Yerushalmi on Nazir 6:1:8:4,132
Noam Yerushalmi on Nazir 6:1:8:5,133
Noam Yerushalmi on Nazir 6:1:8:6,134
Noam Yerushalmi on Nazir 6:1:10:1,136
Noam Yerushalmi on Nazir 6:1:10:2,137
Noam Yerushalmi on Nazir 6:1:10:3,138
Noam Yerushalmi on Nazir 6:1:10:4,139
Noam Yerushalmi on Nazir 6:1:10:5,140
Noam Yerushalmi on Nazir 6:2:3:1,143
Noam Yerushalmi on Nazir 6:2:4:1,145
Noam Yerushalmi on Nazir 6:2:5:1,147
Noam Yerushalmi on Nazir 6:2:5:2,148
